                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92801,                 3.5946,                 1.2414,                0.07297,                 0.2095,                0.07144,                 0.0421,                 1.2356,                 3.9388,                 1.2556,                  8e-05,                  8e-05,                  8e-05
                      2,                0.83655,                  2.554,                 1.2474,                0.12182,                0.35382,                0.10477,                0.07199,                 1.1461,                 8.9541,                 1.5814,             0.00016999,             0.00016999,             0.00016999
                      3,                0.85448,                 2.2759,                 1.2824,                0.11948,                0.49991,                0.10354,                0.07559,                 1.1653,                 8.6772,                 1.6425,             0.00025994,             0.00025994,             0.00025994
                      4,                0.72539,                 2.1023,                 1.1998,                 0.0801,                0.47527,                0.10835,                0.07236,                 1.1823,                    inf,                  1.648,             0.00034981,             0.00034981,             0.00034981
                      5,                 0.7799,                 1.9039,                 1.2813,                0.08625,                0.41993,                0.08288,                0.05994,                 1.1671,                    inf,                 1.7838,             0.00043957,             0.00043957,             0.00043957
                      6,                0.78375,                 1.8573,                 1.2761,                0.12538,                0.62055,                0.14405,                0.10166,                 1.2293,                    inf,                 1.8037,             0.00052919,             0.00052919,             0.00052919
                      7,                0.81069,                  1.893,                 1.2848,                0.14121,                0.56836,                0.14336,                0.10321,                 1.1919,                    inf,                 1.7698,             0.00061864,             0.00061864,             0.00061864
                      8,                 0.8114,                 1.8683,                 1.3887,                0.17767,                0.51957,                0.15485,                0.10885,                 1.2439,                    inf,                 1.8581,             0.00070788,             0.00070788,             0.00070788
                      9,                0.88068,                 1.8675,                 1.5069,                0.17767,                0.51957,                0.15485,                0.10885,                 1.2439,                    inf,                 1.8581,             0.00079688,             0.00079688,             0.00079688
                     10,                0.95327,                 2.1992,                 1.4689,                0.16429,                0.33746,                0.13392,                0.09275,                 1.2895,                    inf,                 1.9229,              0.0008856,              0.0008856,              0.0008856
                     11,                0.86537,                 2.2479,                 1.3531,                0.16429,                0.33746,                0.13392,                0.09275,                 1.2895,                    inf,                 1.9229,             0.00097403,             0.00097403,             0.00097403
                     12,                0.94523,                 2.1385,                 1.3891,                0.24367,                0.34856,                 0.1277,                0.08565,                 1.2269,                 6.6162,                 1.7707,             0.00099263,             0.00099263,             0.00099263
                     13,                0.97054,                 2.0791,                 1.4819,                0.24367,                0.34856,                 0.1277,                0.08565,                 1.2269,                 6.6162,                 1.7707,             0.00099263,             0.00099263,             0.00099263
