                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.158,                0.67326,                 1.4739,                0.93017,                0.63007,                0.79298,                0.51487,                 1.4315,                0.67136,                 1.6222,             0.00066129,             0.00066129,             0.00066129
                      2,                  1.156,                0.69624,                 1.4655,                0.94291,                0.57658,                0.76862,                0.50674,                 1.4221,                0.68243,                 1.5876,              0.0013279,              0.0013279,              0.0013279
                      3,                 1.1864,                0.69887,                 1.4793,                 0.9096,                0.64583,                 0.7904,                0.50426,                 1.4504,                0.70637,                 1.5977,              0.0019941,              0.0019941,              0.0019941
                      4,                 1.1945,                0.69959,                 1.4723,                0.90964,                0.67455,                0.80903,                0.51726,                 1.3875,                0.66684,                 1.5766,              0.0019989,              0.0019989,              0.0019989
                      5,                 1.1223,                 0.6562,                 1.4551,                 0.9573,                0.63119,                0.80184,                0.52174,                 1.3834,                0.63891,                 1.5128,              0.0019989,              0.0019989,              0.0019989
                      6,                 1.1194,                0.66336,                 1.4528,                0.94242,                0.65428,                0.81146,                0.54403,                 1.3088,                0.62722,                 1.4878,               0.001998,               0.001998,               0.001998
                      7,                 1.0828,                0.63175,                  1.408,                0.92972,                0.71509,                0.83476,                0.54839,                 1.3267,                0.62376,                 1.4766,              0.0019969,              0.0019969,              0.0019969
                      8,                 1.0636,                0.61628,                 1.4079,                0.95066,                 0.6509,                0.81194,                0.53676,                 1.3179,                0.63031,                 1.4942,              0.0019956,              0.0019956,              0.0019956
                      9,                 1.0439,                0.60056,                 1.3976,                0.95712,                0.62838,                0.80168,                0.53539,                 1.3436,                0.61542,                 1.5747,               0.001994,               0.001994,               0.001994
                     10,                 1.0718,                0.61186,                 1.3969,                0.96195,                0.65484,                0.81531,                0.55617,                 1.2823,                0.58113,                  1.476,              0.0019922,              0.0019922,              0.0019922
                     11,                 1.0394,                0.59865,                 1.4041,                0.96566,                0.66498,                 0.8233,                0.54913,                 1.2825,                 0.5874,                 1.4338,              0.0019901,              0.0019901,              0.0019901
                     12,                  1.045,                0.59603,                 1.4037,                0.96505,                0.71509,                0.84758,                0.56144,                 1.2637,                0.58928,                  1.412,              0.0019878,              0.0019878,              0.0019878
                     13,                 1.0276,                0.57719,                 1.3785,                0.96423,                 0.6982,                 0.8386,                0.56239,                 1.2953,                0.58631,                 1.5184,              0.0019853,              0.0019853,              0.0019853
                     14,                 1.0296,                0.58746,                 1.3864,                0.96231,                0.67568,                0.82713,                0.55797,                 1.2668,                0.58113,                 1.4563,              0.0019825,              0.0019825,              0.0019825
                     15,                 1.0021,                0.57637,                  1.364,                0.95063,                  0.683,                0.82796,                0.56225,                 1.2702,                0.58748,                 1.4895,              0.0019794,              0.0019794,              0.0019794
                     16,                 1.0064,                0.56339,                 1.3743,                0.94611,                0.71171,                0.84007,                0.54353,                 1.3396,                0.59981,                 1.5047,              0.0019762,              0.0019762,              0.0019762
                     17,                0.98537,                0.54916,                  1.379,                  0.959,                0.71115,                0.84466,                0.56635,                 1.2584,                0.58516,                 1.4671,              0.0019726,              0.0019726,              0.0019726
                     18,                 1.0044,                0.56214,                 1.3704,                0.95235,                0.74268,                0.85773,                0.56939,                 1.2602,                0.57214,                 1.4316,              0.0019689,              0.0019689,              0.0019689
                     19,                0.98337,                0.55391,                 1.3704,                0.96285,                0.71509,                0.84784,                0.59051,                 1.2075,                0.54503,                 1.4536,              0.0019649,              0.0019649,              0.0019649
                     20,                0.97001,                 0.5442,                 1.3618,                0.96483,                0.71059,                0.84609,                0.57879,                  1.242,                0.55733,                 1.4576,              0.0019607,              0.0019607,              0.0019607
                     21,                0.96249,                0.53519,                 1.3636,                0.93806,                0.70777,                0.83475,                 0.5413,                 1.3406,                0.60722,                 1.5304,              0.0019562,              0.0019562,              0.0019562
                     22,                0.97862,                0.55669,                 1.3663,                 0.9465,                0.70721,                0.83907,                0.55203,                 1.2944,                0.57382,                 1.4955,              0.0019515,              0.0019515,              0.0019515
                     23,                 0.9709,                0.54666,                 1.3481,                 0.9617,                0.66441,                 0.8213,                0.55099,                 1.2746,                0.58617,                 1.4938,              0.0019466,              0.0019466,              0.0019466
