                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.122,                0.83598,                 1.6637,                0.66048,                0.59005,                0.58208,                0.33594,                  1.727,                 1.0039,                 2.4293,                  8e-05,                  8e-05,                  8e-05
                      2,                0.96636,                0.63491,                  1.563,                0.82203,                0.68957,                0.75323,                0.43184,                 1.6706,                0.83475,                    2.6,             0.00017999,             0.00017999,             0.00017999
                      3,                0.93644,                0.63139,                 1.6307,                0.86667,                0.58531,                0.72598,                0.42164,                 1.6718,                 0.8582,                 2.5484,             0.00027993,             0.00027993,             0.00027993
                      4,                0.91129,                0.56236,                 1.5695,                 0.6732,                0.73223,                0.65928,                0.32917,                 1.9528,                    nan,                 2.6849,             0.00037979,             0.00037979,             0.00037979
                      5,                0.98838,                0.64558,                 1.7092,                0.60183,                0.62322,                0.59788,                0.29071,                  2.096,                    nan,                 2.8687,             0.00047953,             0.00047953,             0.00047953
                      6,                 1.0061,                0.58446,                 1.5611,                0.52323,                0.50711,                0.40801,                0.21281,                 1.7967,                    nan,                 2.9121,             0.00057911,             0.00057911,             0.00057911
                      7,                0.93771,                0.56818,                 1.6333,                0.85047,                0.43128,                0.64295,                0.36354,                    nan,                    nan,                    nan,             0.00067851,             0.00067851,             0.00067851
                      8,                 1.1102,                0.76696,                 1.7433,                0.85047,                0.43128,                0.64295,                0.36354,                    nan,                    nan,                    nan,             0.00077767,             0.00077767,             0.00077767
                      9,                0.99843,                0.78972,                 1.7069,                0.86957,                0.18957,                0.52278,                0.30822,                    nan,                    nan,                    nan,             0.00087657,             0.00087657,             0.00087657
                     10,                 1.0059,                0.94743,                 1.7361,                0.62909,                0.48578,                0.56787,                0.29536,                 1.9045,                    nan,                 2.9596,             0.00097516,             0.00097516,             0.00097516
                     11,                  1.157,                 1.0071,                  1.652,                0.62909,                0.48578,                0.56787,                0.29536,                 1.9045,                    nan,                 2.9596,              0.0010734,              0.0010734,              0.0010734
                     12,                 1.1472,                0.90255,                 1.7383,                0.38462,                0.18957,                0.23553,                0.12581,                 2.1285,                    nan,                 3.3587,              0.0011713,              0.0011713,              0.0011713
                     13,                 1.2704,                0.99592,                 1.7832,                0.38462,                0.18957,                0.23553,                0.12581,                 2.1285,                    nan,                 3.3587,              0.0012688,              0.0012688,              0.0012688
                     14,                 1.3071,                 1.0635,                 1.9394,                0.38462,                0.18957,                0.23553,                0.12581,                 2.1285,                    nan,                 3.3587,              0.0013658,              0.0013658,              0.0013658
                     15,                 1.1872,                0.93027,                  1.807,                0.55625,                 0.4218,                0.48389,                 0.2712,                 1.9976,                 1.1698,                 3.0764,              0.0014624,              0.0014624,              0.0014624
                     16,                 1.2209,                0.85094,                 1.8762,                0.55625,                 0.4218,                0.48389,                 0.2712,                 1.9976,                 1.1698,                 3.0764,              0.0015584,              0.0015584,              0.0015584
                     17,                 1.1979,                0.85034,                 1.7971,                0.55625,                 0.4218,                0.48389,                 0.2712,                 1.9976,                 1.1698,                 3.0764,              0.0016539,              0.0016539,              0.0016539
                     18,                 1.3744,                0.93859,                  1.853,                0.73355,                0.48929,                0.63062,                0.34489,                 1.8641,                 1.1801,                 2.8268,              0.0017488,              0.0017488,              0.0017488
                     19,                 1.4049,                0.98195,                 1.9442,                0.73355,                0.48929,                0.63062,                0.34489,                 1.8641,                 1.1801,                 2.8268,               0.001843,               0.001843,               0.001843
                     20,                 1.4304,                 1.0174,                 1.9465,                0.73355,                0.48929,                0.63062,                0.34489,                 1.8641,                 1.1801,                 2.8268,              0.0019367,              0.0019367,              0.0019367
                     21,                 1.3734,                 0.9324,                 1.8933,                    0.5,                0.08531,                0.29906,                0.19356,                 2.7839,                 2.3194,                 5.3463,              0.0019515,              0.0019515,              0.0019515
                     22,                 1.3231,                 0.9223,                 1.9774,                    0.5,                0.08531,                0.29906,                0.19356,                 2.7839,                 2.3194,                 5.3463,              0.0019515,              0.0019515,              0.0019515
                     23,                 1.4421,                 1.0487,                 2.1406,                    0.5,                0.08531,                0.29906,                0.19356,                 2.7839,                 2.3194,                 5.3463,              0.0019466,              0.0019466,              0.0019466
