                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83335,                0.49133,                 1.4869,                0.91165,                0.81765,                0.88803,                 0.6216,                 1.1711,                0.53231,                 1.7622,              0.0032727,              0.0032727,              0.0032727
                      2,                0.74377,                0.43922,                 1.3774,                0.91941,                0.84083,                 0.9039,                0.63885,                 1.1509,                0.50875,                  1.796,               0.006606,               0.006606,               0.006606
                      3,                0.76961,                0.44518,                 1.3593,                0.93866,                0.84187,                0.90814,                0.61682,                 1.2118,                0.54352,                 1.7827,              0.0099392,              0.0099392,              0.0099392
                      4,                0.77117,                 0.4539,                 1.3422,                0.91137,                0.85398,                0.90655,                0.63553,                 1.1718,                0.52494,                 1.7715,              0.0099997,              0.0099997,              0.0099997
                      5,                0.74651,                0.43724,                 1.3317,                0.95837,                0.83633,                0.90892,                0.63429,                 1.1533,                0.49256,                 1.7479,              0.0099997,              0.0099997,              0.0099997
                      6,                0.73506,                0.43551,                 1.3086,                0.95377,                0.83529,                0.90914,                0.63716,                 1.1743,                0.50474,                 1.7952,              0.0099994,              0.0099994,              0.0099994
                      7,                0.71974,                0.41807,                 1.3053,                0.94362,                0.85709,                0.91754,                0.64871,                 1.1644,                0.48862,                 1.7616,               0.009999,               0.009999,               0.009999
                      8,                0.70233,                0.40853,                 1.3012,                0.95554,                0.84775,                0.91518,                0.64814,                 1.1445,                0.48833,                 1.7577,              0.0099986,              0.0099986,              0.0099986
                      9,                  0.693,                0.40054,                 1.3007,                0.94912,                 0.8391,                0.90992,                0.63504,                 1.1732,                 0.4932,                 1.7691,              0.0099981,              0.0099981,              0.0099981
                     10,                0.68488,                0.38771,                 1.2987,                0.94803,                0.86471,                 0.9206,                0.65397,                 1.1636,                0.50614,                 1.8195,              0.0099976,              0.0099976,              0.0099976
                     11,                0.66749,                0.39549,                 1.2876,                0.91928,                0.86298,                 0.9138,                 0.6477,                  1.134,                0.49937,                 1.7651,              0.0099969,              0.0099969,              0.0099969
                     12,                0.66438,                 0.3828,                 1.2866,                0.94015,                0.85882,                0.91789,                0.63927,                 1.1546,                 0.4936,                 1.7916,              0.0099962,              0.0099962,              0.0099962
                     13,                0.66708,                0.38635,                 1.2812,                0.94634,                0.85433,                0.91629,                0.65608,                 1.1282,                0.48076,                 1.7488,              0.0099954,              0.0099954,              0.0099954
                     14,                0.65216,                 0.3762,                 1.2744,                 0.9574,                0.85536,                0.91914,                0.65736,                 1.1534,                0.47609,                 1.8483,              0.0099945,              0.0099945,              0.0099945
                     15,                0.64594,                0.37034,                 1.2671,                0.94215,                0.85087,                0.91285,                0.64415,                 1.1686,                0.50934,                 1.8024,              0.0099936,              0.0099936,              0.0099936
                     16,                0.64146,                0.37649,                 1.2641,                0.93405,                0.87232,                0.92478,                0.66038,                  1.134,                0.48486,                 1.7654,              0.0099925,              0.0099925,              0.0099925
                     17,                0.64655,                0.37913,                 1.2418,                0.94858,                0.85536,                0.91829,                0.65114,                 1.1218,                0.48557,                 1.7772,              0.0099914,              0.0099914,              0.0099914
                     18,                0.63305,                0.36765,                 1.2516,                0.94546,                0.87578,                0.92674,                0.65525,                 1.1513,                0.48434,                 1.8087,              0.0099902,              0.0099902,              0.0099902
                     19,                0.63218,                0.35993,                 1.2489,                0.95023,                 0.8654,                0.92132,                 0.6545,                 1.1518,                0.48736,                 1.7952,               0.009989,               0.009989,               0.009989
                     20,                0.62306,                0.36663,                 1.2456,                0.94526,                0.84844,                0.91303,                0.64529,                 1.1393,                0.50544,                 1.8125,              0.0099876,              0.0099876,              0.0099876
                     21,                0.62539,                  0.365,                 1.2473,                0.94759,                0.86955,                0.92408,                0.66074,                 1.1443,                0.49447,                 1.7912,              0.0099862,              0.0099862,              0.0099862
                     22,                0.61829,                0.36137,                 1.2266,                0.94478,                0.86436,                0.92148,                0.65455,                 1.1414,                0.49892,                 1.7936,              0.0099847,              0.0099847,              0.0099847
                     23,                0.62768,                0.36291,                 1.2338,                0.94956,                0.85986,                 0.9206,                0.64983,                 1.1412,                0.49125,                 1.8069,              0.0099832,              0.0099832,              0.0099832
                     24,                0.61256,                0.36153,                 1.2348,                0.94717,                0.86851,                0.92307,                0.65261,                 1.1323,                0.47895,                 1.8376,              0.0099815,              0.0099815,              0.0099815
                     25,                0.61604,                0.35496,                 1.2239,                0.94511,                 0.8699,                0.92374,                0.65614,                 1.1484,                0.49878,                 1.7991,              0.0099798,              0.0099798,              0.0099798
                     26,                0.60436,                0.34284,                 1.2317,                0.92632,                0.86574,                0.91586,                0.65315,                 1.1514,                0.50111,                 1.7983,               0.009978,               0.009978,               0.009978
                     27,                0.60427,                 0.3532,                 1.2169,                0.93527,                0.85986,                0.91674,                0.64235,                 1.1511,                0.50536,                  1.812,              0.0099762,              0.0099762,              0.0099762
                     28,                0.59991,                0.35539,                 1.2071,                0.92418,                0.87301,                 0.9186,                0.64935,                 1.1433,                0.49566,                 1.8194,              0.0099742,              0.0099742,              0.0099742
                     29,                0.60478,                0.34695,                 1.2111,                 0.9508,                0.86263,                0.92064,                 0.6585,                 1.1326,                0.48881,                 1.8247,              0.0099722,              0.0099722,              0.0099722
                     30,                0.59258,                0.35043,                 1.2016,                 0.9547,                0.86782,                0.92462,                0.66039,                 1.1204,                0.47364,                 1.8113,              0.0099701,              0.0099701,              0.0099701
                     31,                0.59777,                0.34173,                 1.1944,                0.91661,                0.87855,                0.92103,                0.65552,                 1.1445,                0.50098,                 1.8031,              0.0099679,              0.0099679,              0.0099679
                     32,                0.58802,                0.34405,                 1.1986,                0.91549,                0.87716,                0.92047,                0.65352,                 1.1402,                0.50434,                 1.8637,              0.0099657,              0.0099657,              0.0099657
                     33,                0.59339,                0.34274,                 1.2071,                0.94913,                0.86505,                0.92195,                0.65015,                 1.1475,                0.49302,                 1.8153,              0.0099634,              0.0099634,              0.0099634
                     34,                0.58209,                0.33791,                 1.1902,                0.95493,                0.85779,                0.91975,                0.65256,                 1.1298,                0.48962,                 1.8114,               0.009961,               0.009961,               0.009961
