                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5822,                 4.1767,                 4.1447,                      0,                      0,                      0,                      0,                 4.3044,                 4.2864,                 4.1485,                0.00048,                0.00048,                0.00048
                      2,                 3.8337,                 3.5306,                 3.7788,                      0,                      0,                      0,                      0,                 4.3108,                 4.3351,                 4.1539,                0.00098,                0.00098,                0.00098
                      3,                 3.3778,                 2.6882,                 3.1287,                      0,                      0,                      0,                      0,                 4.5671,                 4.5468,                 4.3959,                0.00148,                0.00148,                0.00148
                      4,                 3.0238,                 2.1172,                 2.6977,                      0,                      0,                      0,                      0,                 4.8107,                 5.3477,                 4.7135,              0.0019799,              0.0019799,              0.0019799
                      5,                  2.793,                 1.8621,                 2.4731,                0.64583,                0.12229,                0.39322,                0.20682,                 3.8146,                 3.8325,                 3.7234,              0.0019999,              0.0019999,              0.0019999
                      6,                  2.542,                 1.6685,                  2.288,                0.61743,                0.48323,                0.56073,                0.24289,                 2.6362,                 2.1232,                   2.35,              0.0019999,              0.0019999,              0.0019999
                      7,                 2.3609,                 1.5658,                 2.1624,                0.76776,                0.55424,                0.69374,                0.35231,                 2.3044,                 1.4573,                 2.0324,              0.0019998,              0.0019998,              0.0019998
                      8,                 2.1931,                 1.4589,                   2.03,                0.86604,                0.54832,                0.72626,                0.37915,                 2.1635,                 1.3972,                 1.9472,              0.0019997,              0.0019997,              0.0019997
                      9,                  2.131,                 1.4049,                 1.9833,                0.80645,                0.54241,                0.69753,                0.39451,                 2.0327,                 1.4619,                 1.8975,              0.0019996,              0.0019996,              0.0019996
                     10,                 2.0334,                 1.3634,                 1.9115,                 0.8997,                0.58383,                0.75377,                0.37069,                 2.1593,                 1.3221,                 1.8961,              0.0019995,              0.0019995,              0.0019995
                     11,                 1.9544,                 1.3111,                 1.8492,                0.96016,                0.47535,                0.72105,                 0.4281,                 1.9201,                 1.2467,                 1.7809,              0.0019994,              0.0019994,              0.0019994
                     12,                 1.9071,                 1.2452,                 1.7853,                0.96087,                 0.4359,                0.69498,                 0.4401,                 1.7252,                 1.1934,                 1.6759,              0.0019992,              0.0019992,              0.0019992
