                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8613,                 3.3388,                 4.0575,                      0,                      0,                      0,                      0,                 6.3746,                 3.6446,                 4.1347,                0.00048,                0.00048,                0.00048
                      2,                 4.6823,                 2.2636,                 3.3995,                      0,                      0,                      0,                      0,                 6.3956,                 3.6417,                 4.1807,                0.00098,                0.00098,                0.00098
                      3,                  3.638,                 1.7573,                 2.6743,                      0,                      0,                      0,                      0,                 6.4632,                 3.6855,                 4.3811,                0.00148,                0.00148,                0.00148
                      4,                 2.9981,                 1.5084,                 2.2879,                      0,                      0,                      0,                      0,                 6.4024,                 3.7374,                 4.4529,              0.0019799,              0.0019799,              0.0019799
                      5,                 2.7101,                 1.4049,                 2.1244,                      1,                0.00592,                0.50295,                0.41932,                 2.9607,                 1.6603,                    2.4,              0.0019999,              0.0019999,              0.0019999
                      6,                 2.4265,                  1.268,                 1.9182,                0.86957,                0.47337,                0.69077,                0.32627,                 2.3863,                 1.1194,                 1.9544,              0.0019999,              0.0019999,              0.0019999
                      7,                  2.345,                 1.2285,                 1.8483,                0.88519,                 0.4714,                0.68965,                0.39605,                 2.0604,                 1.0926,                 1.7472,              0.0019998,              0.0019998,              0.0019998
                      8,                 2.1768,                 1.1421,                  1.738,                0.96585,                0.39053,                0.68355,                0.39688,                 1.9921,                 1.0006,                 1.6924,              0.0019997,              0.0019997,              0.0019997
                      9,                 2.0941,                 1.0896,                 1.6734,                0.98851,                0.33925,                0.66517,                0.40225,                 1.9187,                 1.0168,                 1.6461,              0.0019996,              0.0019996,              0.0019996
                     10,                 2.0791,                 1.0903,                 1.6481,                0.97183,                0.40828,                0.69431,                0.41474,                 1.9055,                0.96928,                 1.5916,              0.0019995,              0.0019995,              0.0019995
                     11,                 1.9837,                 1.0487,                 1.5967,                0.98068,                0.40039,                0.69286,                0.43424,                 1.8254,                0.92427,                 1.5341,              0.0019994,              0.0019994,              0.0019994
                     12,                 1.9464,                 1.0027,                 1.5221,                0.92105,                0.48323,                0.70981,                0.43665,                 1.8449,                 1.0026,                 1.5188,              0.0019992,              0.0019992,              0.0019992
                     13,                 1.9189,                0.99845,                 1.5256,                0.94677,                0.49112,                0.72447,                 0.4112,                 1.9573,                0.93541,                 1.5642,              0.0019991,              0.0019991,              0.0019991
                     14,                 1.8611,                0.97963,                 1.4903,                0.97177,                0.47535,                0.72761,                0.44996,                 1.7874,                0.89804,                 1.4607,              0.0019989,              0.0019989,              0.0019989
                     15,                 1.8244,                0.95801,                 1.4479,                0.98785,                0.48126,                0.73603,                0.48911,                 1.6728,                0.86394,                 1.4037,              0.0019987,              0.0019987,              0.0019987
                     16,                 1.8123,                0.94858,                 1.4364,                0.99495,                0.38856,                0.69225,                 0.4833,                 1.6109,                0.88735,                 1.3751,              0.0019985,              0.0019985,              0.0019985
                     17,                 1.7727,                0.94863,                 1.4107,                0.95804,                0.54043,                0.75554,                0.48807,                 1.6694,                0.90154,                 1.3911,              0.0019983,              0.0019983,              0.0019983
                     18,                 1.7667,                0.93251,                 1.3839,                 0.9875,                0.46746,                 0.7287,                0.47923,                 1.6907,                 0.8824,                 1.3809,               0.001998,               0.001998,               0.001998
                     19,                 1.7431,                0.93223,                 1.3779,                0.95484,                0.58383,                0.77568,                0.50783,                 1.6036,                0.83378,                 1.3522,              0.0019978,              0.0019978,              0.0019978
                     20,                 1.6807,                0.93437,                 1.3699,                0.98897,                0.53057,                0.76092,                 0.4815,                 1.6681,                0.83451,                 1.3691,              0.0019975,              0.0019975,              0.0019975
                     21,                 1.7064,                0.91577,                 1.3484,                0.97764,                0.60355,                0.79319,                0.52301,                 1.5686,                0.84744,                 1.3109,              0.0019972,              0.0019972,              0.0019972
                     22,                 1.6433,                0.88707,                 1.3108,                0.97112,                0.53057,                0.75447,                0.52212,                 1.5522,                0.81604,                 1.3071,              0.0019969,              0.0019969,              0.0019969
                     23,                 1.6372,                0.88572,                 1.2904,                0.97021,                 0.4497,                0.71492,                0.51196,                 1.5714,                0.85917,                 1.2953,              0.0019966,              0.0019966,              0.0019966
                     24,                 1.6241,                0.89394,                 1.2964,                0.94671,                0.59566,                0.78244,                0.54094,                 1.5612,                0.82038,                 1.2961,              0.0019963,              0.0019963,              0.0019963
                     25,                 1.6097,                0.89613,                 1.3011,                0.99251,                0.52268,                0.75811,                0.53463,                 1.4836,                0.79308,                 1.2619,               0.001996,               0.001996,               0.001996
                     26,                 1.5925,                0.87365,                 1.2699,                0.97033,                0.64497,                0.81379,                0.54944,                 1.5079,                0.78699,                 1.2596,              0.0019956,              0.0019956,              0.0019956
                     27,                 1.5711,                0.86649,                 1.2568,                0.97288,                0.56607,                0.77288,                 0.5486,                 1.4447,                0.79498,                 1.2303,              0.0019952,              0.0019952,              0.0019952
                     28,                 1.5814,                0.88319,                 1.2603,                 0.9391,                0.57791,                0.76946,                0.52699,                 1.5674,                0.82439,                 1.3024,              0.0019948,              0.0019948,              0.0019948
                     29,                 1.5764,                 0.8831,                 1.2629,                0.97333,                0.57594,                0.78091,                0.53347,                 1.5051,                0.78157,                 1.2604,              0.0019944,              0.0019944,              0.0019944
                     30,                 1.5606,                0.86204,                 1.2424,                0.94737,                0.67456,                0.82187,                 0.5409,                 1.5228,                0.80197,                 1.2596,               0.001994,               0.001994,               0.001994
                     31,                 1.5531,                0.86806,                 1.2451,                0.98344,                 0.5858,                0.78749,                0.55662,                 1.4459,                  0.771,                 1.2391,              0.0019936,              0.0019936,              0.0019936
                     32,                 1.5547,                0.85008,                 1.2401,                0.93084,                0.63708,                 0.7996,                 0.5483,                 1.4496,                0.79582,                 1.2276,              0.0019931,              0.0019931,              0.0019931
                     33,                 1.5058,                0.83698,                 1.2102,                0.96119,                0.63511,                0.80745,                0.56923,                 1.4003,                0.75402,                 1.1974,              0.0019927,              0.0019927,              0.0019927
                     34,                 1.5051,                0.82634,                 1.2153,                0.97188,                0.61341,                0.79888,                0.56121,                 1.4158,                0.76071,                 1.2034,              0.0019922,              0.0019922,              0.0019922
                     35,                 1.4566,                0.80166,                 1.1887,                0.97444,                0.60158,                0.79348,                0.56289,                 1.4075,                0.74754,                 1.1963,              0.0019917,              0.0019917,              0.0019917
                     36,                 1.4679,                0.80307,                 1.1776,                0.97605,                  0.643,                0.81401,                0.56689,                 1.4099,                0.72979,                 1.1941,              0.0019912,              0.0019912,              0.0019912
                     37,                   1.47,                0.80601,                 1.1866,                0.98333,                0.58185,                0.78679,                0.56772,                  1.405,                 0.7315,                 1.1947,              0.0019907,              0.0019907,              0.0019907
                     38,                 1.4364,                0.80295,                  1.181,                0.99649,                0.56016,                0.77897,                0.54727,                   1.44,                 0.7543,                 1.2064,              0.0019901,              0.0019901,              0.0019901
                     39,                 1.4521,                 0.8154,                 1.1825,                0.89245,                0.76923,                0.85573,                0.57356,                 1.4097,                0.79098,                 1.1985,              0.0019896,              0.0019896,              0.0019896
                     40,                 1.4447,                 0.8003,                 1.1746,                0.96448,                0.69625,                0.83915,                0.58594,                 1.3736,                0.69974,                 1.1705,               0.001989,               0.001989,               0.001989
                     41,                 1.4455,                0.79798,                 1.1707,                0.97576,                0.63511,                0.80967,                0.54068,                 1.4762,                0.75325,                  1.221,              0.0019884,              0.0019884,              0.0019884
                     42,                 1.4836,                0.79876,                 1.1704,                0.96812,                0.65878,                0.82091,                 0.5595,                  1.424,                0.72184,                 1.1939,              0.0019878,              0.0019878,              0.0019878
                     43,                 1.4406,                0.78864,                 1.1586,                0.97853,                0.62919,                0.80848,                0.57272,                 1.3665,                0.72601,                 1.1584,              0.0019872,              0.0019872,              0.0019872
                     44,                 1.4321,                0.78276,                 1.1556,                0.95263,                  0.714,                0.84626,                0.59556,                 1.3512,                0.70905,                 1.1667,              0.0019866,              0.0019866,              0.0019866
                     45,                 1.3956,                0.75735,                  1.148,                0.97093,                0.65878,                0.82212,                0.57375,                 1.3843,                0.69519,                 1.1705,              0.0019859,              0.0019859,              0.0019859
                     46,                 1.4228,                0.77789,                 1.1669,                0.96774,                0.65089,                 0.8153,                0.56512,                 1.3959,                0.72801,                 1.1697,              0.0019853,              0.0019853,              0.0019853
                     47,                 1.3841,                0.76165,                 1.1411,                0.98214,                0.65089,                0.82017,                0.56873,                 1.3864,                0.70936,                 1.1709,              0.0019846,              0.0019846,              0.0019846
                     48,                 1.3606,                0.74655,                 1.1417,                0.97399,                0.66469,                0.82645,                0.59647,                 1.3445,                0.67712,                 1.1558,              0.0019839,              0.0019839,              0.0019839
                     49,                 1.4378,                0.76927,                 1.1458,                0.96053,                0.71992,                0.84966,                0.57786,                 1.4289,                0.71821,                 1.1916,              0.0019832,              0.0019832,              0.0019832
                     50,                 1.3836,                0.76428,                 1.1478,                0.99091,                0.64497,                0.82059,                0.56318,                 1.4159,                0.71472,                 1.1732,              0.0019825,              0.0019825,              0.0019825
                     51,                 1.4058,                0.75733,                  1.142,                0.95935,                0.69822,                0.83758,                0.57327,                 1.3932,                0.70888,                 1.1692,              0.0019817,              0.0019817,              0.0019817
                     52,                  1.403,                0.76687,                 1.1436,                0.93484,                 0.7357,                0.85562,                0.59587,                 1.3424,                0.69043,                 1.1488,               0.001981,               0.001981,               0.001981
                     53,                  1.403,                0.77179,                 1.1505,                0.97238,                0.69428,                0.84001,                0.57576,                 1.3836,                0.74276,                 1.1671,              0.0019802,              0.0019802,              0.0019802
                     54,                 1.4334,                0.77767,                 1.1499,                0.94472,                0.74162,                0.85853,                0.60307,                 1.3341,                0.69054,                 1.1496,              0.0019794,              0.0019794,              0.0019794
                     55,                 1.3624,                0.75187,                 1.1333,                0.97098,                0.72584,                0.85633,                 0.6061,                 1.3511,                0.67269,                 1.1572,              0.0019786,              0.0019786,              0.0019786
                     56,                 1.3889,                0.75522,                 1.1434,                0.98521,                 0.6568,                0.82387,                0.58275,                 1.3542,                0.70608,                 1.1452,              0.0019778,              0.0019778,              0.0019778
                     57,                 1.3588,                0.74309,                 1.1252,                0.93689,                0.76134,                0.86542,                0.60711,                 1.3384,                0.67071,                 1.1452,               0.001977,               0.001977,               0.001977
                     58,                 1.3586,                0.74176,                 1.1313,                 0.9657,                0.72189,                0.85441,                0.60833,                 1.3204,                0.67318,                 1.1333,              0.0019762,              0.0019762,              0.0019762
                     59,                 1.3769,                0.74763,                 1.1201,                0.99071,                0.63116,                0.81311,                0.56909,                 1.3573,                0.70175,                 1.1396,              0.0019753,              0.0019753,              0.0019753
                     60,                 1.3918,                 0.7478,                   1.12,                0.96606,                0.72978,                0.85698,                0.60023,                 1.3529,                0.67631,                 1.1384,              0.0019744,              0.0019744,              0.0019744
                     61,                 1.3426,                0.72925,                 1.1135,                0.96552,                0.71795,                0.85053,                0.60771,                 1.3238,                 0.6671,                 1.1408,              0.0019735,              0.0019735,              0.0019735
                     62,                 1.3509,                0.73068,                  1.117,                0.95466,                0.74753,                0.86352,                0.59484,                 1.3725,                0.68864,                 1.1751,              0.0019726,              0.0019726,              0.0019726
                     63,                 1.3527,                0.73181,                  1.115,                0.97201,                0.75345,                0.86946,                 0.6191,                 1.2956,                0.65996,                 1.1347,              0.0019717,              0.0019717,              0.0019717
                     64,                 1.3213,                0.71543,                 1.1028,                0.97082,                0.72189,                0.85505,                0.58876,                 1.3577,                0.68281,                  1.148,              0.0019708,              0.0019708,              0.0019708
                     65,                 1.3335,                0.71286,                 1.1115,                0.99099,                0.65089,                0.82287,                0.58416,                 1.3577,                0.67549,                 1.1457,              0.0019699,              0.0019699,              0.0019699
                     66,                 1.3363,                0.71748,                 1.1074,                0.96899,                0.73964,                0.86304,                0.60824,                 1.3056,                 0.6449,                  1.121,              0.0019689,              0.0019689,              0.0019689
                     67,                  1.336,                0.71606,                 1.1025,                0.95979,                0.70611,                0.84407,                0.58885,                 1.3481,                0.69425,                 1.1382,              0.0019679,              0.0019679,              0.0019679
                     68,                 1.3199,                0.71375,                 1.0993,                0.95641,                 0.7357,                0.85646,                0.60115,                 1.3277,                0.66844,                 1.1359,              0.0019669,              0.0019669,              0.0019669
                     69,                 1.3239,                0.71379,                 1.0995,                0.98551,                0.67061,                0.83146,                0.58019,                 1.3681,                0.66851,                 1.1497,              0.0019659,              0.0019659,              0.0019659
                     70,                 1.3228,                0.70849,                 1.0947,                0.97368,                0.72978,                0.85878,                0.58042,                 1.3975,                0.67766,                 1.1627,              0.0019649,              0.0019649,              0.0019649
                     71,                 1.3297,                0.71259,                 1.1045,                0.97382,                0.73373,                0.86013,                0.61336,                  1.317,                0.64504,                 1.1317,              0.0019639,              0.0019639,              0.0019639
                     72,                  1.312,                0.70327,                 1.1013,                0.96606,                0.72978,                 0.8569,                0.60685,                 1.2967,                0.65913,                 1.1188,              0.0019628,              0.0019628,              0.0019628
                     73,                 1.3331,                0.70635,                 1.0953,                 0.9571,                0.70414,                0.84146,                0.59347,                 1.3099,                0.69554,                 1.1242,              0.0019618,              0.0019618,              0.0019618
                     74,                 1.3346,                0.70831,                 1.0894,                0.96632,                 0.7357,                0.86012,                0.61384,                 1.2647,                0.64634,                 1.1041,              0.0019607,              0.0019607,              0.0019607
                     75,                 1.3073,                0.70654,                 1.1045,                0.96517,                0.76529,                0.87473,                0.62631,                 1.2882,                0.63607,                 1.1127,              0.0019596,              0.0019596,              0.0019596
                     76,                 1.3175,                0.69798,                  1.101,                0.94236,                0.74162,                0.85855,                0.61598,                 1.2844,                0.65215,                 1.1184,              0.0019585,              0.0019585,              0.0019585
                     77,                 1.3058,                0.70053,                 1.0963,                0.96456,                0.75148,                0.86849,                0.60885,                 1.3285,                0.66415,                 1.1434,              0.0019574,              0.0019574,              0.0019574
                     78,                 1.2998,                0.70174,                  1.093,                0.96465,                0.75345,                0.86884,                0.62176,                 1.3057,                0.63447,                 1.1261,              0.0019562,              0.0019562,              0.0019562
                     79,                 1.2972,                0.70119,                 1.1082,                0.97581,                0.71598,                0.85237,                 0.6205,                 1.2927,                 0.6364,                 1.1152,              0.0019551,              0.0019551,              0.0019551
