                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96285,                0.78003,                 1.5878,                0.68557,                0.38109,                0.51829,                 0.3502,                 1.4458,                 1.2941,                 2.0285,             0.00066044,             0.00066044,             0.00066044
                      2,                 1.0624,                0.78921,                  1.679,                0.79695,                0.44986,                0.64607,                0.41881,                 1.4946,                 1.0221,                 2.0387,               0.001327,               0.001327,               0.001327
                      3,                 1.1137,                0.84287,                  1.704,                0.82581,                0.36676,                0.61735,                0.42626,                 1.5173,                 1.4078,                 1.9676,              0.0019933,              0.0019933,              0.0019933
                      4,                 1.1763,                0.87506,                 1.7122,                 0.8125,                0.44699,                0.65006,                0.43863,                 1.4198,                 1.0498,                 1.9465,              0.0019989,              0.0019989,              0.0019989
                      5,                 1.1197,                0.80561,                 1.6656,                0.74545,                0.46991,                0.62284,                0.41699,                 1.4598,                 1.0155,                 2.0258,              0.0019989,              0.0019989,              0.0019989
                      6,                 1.0712,                0.77021,                 1.6743,                0.89103,                0.39828,                0.65497,                 0.4444,                 1.4136,                0.92186,                 1.9443,               0.001998,               0.001998,               0.001998
                      7,                 1.0316,                0.72458,                 1.6152,                0.81967,                 0.4298,                0.64713,                  0.442,                  1.386,                0.88234,                 1.8695,              0.0019969,              0.0019969,              0.0019969
                      8,                0.99842,                0.71276,                 1.5944,                0.88816,                0.38682,                0.64552,                0.47522,                 1.3334,                0.94788,                 1.8182,              0.0019956,              0.0019956,              0.0019956
                      9,                 1.0023,                0.71941,                 1.6037,                0.81651,                0.51003,                0.68457,                 0.4722,                 1.3368,                0.92921,                  1.896,               0.001994,               0.001994,               0.001994
                     10,                 0.9818,                0.68771,                 1.5924,                0.90854,                0.42693,                0.67907,                 0.4507,                  1.465,                0.88904,                 1.9592,              0.0019922,              0.0019922,              0.0019922
                     11,                0.99593,                0.68692,                 1.5785,                0.75217,                 0.4957,                0.66437,                0.43714,                 1.3951,                 1.0261,                 1.8656,              0.0019901,              0.0019901,              0.0019901
                     12,                0.95875,                0.66461,                 1.5716,                0.87293,                0.45272,                0.68424,                0.47739,                 1.4164,                0.89125,                 1.8793,              0.0019878,              0.0019878,              0.0019878
                     13,                0.93831,                0.65127,                 1.5663,                0.78341,                0.48711,                0.65836,                 0.4557,                 1.3113,                0.91953,                 1.8441,              0.0019853,              0.0019853,              0.0019853
                     14,                 0.9296,                0.64283,                 1.5502,                0.85507,                0.50716,                0.69916,                0.48708,                 1.2812,                0.88512,                 1.8591,              0.0019825,              0.0019825,              0.0019825
                     15,                 0.9216,                0.62078,                 1.5263,                0.88235,                0.47278,                0.69797,                0.50005,                 1.2818,                0.80048,                 1.7723,              0.0019794,              0.0019794,              0.0019794
