                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72918,                0.73179,                  1.464,                      1,                 0.8062,                0.90304,                0.69457,                0.99316,                    nan,                 2.0332,                0.00028,                0.00028,                0.00028
                      2,                0.69187,                0.51425,                 1.4527,                0.06636,                0.88372,                0.06249,                 0.0427,                0.99525,                    inf,                 2.8847,             0.00057996,             0.00057996,             0.00057996
                      3,                0.70913,                0.51281,                 1.4491,                0.86214,                0.87265,                0.92502,                0.61654,                 1.0982,                0.85717,                 2.2871,             0.00087979,             0.00087979,             0.00087979
                      4,                0.73276,                0.53494,                 1.4802,                0.91667,                0.93798,                0.94515,                0.70846,                 1.0123,                  0.513,                  2.212,              0.0011794,              0.0011794,              0.0011794
                      5,                 0.7297,                0.57831,                 1.5212,                0.91667,                0.93798,                0.94515,                0.70846,                    nan,                    nan,                    nan,              0.0014786,              0.0014786,              0.0014786
                      6,                0.76888,                0.55162,                 1.5553,                0.43968,                0.27375,                0.32218,                0.19031,                 2.1325,                 2.7167,                 4.8022,              0.0017773,              0.0017773,              0.0017773
                      7,                0.82544,                0.56114,                 1.5932,                0.55304,                0.13953,                0.34524,                0.20177,                 2.6269,                 2.3849,                 4.9777,              0.0019956,              0.0019956,              0.0019956
                      8,                0.79226,                0.54773,                 1.6174,                0.84444,                0.58915,                0.73131,                0.51793,                 1.2735,                 1.0079,                 2.7538,              0.0019956,              0.0019956,              0.0019956
                      9,                0.78793,                 0.5132,                 1.5326,                0.83333,                0.11628,                 0.4831,                0.34821,                 2.4835,                 2.8896,                 5.4812,               0.001994,               0.001994,               0.001994
                     10,                0.73087,                0.48629,                 1.5418,                0.87775,                 0.8062,                0.91637,                0.66102,                 1.0242,                0.78706,                 2.1632,              0.0019922,              0.0019922,              0.0019922
                     11,                0.73039,                0.47736,                 1.5327,                  0.935,                0.89213,                0.95931,                0.71137,                0.99031,                0.59364,                 2.0575,              0.0019901,              0.0019901,              0.0019901
                     12,                0.68518,                0.45186,                 1.4822,                0.98425,                0.96899,                0.98308,                0.74283,                0.93011,                0.42169,                 2.0292,              0.0019878,              0.0019878,              0.0019878
                     13,                0.71237,                0.46298,                 1.4855,                0.93828,                0.89922,                0.96177,                0.71149,                0.99486,                  0.603,                 2.0717,              0.0019853,              0.0019853,              0.0019853
                     14,                0.71559,                0.46183,                 1.5487,                0.88815,                0.90698,                0.97279,                0.70789,                 1.0077,                0.68536,                 2.1116,              0.0019825,              0.0019825,              0.0019825
                     15,                0.68546,                0.45186,                 1.5205,                0.91877,                0.95349,                0.97918,                0.75428,                0.95093,                0.58688,                 2.0406,              0.0019794,              0.0019794,              0.0019794
                     16,                0.67744,                0.44647,                  1.508,                0.91371,                0.95349,                 0.9796,                0.75388,                0.90022,                0.64757,                 1.9559,              0.0019762,              0.0019762,              0.0019762
                     17,                0.64654,                0.43748,                 1.4536,                0.90251,                0.95349,                0.97032,                0.75632,                0.89489,                0.56869,                 1.9756,              0.0019726,              0.0019726,              0.0019726
                     18,                0.64276,                0.43481,                 1.4488,                0.98313,                 0.9036,                0.95029,                0.75482,                0.88258,                0.43647,                 1.9437,              0.0019689,              0.0019689,              0.0019689
                     19,                0.64455,                0.43059,                 1.4193,                0.95278,                0.97674,                0.98791,                0.76063,                0.93135,                0.51456,                 1.9693,              0.0019649,              0.0019649,              0.0019649
                     20,                0.65126,                 0.4208,                 1.4325,                 0.9771,                0.99225,                0.99415,                0.77008,                0.92631,                0.41931,                 2.0624,              0.0019607,              0.0019607,              0.0019607
                     21,                0.64199,                0.40915,                 1.4613,                0.99219,                 0.9845,                0.99101,                  0.768,                0.89866,                0.39648,                   1.93,              0.0019562,              0.0019562,              0.0019562
                     22,                0.62987,                0.40331,                 1.4463,                0.97326,                0.97674,                0.99208,                0.76609,                 0.9116,                0.45383,                  2.171,              0.0019515,              0.0019515,              0.0019515
                     23,                0.63175,                 0.3997,                 1.4832,                0.96119,                 0.9599,                0.99096,                0.77212,                0.92033,                0.47187,                 2.0665,              0.0019466,              0.0019466,              0.0019466
                     24,                0.61275,                0.39953,                 1.4036,                0.98413,                0.96124,                0.97919,                 0.7621,                0.86744,                0.37602,                 2.0693,              0.0019415,              0.0019415,              0.0019415
                     25,                0.58521,                 0.3862,                 1.4426,                0.96947,                 0.9845,                0.98856,                 0.7573,                 0.8928,                0.40595,                 2.0372,              0.0019361,              0.0019361,              0.0019361
