                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5803,                 3.4787,                 4.1951,                      0,                      0,                      0,                      0,                 3.3707,                 3.4878,                 4.1517,              0.0033125,              0.0033125,              0.0033125
                      2,                 4.1302,                 2.4143,                 3.9257,                      0,                      0,                      0,                      0,                 2.4914,                 2.4858,                 4.0373,              0.0066458,              0.0066458,              0.0066458
                      3,                 3.0081,                 2.0963,                 3.6748,                0.55556,                0.08772,                0.31192,                0.13344,                 2.2004,                 2.2862,                 3.8308,              0.0099791,              0.0099791,              0.0099791
                      4,                 2.4587,                 1.7755,                 3.4919,                0.77419,                0.42105,                0.61843,                0.29003,                 2.0606,                  1.705,                  3.815,              0.0099999,              0.0099999,              0.0099999
                      5,                 2.1487,                 1.4547,                 3.2917,                    0.9,                0.47368,                0.69723,                0.42577,                 1.7091,                  1.266,                  3.568,              0.0099999,              0.0099999,              0.0099999
                      6,                 1.9573,                 1.3009,                  3.094,                0.94286,                0.57895,                0.77338,                0.45784,                  1.661,                0.97777,                 3.3588,              0.0099999,              0.0099999,              0.0099999
                      7,                 1.8119,                 1.2078,                 2.9771,                      1,                0.54386,                 0.7719,                0.56014,                 1.3132,                0.89522,                 3.1578,              0.0099998,              0.0099998,              0.0099998
                      8,                 1.7065,                 1.1219,                 2.8709,                0.95652,                0.38596,                0.67218,                0.41864,                 1.5553,                 1.1403,                 3.3308,              0.0099997,              0.0099997,              0.0099997
                      9,                 1.6051,                  1.045,                 2.6994,                0.96296,                0.45614,                0.71275,                0.46841,                 1.4365,                0.93301,                 3.0675,              0.0099996,              0.0099996,              0.0099996
                     10,                 1.5439,                 1.0163,                 2.6587,                 0.9804,                0.57895,                0.78063,                0.57846,                 1.2697,                0.81024,                 2.8671,              0.0099995,              0.0099995,              0.0099995
                     11,                 1.4937,                0.95809,                 2.5815,                0.94118,                 0.5614,                0.76414,                 0.5559,                  1.255,                0.76696,                  2.788,              0.0099994,              0.0099994,              0.0099994
                     12,                 1.4426,                0.92774,                  2.534,                0.97667,                0.59649,                0.79241,                0.62035,                 1.1674,                 0.7312,                 2.8237,              0.0099992,              0.0099992,              0.0099992
                     13,                 1.4041,                0.90862,                 2.4999,                0.92105,                0.61404,                0.78435,                0.60227,                 1.2071,                0.70531,                 2.8567,              0.0099991,              0.0099991,              0.0099991
                     14,                 1.3703,                0.86327,                 2.4704,                      1,                0.61404,                0.80699,                0.60074,                  1.228,                0.66778,                  2.824,              0.0099989,              0.0099989,              0.0099989
                     15,                 1.3599,                 0.8459,                 2.4329,                0.96656,                0.59649,                0.78693,                0.61301,                 1.1777,                0.68768,                 2.7374,              0.0099987,              0.0099987,              0.0099987
                     16,                 1.3386,                0.83034,                 2.4313,                0.94286,                0.57895,                 0.7616,                0.59921,                 1.1311,                0.70921,                  2.715,              0.0099985,              0.0099985,              0.0099985
                     17,                 1.3163,                0.80342,                 2.3812,                0.94595,                0.61404,                0.78884,                0.61506,                 1.1031,                0.66231,                 2.6522,              0.0099983,              0.0099983,              0.0099983
                     18,                 1.2903,                0.80884,                 2.3625,                0.97222,                0.61404,                 0.8011,                0.64002,                 1.0747,                 0.6198,                 2.5603,              0.0099981,              0.0099981,              0.0099981
                     19,                 1.2808,                0.78908,                 2.3752,                      1,                0.61404,                0.80699,                0.61974,                 1.1848,                 0.6193,                 2.7542,              0.0099978,              0.0099978,              0.0099978
                     20,                 1.2519,                0.75991,                 2.3234,                      1,                0.61404,                0.80699,                0.63892,                 1.0898,                0.58115,                 2.6631,              0.0099976,              0.0099976,              0.0099976
                     21,                 1.2597,                0.75703,                 2.2902,                      1,                0.61404,                0.80699,                0.64119,                 1.0984,                0.55521,                 2.6005,              0.0099973,              0.0099973,              0.0099973
