                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86132,                 1.3419,                 1.8857,                0.58955,                      1,                0.64821,                0.53281,                 1.2582,                 11.438,                  3.608,             0.00054956,             0.00054956,             0.00054956
                      2,                 0.7364,                0.76363,                 1.6905,                0.68123,                0.89067,                0.94648,                0.59898,                 1.5255,                 2.2324,                 3.0451,              0.0011052,              0.0011052,              0.0011052
                      3,                0.73528,                 0.7739,                 1.6208,                0.65146,                0.95833,                 0.7571,                0.51252,                 1.4057,                 2.7418,                 4.4762,              0.0016605,              0.0016605,              0.0016605
                      4,                0.68947,                0.66986,                 1.6368,                0.97807,                      1,                  0.995,                0.72916,                 1.2707,                 1.3784,                 3.3061,              0.0016661,              0.0016661,              0.0016661
                      5,                0.62797,                 0.5307,                 1.5414,                0.99287,                      1,                  0.995,                0.75891,                 1.2344,                0.70497,                 3.0599,              0.0016661,              0.0016661,              0.0016661
                      6,                0.55803,                0.45159,                 1.4587,                0.97837,                      1,                  0.995,                0.78539,                 1.1935,                0.51324,                 3.1132,              0.0016654,              0.0016654,              0.0016654
                      7,                 0.5371,                0.40159,                  1.501,                0.94492,                0.78571,                0.89035,                 0.6915,                 1.2574,                0.74602,                 3.0404,              0.0016645,              0.0016645,              0.0016645
                      8,                 0.5421,                0.43464,                   1.44,                      1,                      1,                  0.995,                0.78963,                 1.1585,                0.53437,                 2.7811,              0.0016633,              0.0016633,              0.0016633
                      9,                0.50336,                0.37973,                 1.4148,                      1,                      1,                  0.995,                0.76241,                  1.222,                0.45564,                 2.8996,               0.001662,               0.001662,               0.001662
                     10,                0.50852,                0.35723,                 1.4128,                0.98223,                      1,                  0.995,                0.77754,                 1.1985,                0.49016,                 2.7902,              0.0016605,              0.0016605,              0.0016605
                     11,                0.53477,                0.35964,                 1.4361,                      1,                      1,                  0.995,                0.80505,                  1.167,                0.43775,                 2.9861,              0.0016588,              0.0016588,              0.0016588
                     12,                0.51342,                0.33936,                 1.3885,                      1,                      1,                  0.995,                0.77467,                 1.1769,                0.42994,                 2.7856,              0.0016568,              0.0016568,              0.0016568
                     13,                0.47726,                0.31918,                  1.367,                      1,                      1,                  0.995,                0.79416,                 1.1669,                0.38417,                 2.8588,              0.0016547,              0.0016547,              0.0016547
                     14,                0.47896,                0.31486,                 1.3729,                   0.98,                0.92857,                0.96095,                0.74714,                 1.2289,                0.44917,                 2.8395,              0.0016524,              0.0016524,              0.0016524
                     15,                0.47613,                0.31385,                 1.4101,                      1,                      1,                  0.995,                0.78811,                 1.2218,                0.40981,                 2.8533,              0.0016499,              0.0016499,              0.0016499
                     16,                 0.4566,                0.29643,                 1.3621,                0.99474,                      1,                  0.995,                0.78235,                 1.2207,                0.41094,                  2.766,              0.0016471,              0.0016471,              0.0016471
                     17,                0.46277,                0.29989,                 1.3603,                      1,                      1,                  0.995,                 0.7781,                 1.1512,                0.39237,                 2.6992,              0.0016442,              0.0016442,              0.0016442
                     18,                0.44191,                0.29915,                 1.3474,                      1,                      1,                  0.995,                0.77391,                 1.1498,                0.43719,                 3.1561,              0.0016411,              0.0016411,              0.0016411
                     19,                0.46223,                0.30264,                  1.349,                      1,                      1,                  0.995,                0.79163,                 1.1949,                0.42123,                 2.6805,              0.0016378,              0.0016378,              0.0016378
                     20,                0.44021,                0.28773,                 1.3588,                      1,                      1,                  0.995,                0.81058,                 1.0988,                0.38687,                 2.6452,              0.0016342,              0.0016342,              0.0016342
                     21,                0.41233,                0.28219,                 1.3448,                0.98389,                      1,                  0.995,                0.80318,                 1.1298,                0.43648,                 2.7448,              0.0016305,              0.0016305,              0.0016305
                     22,                0.42687,                 0.2852,                 1.3503,                      1,                      1,                  0.995,                0.80654,                 1.0945,                0.37533,                 2.8104,              0.0016266,              0.0016266,              0.0016266
                     23,                0.42251,                 0.2813,                 1.3376,                      1,                      1,                  0.995,                0.81793,                 1.0697,                 0.4057,                 2.7631,              0.0016225,              0.0016225,              0.0016225
                     24,                0.42755,                0.29083,                 1.3653,                      1,                      1,                  0.995,                0.81631,                 1.0784,                0.39073,                 3.0424,              0.0016182,              0.0016182,              0.0016182
                     25,                0.41469,                0.27247,                 1.3291,                      1,                      1,                  0.995,                0.79543,                 1.1076,                0.38713,                 2.8902,              0.0016137,              0.0016137,              0.0016137
                     26,                0.42324,                0.27885,                 1.3598,                      1,                      1,                  0.995,                0.79416,                 1.1782,                0.39383,                 2.8581,              0.0016091,              0.0016091,              0.0016091
                     27,                0.42268,                0.28024,                 1.3425,                      1,                      1,                  0.995,                0.78818,                 1.1376,                0.37183,                  3.184,              0.0016042,              0.0016042,              0.0016042
                     28,                0.40575,                0.26958,                 1.3544,                      1,                      1,                  0.995,                0.80144,                 1.1147,                0.38378,                 2.8498,              0.0015991,              0.0015991,              0.0015991
                     29,                0.39951,                0.25967,                 1.3118,                      1,                      1,                  0.995,                0.80575,                  1.102,                0.37789,                 2.9291,              0.0015939,              0.0015939,              0.0015939
                     30,                0.41517,                 0.2673,                 1.3351,                      1,                      1,                  0.995,                 0.8021,                 1.1435,                0.37143,                 3.0383,              0.0015885,              0.0015885,              0.0015885
                     31,                 0.4123,                0.26391,                 1.3233,                      1,                      1,                  0.995,                0.80171,                 1.1623,                0.37995,                 2.7756,              0.0015829,              0.0015829,              0.0015829
                     32,                0.39368,                0.25715,                 1.2961,                      1,                      1,                  0.995,                0.80443,                 1.1295,                0.37769,                 2.7215,              0.0015771,              0.0015771,              0.0015771
                     33,                0.40785,                0.26333,                 1.3303,                      1,                      1,                  0.995,                0.81353,                 1.0841,                0.37872,                 3.0626,              0.0015711,              0.0015711,              0.0015711
                     34,                0.38273,                 0.2446,                 1.2981,                      1,                      1,                  0.995,                0.80954,                 1.0771,                0.37211,                 2.9388,              0.0015649,              0.0015649,              0.0015649
                     35,                0.38172,                0.24942,                 1.2745,                      1,                      1,                  0.995,                0.80705,                 1.1122,                0.39249,                 2.8541,              0.0015586,              0.0015586,              0.0015586
                     36,                0.38388,                0.24123,                 1.2841,                      1,                      1,                  0.995,                0.80305,                 1.0905,                0.36822,                 2.7568,              0.0015521,              0.0015521,              0.0015521
                     37,                0.38001,                0.23933,                 1.2954,                      1,                      1,                  0.995,                0.79845,                 1.0892,                0.36127,                 2.6794,              0.0015454,              0.0015454,              0.0015454
                     38,                 0.3749,                0.24633,                 1.3261,                0.99545,                      1,                  0.995,                0.80777,                 1.1646,                0.43891,                 2.8224,              0.0015385,              0.0015385,              0.0015385
                     39,                0.38324,                0.24924,                 1.2979,                      1,                      1,                  0.995,                0.80773,                   1.12,                0.39465,                 2.8363,              0.0015315,              0.0015315,              0.0015315
                     40,                0.36821,                0.24186,                 1.2508,                      1,                      1,                  0.995,                0.80384,                 1.1032,                0.37285,                 3.0887,              0.0015243,              0.0015243,              0.0015243
                     41,                0.37398,                0.24129,                 1.2754,                      1,                      1,                  0.995,                0.79766,                  1.088,                0.37491,                 3.1261,              0.0015169,              0.0015169,              0.0015169
                     42,                0.37458,                 0.2375,                 1.2764,                      1,                      1,                  0.995,                 0.8012,                 1.0915,                0.37132,                 2.7029,              0.0015094,              0.0015094,              0.0015094
                     43,                 0.3904,                0.24797,                 1.2913,                      1,                      1,                  0.995,                0.78834,                 1.1233,                0.37711,                 2.9003,              0.0015017,              0.0015017,              0.0015017
                     44,                0.37369,                0.23914,                 1.2787,                      1,                      1,                  0.995,                0.80761,                 1.1118,                0.38745,                 2.9423,              0.0014938,              0.0014938,              0.0014938
                     45,                 0.3822,                0.24113,                 1.2599,                      1,                      1,                  0.995,                0.80536,                  1.098,                0.38092,                  2.924,              0.0014858,              0.0014858,              0.0014858
                     46,                0.37787,                0.24032,                 1.2982,                      1,                      1,                  0.995,                0.77884,                 1.1738,                0.39212,                 2.8603,              0.0014776,              0.0014776,              0.0014776
                     47,                 0.3782,                0.24407,                 1.2716,                      1,                      1,                  0.995,                0.78786,                 1.0928,                0.37327,                 2.9681,              0.0014693,              0.0014693,              0.0014693
                     48,                0.36915,                0.24025,                 1.2708,                      1,                      1,                  0.995,                0.79657,                 1.1391,                0.37444,                 2.9795,              0.0014608,              0.0014608,              0.0014608
                     49,                0.37127,                0.23663,                 1.2668,                      1,                      1,                  0.995,                0.79561,                 1.1326,                0.36758,                 2.7037,              0.0014522,              0.0014522,              0.0014522
                     50,                0.36979,                0.23919,                 1.2874,                      1,                      1,                  0.995,                0.78319,                 1.1275,                0.37893,                 2.7595,              0.0014434,              0.0014434,              0.0014434
                     51,                0.37595,                0.22939,                 1.2592,                      1,                      1,                  0.995,                0.80585,                 1.0874,                0.35239,                 2.9017,              0.0014344,              0.0014344,              0.0014344
                     52,                0.36054,                 0.2307,                 1.2548,                      1,                      1,                  0.995,                 0.7999,                 1.1092,                0.38722,                 2.7526,              0.0014253,              0.0014253,              0.0014253
                     53,                0.35977,                0.23393,                 1.2644,                      1,                      1,                  0.995,                0.79345,                 1.0841,                0.37814,                 2.9192,              0.0014161,              0.0014161,              0.0014161
                     54,                0.35091,                0.22913,                 1.2473,                      1,                      1,                  0.995,                0.79946,                 1.0612,                0.35719,                 2.8541,              0.0014067,              0.0014067,              0.0014067
                     55,                0.34914,                 0.2259,                 1.2392,                      1,                      1,                  0.995,                0.79072,                 1.1136,                0.37086,                 3.0547,              0.0013972,              0.0013972,              0.0013972
                     56,                0.37054,                0.23695,                 1.2569,                      1,                      1,                  0.995,                  0.796,                 1.1486,                0.36084,                 2.8678,              0.0013875,              0.0013875,              0.0013875
                     57,                0.35574,                0.22647,                 1.2558,                      1,                      1,                  0.995,                0.78713,                 1.1173,                0.36284,                 2.9619,              0.0013777,              0.0013777,              0.0013777
                     58,                0.35343,                0.22493,                 1.2349,                      1,                      1,                  0.995,                0.77811,                 1.1078,                 0.3884,                 2.9034,              0.0013678,              0.0013678,              0.0013678
                     59,                0.35183,                0.22253,                 1.2594,                      1,                      1,                  0.995,                0.77645,                 1.1472,                0.37849,                 2.9238,              0.0013578,              0.0013578,              0.0013578
                     60,                0.35687,                0.22542,                 1.2569,                      1,                      1,                  0.995,                0.80311,                 1.1284,                0.37453,                 2.8887,              0.0013476,              0.0013476,              0.0013476
                     61,                0.34828,                0.22292,                 1.2335,                      1,                      1,                  0.995,                0.78265,                 1.1324,                0.36233,                 3.0019,              0.0013373,              0.0013373,              0.0013373
                     62,                0.34457,                0.22553,                 1.2306,                      1,                      1,                  0.995,                0.78809,                 1.1428,                0.36005,                 2.7638,              0.0013269,              0.0013269,              0.0013269
                     63,                0.35239,                0.22601,                 1.2188,                      1,                      1,                  0.995,                0.79702,                 1.1078,                0.35146,                 2.9559,              0.0013163,              0.0013163,              0.0013163
                     64,                0.35448,                0.23111,                 1.2386,                      1,                      1,                  0.995,                0.77561,                 1.1223,                0.36189,                 2.8376,              0.0013056,              0.0013056,              0.0013056
                     65,                0.35945,                0.23222,                 1.2528,                      1,                      1,                  0.995,                0.78897,                 1.1111,                0.38085,                 3.1058,              0.0012949,              0.0012949,              0.0012949
                     66,                0.34481,                0.22093,                 1.2107,                      1,                      1,                  0.995,                0.77783,                 1.1508,                0.36914,                  2.858,               0.001284,               0.001284,               0.001284
                     67,                 0.3443,                  0.222,                 1.2335,                      1,                      1,                  0.995,                0.79092,                 1.0847,                0.37212,                 3.0657,               0.001273,               0.001273,               0.001273
