                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88548,                0.61214,                 1.5135,                0.97778,                0.59459,                0.79137,                0.58502,                  1.211,                0.61289,                 2.0908,             0.00065833,             0.00065833,             0.00065833
                      2,                0.97535,                0.65014,                 1.5805,                0.68433,                0.66892,                0.69846,                0.41741,                 1.3954,                 0.9108,                 2.1359,              0.0013249,              0.0013249,              0.0013249
                      3,                 1.0571,                0.69438,                 1.6183,                0.93729,                0.63964,                0.80537,                0.55688,                  1.287,                0.69731,                 1.9671,              0.0019912,              0.0019912,              0.0019912
                      4,                 1.0496,                0.68674,                 1.6139,                0.81203,                0.72973,                0.81511,                0.55845,                 1.2564,                0.78761,                 1.9906,              0.0019989,              0.0019989,              0.0019989
                      5,                0.99122,                0.63093,                 1.6083,                0.90395,                0.72072,                0.83033,                0.55444,                 1.3575,                0.67107,                  2.033,              0.0019989,              0.0019989,              0.0019989
                      6,                0.93057,                0.57676,                 1.5521,                0.82487,                0.73198,                0.81264,                0.53569,                 1.3089,                0.75628,                 2.0702,               0.001998,               0.001998,               0.001998
                      7,                0.89704,                0.55525,                 1.5374,                0.92733,                0.71847,                0.83917,                0.58293,                 1.2344,                0.64687,                 1.9196,              0.0019969,              0.0019969,              0.0019969
                      8,                0.87859,                0.53998,                 1.5584,                0.96396,                0.72297,                0.85191,                0.60151,                 1.2286,                 0.6042,                 1.9377,              0.0019956,              0.0019956,              0.0019956
                      9,                0.86935,                0.53257,                  1.518,                0.96407,                0.72523,                0.85384,                0.60033,                 1.2088,                0.61935,                 1.9403,               0.001994,               0.001994,               0.001994
                     10,                0.84685,                 0.5072,                 1.4638,                 0.9142,                0.69595,                0.82135,                0.56103,                 1.3183,                0.68341,                 2.0827,              0.0019922,              0.0019922,              0.0019922
                     11,                0.82687,                0.50097,                 1.4841,                0.97633,                0.74324,                 0.8657,                 0.6276,                 1.1663,                0.55835,                 1.9446,              0.0019901,              0.0019901,              0.0019901
                     12,                0.80646,                0.48314,                 1.4615,                0.94848,                0.70495,                0.83878,                0.58606,                 1.2248,                0.64225,                 1.9841,              0.0019878,              0.0019878,              0.0019878
                     13,                0.79718,                0.48132,                 1.4822,                0.90462,                0.70495,                0.82721,                0.56067,                 1.2689,                0.66631,                 2.0373,              0.0019853,              0.0019853,              0.0019853
                     14,                 0.7849,                 0.4698,                 1.4519,                0.93023,                0.72072,                0.84349,                0.60703,                 1.1732,                0.58967,                 1.9823,              0.0019825,              0.0019825,              0.0019825
                     15,                0.78514,                0.46746,                   1.45,                0.96348,                0.77252,                0.87632,                0.61176,                 1.1836,                0.57929,                 1.9727,              0.0019794,              0.0019794,              0.0019794
                     16,                0.77941,                0.46022,                 1.4655,                0.97059,                0.74324,                0.86332,                0.62254,                 1.1644,                0.56669,                 1.8838,              0.0019762,              0.0019762,              0.0019762
                     17,                0.76684,                0.46039,                 1.4525,                0.93085,                0.78829,                0.87635,                0.63575,                 1.1362,                0.53195,                 1.8734,              0.0019726,              0.0019726,              0.0019726
                     18,                0.77636,                0.45522,                 1.4584,                0.94164,                0.79955,                0.88896,                0.63342,                 1.1712,                0.54462,                 1.9844,              0.0019689,              0.0019689,              0.0019689
                     19,                0.77663,                0.45726,                 1.4703,                0.84733,                   0.75,                0.82912,                 0.5585,                 1.3003,                0.65737,                 2.0679,              0.0019649,              0.0019649,              0.0019649
                     20,                0.76818,                 0.4484,                 1.4205,                0.95745,                0.81081,                0.89814,                0.64613,                 1.1358,                0.55137,                 1.9727,              0.0019607,              0.0019607,              0.0019607
                     21,                0.75096,                0.43824,                 1.4386,                0.95109,                0.78829,                0.88025,                0.62882,                  1.156,                0.56462,                 1.9451,              0.0019562,              0.0019562,              0.0019562
                     22,                 0.7541,                0.43772,                 1.4137,                0.93801,                0.78378,                0.87371,                 0.6156,                 1.1797,                0.57186,                  2.009,              0.0019515,              0.0019515,              0.0019515
                     23,                0.75557,                0.43441,                 1.4194,                0.97458,                0.77703,                0.88154,                0.63304,                 1.1565,                0.54803,                 1.9445,              0.0019466,              0.0019466,              0.0019466
                     24,                0.73578,                0.43007,                 1.4232,                  0.953,                0.82207,                 0.9014,                0.62871,                 1.1702,                0.54965,                 1.9105,              0.0019415,              0.0019415,              0.0019415
                     25,                0.72665,                0.42141,                 1.4239,                0.94766,                0.77477,                0.87543,                0.62874,                  1.161,                0.55296,                 1.9141,              0.0019361,              0.0019361,              0.0019361
                     26,                0.72576,                0.42399,                 1.4104,                0.94695,                0.80405,                0.88876,                0.62999,                  1.179,                0.54297,                 1.9533,              0.0019305,              0.0019305,              0.0019305
                     27,                0.72272,                0.41997,                  1.437,                0.96021,                0.81532,                0.89987,                0.64127,                   1.13,                0.52741,                   1.92,              0.0019246,              0.0019246,              0.0019246
                     28,                0.70669,                 0.4091,                 1.3981,                0.97043,                0.81306,                 0.9005,                0.64047,                 1.1397,                 0.5306,                 1.9074,              0.0019186,              0.0019186,              0.0019186
                     29,                0.70356,                0.40663,                 1.4151,                0.95065,                0.82432,                0.90309,                0.64367,                 1.1309,                0.54177,                 1.9326,              0.0019123,              0.0019123,              0.0019123
                     30,                0.70971,                0.41264,                 1.4016,                0.94199,                0.76802,                0.86883,                0.62316,                 1.1611,                0.55085,                 1.9936,              0.0019058,              0.0019058,              0.0019058
                     31,                0.70858,                 0.4144,                 1.4085,                0.97283,                0.80631,                0.89665,                0.64255,                 1.1329,                0.52556,                 1.9192,               0.001899,               0.001899,               0.001899
                     32,                0.70772,                0.40697,                 1.4097,                0.96317,                0.76577,                0.87326,                0.62396,                 1.1576,                0.55851,                 1.9339,              0.0018921,              0.0018921,              0.0018921
                     33,                0.70305,                0.40821,                 1.3988,                 0.9478,                0.77703,                0.87438,                0.63619,                 1.1201,                0.53991,                 1.9526,              0.0018849,              0.0018849,              0.0018849
                     34,                0.69269,                0.40292,                 1.4123,                0.95213,                0.80631,                0.89164,                0.63288,                 1.1572,                0.52993,                  1.951,              0.0018775,              0.0018775,              0.0018775
                     35,                0.69717,                0.40101,                 1.3963,                 0.9492,                0.79955,                0.88553,                0.64127,                  1.138,                0.52714,                   1.94,              0.0018699,              0.0018699,              0.0018699
                     36,                0.70633,                0.41025,                   1.39,                0.93147,                0.82658,                0.89946,                0.63673,                 1.1539,                 0.5508,                 1.9402,              0.0018621,              0.0018621,              0.0018621
                     37,                0.68304,                0.39617,                 1.3768,                 0.9543,                0.79955,                0.88865,                0.63927,                 1.1436,                0.52618,                 1.9444,              0.0018541,              0.0018541,              0.0018541
                     38,                0.68397,                0.39524,                 1.3694,                0.93634,                0.79505,                0.88268,                0.63318,                 1.1362,                0.54449,                 1.9224,              0.0018459,              0.0018459,              0.0018459
                     39,                0.68188,                0.39127,                 1.3645,                0.91049,                 0.8018,                0.87764,                0.61576,                 1.1792,                0.56232,                  1.998,              0.0018374,              0.0018374,              0.0018374
                     40,                0.67672,                0.38517,                 1.3616,                0.93194,                 0.8018,                0.88613,                0.63325,                 1.1305,                0.52599,                 1.9232,              0.0018288,              0.0018288,              0.0018288
                     41,                0.67464,                 0.3801,                 1.3626,                0.95251,                0.81306,                0.89484,                0.64045,                 1.1335,                0.51702,                 1.9231,                0.00182,                0.00182,                0.00182
                     42,                0.67132,                0.38323,                  1.369,                0.92658,                0.82432,                0.89871,                0.62189,                 1.1749,                0.55741,                 1.9996,              0.0018109,              0.0018109,              0.0018109
                     43,                0.67603,                0.38024,                  1.384,                0.95026,                0.81757,                0.89741,                0.63926,                 1.1313,                0.52664,                  1.935,              0.0018017,              0.0018017,              0.0018017
                     44,                0.67399,                0.38522,                  1.377,                0.93566,                0.78604,                0.87779,                0.62692,                 1.1636,                0.56713,                  2.055,              0.0017923,              0.0017923,              0.0017923
                     45,                  0.658,                0.37457,                  1.351,                 0.9313,                0.82432,                0.89641,                0.63767,                 1.1398,                 0.5228,                 2.0393,              0.0017826,              0.0017826,              0.0017826
                     46,                0.65445,                0.37433,                 1.3504,                 0.9349,                0.80856,                0.89215,                0.63175,                  1.136,                0.52422,                 1.9487,              0.0017728,              0.0017728,              0.0017728
                     47,                0.65427,                 0.3728,                 1.3285,                0.93165,                0.82883,                0.89957,                0.62876,                  1.167,                0.53457,                   2.02,              0.0017628,              0.0017628,              0.0017628
                     48,                0.65745,                0.37596,                 1.3555,                0.94488,                0.81081,                0.89357,                0.64094,                 1.1353,                0.52677,                 1.9555,              0.0017526,              0.0017526,              0.0017526
                     49,                0.65577,                0.37724,                 1.3573,                0.94503,                0.81306,                0.89389,                0.63818,                 1.1322,                0.52686,                 1.9461,              0.0017422,              0.0017422,              0.0017422
                     50,                0.65532,                0.37484,                 1.3565,                 0.9443,                0.84009,                0.91046,                0.64213,                 1.1269,                0.53126,                 1.9601,              0.0017317,              0.0017317,              0.0017317
                     51,                0.64824,                0.36871,                 1.3571,                0.93147,                0.82658,                0.89799,                0.64417,                 1.1089,                0.52948,                 1.9558,              0.0017209,              0.0017209,              0.0017209
                     52,                0.64587,                0.36996,                 1.3489,                0.93112,                0.82207,                0.89828,                0.63879,                 1.1258,                0.54045,                 1.9883,                0.00171,                0.00171,                0.00171
