                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9778,                0.78495,                 2.0598,                0.84315,                0.67968,                0.81938,                0.43139,                 1.5979,                 1.7291,                 2.5664,             0.00066019,             0.00066019,             0.00066019
                      2,                 0.9881,                0.71641,                  2.122,                0.92537,                0.71264,                0.83527,                0.57925,                 1.3993,                 1.0747,                 2.1822,              0.0013268,              0.0013268,              0.0013268
                      3,                 1.0173,                0.71503,                 2.0951,                0.90262,                0.77011,                0.86691,                0.59291,                 1.3559,                 1.0076,                 2.2974,               0.001993,               0.001993,               0.001993
                      4,                 1.0399,                0.70589,                 2.1472,                 0.9141,                 0.8046,                  0.876,                0.61026,                 1.3362,                 1.0411,                  2.197,              0.0019989,              0.0019989,              0.0019989
                      5,                0.94535,                 0.6122,                 2.0186,                0.94366,                0.77011,                0.87716,                0.62768,                 1.2413,                0.76404,                 2.2305,              0.0019989,              0.0019989,              0.0019989
                      6,                0.91217,                0.57803,                 2.0077,                0.93421,                0.81609,                0.89083,                0.63754,                 1.2809,                0.82624,                 2.2522,               0.001998,               0.001998,               0.001998
                      7,                 0.8714,                0.53919,                 2.0156,                0.93275,                 0.8046,                0.90161,                0.62494,                 1.2693,                  0.817,                 2.0826,              0.0019969,              0.0019969,              0.0019969
                      8,                0.86269,                0.52964,                 1.9565,                0.90697,                0.85057,                0.91094,                0.66059,                 1.1666,                0.68209,                 2.1412,              0.0019956,              0.0019956,              0.0019956
                      9,                0.87291,                 0.5721,                 2.0049,                0.97015,                0.74713,                 0.8669,                0.67374,                 1.2112,                0.73406,                 2.1564,               0.001994,               0.001994,               0.001994
                     10,                0.82649,                0.53059,                 1.9666,                    0.9,                0.82759,                 0.8919,                 0.6403,                 1.1951,                0.69101,                 2.1398,              0.0019922,              0.0019922,              0.0019922
                     11,                0.83613,                0.52012,                 1.9223,                0.95062,                0.88506,                0.93275,                0.67754,                 1.1969,                0.69936,                 2.2175,              0.0019901,              0.0019901,              0.0019901
                     12,                0.76886,                0.47188,                 1.8522,                0.94805,                0.83908,                  0.912,                0.67344,                 1.1639,                0.67523,                 2.1181,              0.0019878,              0.0019878,              0.0019878
                     13,                0.76027,                0.46114,                  1.848,                0.98684,                0.86207,                0.92945,                0.66831,                 1.2181,                0.65309,                 2.1062,              0.0019853,              0.0019853,              0.0019853
                     14,                 0.7586,                0.45926,                 1.8307,                0.96203,                0.87356,                0.93011,                 0.6737,                 1.1552,                0.66402,                  2.097,              0.0019825,              0.0019825,              0.0019825
                     15,                0.73832,                0.45628,                 1.8237,                0.98701,                0.87356,                0.93472,                0.68086,                 1.1248,                0.62271,                 2.1992,              0.0019794,              0.0019794,              0.0019794
