                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78757,                0.50665,                 1.7133,                0.95165,                0.85404,                0.91765,                 0.6516,                 1.1885,                0.52755,                 2.5112,                0.00048,                0.00048,                0.00048
                      2,                 0.8025,                0.55079,                   1.73,                0.80974,                 0.7357,                0.79487,                0.50519,                 1.4735,                0.85588,                 2.7486,             0.00097994,             0.00097994,             0.00097994
                      3,                0.86163,                0.60032,                 1.7513,                0.54839,                0.20118,                0.36383,                0.21143,                 2.0326,                 1.7304,                 2.7853,              0.0014796,              0.0014796,              0.0014796
                      4,                 0.9011,                0.60454,                 1.8163,                0.59275,                0.56841,                0.59329,                0.35458,                 1.6227,                 1.2252,                 2.6229,              0.0019789,              0.0019789,              0.0019789
                      5,                0.88232,                0.57422,                 1.8224,                0.86655,                0.84024,                0.90181,                0.59909,                 1.2457,                0.80383,                 2.4458,               0.001998,               0.001998,               0.001998
                      6,                0.87438,                0.55283,                 1.8875,                0.88119,                0.81854,                0.91849,                0.56566,                 1.2084,                0.82225,                 2.1997,               0.001998,               0.001998,               0.001998
                      7,                0.85683,                0.56129,                 1.8186,                0.89445,                0.86915,                0.91876,                0.66277,                 1.1349,                0.72261,                   2.27,              0.0019969,              0.0019969,              0.0019969
                      8,                 0.8342,                0.53594,                 1.8089,                 0.9477,                0.89349,                0.93832,                0.63865,                   1.23,                 0.5789,                 2.2969,              0.0019956,              0.0019956,              0.0019956
                      9,                0.79386,                0.49878,                 1.7479,                0.94128,                0.88528,                0.93487,                0.66765,                  1.108,                0.57002,                 2.1437,               0.001994,               0.001994,               0.001994
                     10,                0.76693,                0.48997,                 1.7068,                0.95503,                0.87968,                0.93346,                0.65409,                 1.1946,                0.58821,                  2.204,              0.0019922,              0.0019922,              0.0019922
                     11,                0.76286,                0.47657,                 1.7381,                0.88883,                0.82003,                0.91019,                0.62985,                 1.1859,                0.64374,                 2.1817,              0.0019901,              0.0019901,              0.0019901
                     12,                 0.7572,                0.47403,                 1.6964,                0.93638,                0.92899,                0.95358,                0.68796,                   1.09,                 0.5253,                 2.2071,              0.0019878,              0.0019878,              0.0019878
                     13,                0.72437,                0.44481,                 1.7194,                0.94617,                0.89941,                0.94409,                0.68175,                  1.105,                0.49701,                 2.0797,              0.0019853,              0.0019853,              0.0019853
                     14,                0.72779,                0.43747,                 1.7072,                 0.9302,                 0.9073,                0.94562,                0.67278,                 1.1005,                0.51716,                 2.1731,              0.0019825,              0.0019825,              0.0019825
                     15,                0.72728,                0.44073,                 1.6753,                0.97807,                0.87968,                0.93416,                0.67901,                 1.0868,                0.50731,                 2.1141,              0.0019794,              0.0019794,              0.0019794
                     16,                0.73044,                 0.4418,                 1.6737,                 0.9718,                0.88363,                0.93348,                0.69188,                 1.0672,                0.47869,                 2.0852,              0.0019762,              0.0019762,              0.0019762
