                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66546,                0.45985,                  1.683,                 0.9248,                0.92692,                0.96151,                0.74886,                 0.8909,                 0.5828,                 2.3393,             0.00065972,             0.00065972,             0.00065972
                      2,                0.71539,                0.49683,                 1.7541,                0.96648,                0.91457,                0.96894,                0.71825,                0.97085,                0.60408,                 2.2599,              0.0013263,              0.0013263,              0.0013263
                      3,                0.72779,                  0.488,                 1.6934,                0.92822,                0.95477,                0.97486,                0.75397,                0.91308,                0.64168,                  2.305,              0.0019926,              0.0019926,              0.0019926
                      4,                0.71479,                0.46917,                 1.7892,                0.96953,                0.95929,                 0.9904,                0.79626,                0.84496,                0.51862,                 2.1501,              0.0019989,              0.0019989,              0.0019989
                      5,                0.66663,                0.46066,                 1.6991,                0.96394,                0.94035,                0.96982,                0.77487,                0.86533,                0.47207,                 2.2281,              0.0019989,              0.0019989,              0.0019989
                      6,                0.63797,                0.43824,                 1.6965,                 0.9703,                0.98492,                   0.99,                0.80048,                0.86992,                0.45407,                 2.1146,               0.001998,               0.001998,               0.001998
                      7,                0.63638,                  0.409,                  1.687,                0.98462,                0.96482,                0.98047,                0.83218,                0.73049,                0.40309,                 2.0557,              0.0019969,              0.0019969,              0.0019969
                      8,                 0.5833,                0.39139,                 1.6274,                0.98969,                0.96482,                0.98168,                0.81092,                0.79642,                0.38264,                 2.0749,              0.0019956,              0.0019956,              0.0019956
                      9,                0.56813,                0.37943,                 1.5894,                0.98958,                0.95477,                0.97672,                0.81476,                0.77677,                0.39043,                 2.0585,               0.001994,               0.001994,               0.001994
                     10,                0.56603,                0.36832,                   1.62,                0.97435,                0.95438,                0.97764,                0.81385,                0.75871,                0.44054,                  2.095,              0.0019922,              0.0019922,              0.0019922
                     11,                0.55334,                 0.3569,                 1.5999,                0.97913,                0.94304,                0.97226,                0.80453,                0.78843,                0.38622,                  2.251,              0.0019901,              0.0019901,              0.0019901
                     12,                0.55061,                0.36283,                 1.5711,                 0.9749,                0.97571,                 0.9874,                0.81749,                0.77267,                0.40131,                 2.1617,              0.0019878,              0.0019878,              0.0019878
                     13,                0.52402,                 0.3452,                 1.5359,                0.98964,                 0.9598,                 0.9793,                0.83123,                0.73661,                0.35149,                 2.0226,              0.0019853,              0.0019853,              0.0019853
                     14,                 0.5271,                0.33905,                 1.5642,                0.99476,                0.95477,                0.97694,                0.82189,                0.77012,                0.35537,                 2.0829,              0.0019825,              0.0019825,              0.0019825
                     15,                 0.5347,                0.33878,                 1.5372,                0.98461,                0.96419,                0.97948,                0.82692,                0.73804,                0.35911,                 2.0069,              0.0019794,              0.0019794,              0.0019794
                     16,                0.51652,                0.33458,                 1.5607,                0.98958,                0.95477,                0.97641,                0.83041,                0.71846,                0.35395,                 2.0117,              0.0019762,              0.0019762,              0.0019762
                     17,                 0.5187,                0.32648,                  1.526,                0.99133,                 0.9598,                 0.9815,                0.82864,                0.73812,                0.35434,                 2.1812,              0.0019726,              0.0019726,              0.0019726
                     18,                0.50074,                0.31688,                 1.5224,                0.97944,                0.94975,                0.97332,                0.83477,                0.69268,                0.34745,                 1.9909,              0.0019689,              0.0019689,              0.0019689
                     19,                0.49728,                0.31297,                  1.514,                0.97959,                0.96482,                0.98124,                0.82965,                0.70596,                0.33792,                 2.0509,              0.0019649,              0.0019649,              0.0019649
                     20,                0.50149,                0.31671,                 1.5348,                      1,                0.97487,                0.98694,                0.82816,                0.75178,                0.33664,                  2.128,              0.0019607,              0.0019607,              0.0019607
                     21,                0.48998,                0.30991,                   1.52,                0.99485,                0.96985,                0.98459,                0.83464,                0.70742,                0.32249,                 2.0583,              0.0019562,              0.0019562,              0.0019562
                     22,                0.49554,                0.31481,                 1.5133,                      1,                0.99497,                  0.995,                0.84763,                0.69706,                0.32003,                 1.9937,              0.0019515,              0.0019515,              0.0019515
                     23,                0.47865,                0.29986,                 1.5005,                0.99485,                0.96985,                0.98459,                0.84283,                0.69297,                0.31391,                 2.0599,              0.0019466,              0.0019466,              0.0019466
                     24,                0.47232,                0.29796,                 1.4821,                0.99479,                 0.9598,                0.97969,                 0.8478,                0.68572,                0.32915,                 2.1545,              0.0019415,              0.0019415,              0.0019415
                     25,                0.49798,                0.31167,                 1.4924,                 0.9898,                0.97487,                0.98651,                0.84049,                0.69424,                0.31922,                 1.9584,              0.0019361,              0.0019361,              0.0019361
                     26,                0.49078,                0.30725,                  1.526,                0.99492,                0.98492,                 0.9914,                 0.8408,                0.71764,                0.30788,                 2.1352,              0.0019305,              0.0019305,              0.0019305
                     27,                 0.4696,                0.29197,                 1.4966,                0.98969,                0.96482,                0.98146,                0.83302,                0.70843,                0.31154,                 2.0371,              0.0019246,              0.0019246,              0.0019246
                     28,                0.47663,                0.29531,                 1.4845,                0.98985,                 0.9799,                0.98967,                0.84224,                0.74637,                0.32526,                 2.2249,              0.0019186,              0.0019186,              0.0019186
                     29,                  0.488,                0.29596,                 1.4967,                 0.9898,                0.97487,                0.98604,                0.84785,                0.69747,                0.30891,                  2.162,              0.0019123,              0.0019123,              0.0019123
                     30,                0.46299,                0.28531,                 1.4692,                0.98815,                0.97487,                0.98619,                0.83129,                0.73579,                0.33521,                 2.0967,              0.0019058,              0.0019058,              0.0019058
                     31,                0.47224,                0.28983,                 1.5163,                0.98974,                0.96985,                0.98444,                0.84069,                0.68988,                0.31258,                 2.1599,               0.001899,               0.001899,               0.001899
                     32,                0.47838,                0.28896,                 1.5078,                      1,                 0.9598,                0.97988,                0.83201,                0.73016,                0.32729,                 2.1661,              0.0018921,              0.0018921,              0.0018921
                     33,                 0.4719,                0.29548,                 1.4605,                0.99926,                0.96985,                 0.9848,                0.84813,                 0.6819,                0.30519,                 2.1053,              0.0018849,              0.0018849,              0.0018849
                     34,                0.44981,                0.27924,                 1.4612,                0.98974,                0.96985,                0.98449,                0.84061,                0.71537,                0.31321,                 2.0908,              0.0018775,              0.0018775,              0.0018775
                     35,                0.45776,                0.28157,                 1.4755,                0.98759,                0.96482,                0.98356,                0.84813,                 0.6811,                0.31541,                 2.0235,              0.0018699,              0.0018699,              0.0018699
                     36,                0.45575,                0.28221,                 1.4707,                0.99492,                0.98492,                0.99155,                 0.8514,                0.69631,                0.31388,                 2.0991,              0.0018621,              0.0018621,              0.0018621
                     37,                0.46794,                0.29423,                 1.4676,                 0.9877,                0.95477,                0.97645,                0.83949,                0.69476,                0.32696,                 2.0108,              0.0018541,              0.0018541,              0.0018541
                     38,                0.44533,                0.27271,                 1.4359,                0.99568,                0.98492,                 0.9916,                0.84644,                0.68925,                0.29585,                 2.1098,              0.0018459,              0.0018459,              0.0018459
                     39,                0.44641,                0.27129,                 1.4191,                0.98492,                0.98492,                0.99123,                0.84943,                0.67185,                0.30663,                 2.0019,              0.0018374,              0.0018374,              0.0018374
                     40,                0.44545,                 0.2753,                 1.4795,                0.98969,                0.96482,                0.98126,                0.84982,                0.67694,                0.30261,                 1.9954,              0.0018288,              0.0018288,              0.0018288
                     41,                0.44789,                0.27656,                 1.4513,                0.98974,                0.96985,                0.98449,                0.84422,                 0.6966,                 0.3114,                 2.0685,                0.00182,                0.00182,                0.00182
                     42,                0.44111,                0.27531,                 1.4636,                0.98492,                0.98492,                0.99123,                0.85006,                0.68257,                0.30456,                 1.9681,              0.0018109,              0.0018109,              0.0018109
                     43,                0.43891,                 0.2699,                 1.4641,                0.98507,                0.99497,                0.99419,                0.84628,                0.67957,                0.31058,                 1.9986,              0.0018017,              0.0018017,              0.0018017
                     44,                0.44251,                0.27335,                 1.4498,                 0.9949,                 0.9799,                0.98975,                0.85037,                0.68854,                0.31076,                 2.0956,              0.0017923,              0.0017923,              0.0017923
                     45,                0.44345,                0.27107,                 1.4265,                0.98974,                0.96985,                0.98464,                 0.8445,                0.69093,                0.29128,                 2.0819,              0.0017826,              0.0017826,              0.0017826
                     46,                0.44189,                0.26602,                 1.4272,                0.99488,                0.97686,                0.99138,                0.85602,                0.66949,                0.29495,                 2.1506,              0.0017728,              0.0017728,              0.0017728
                     47,                0.43897,                0.26328,                 1.4324,                0.99479,                 0.9598,                0.97975,                0.84364,                0.67909,                0.30342,                  1.998,              0.0017628,              0.0017628,              0.0017628
                     48,                0.42934,                0.25997,                 1.4258,                0.98485,                 0.9799,                 0.9895,                0.84637,                0.70565,                 0.3006,                 2.1167,              0.0017526,              0.0017526,              0.0017526
                     49,                0.43288,                0.26591,                 1.4275,                   0.98,                0.98492,                0.98909,                 0.8592,                0.64987,                0.28745,                 2.0499,              0.0017422,              0.0017422,              0.0017422
                     50,                0.43107,                0.25759,                 1.4321,                0.98974,                0.96985,                0.98361,                0.84458,                0.68958,                0.29289,                 2.1377,              0.0017317,              0.0017317,              0.0017317
                     51,                 0.4214,                0.25442,                 1.4216,                  0.985,                0.98995,                0.99465,                0.86199,                0.67139,                0.28211,                  2.161,              0.0017209,              0.0017209,              0.0017209
                     52,                0.42123,                0.25356,                 1.4103,                0.98995,                0.98995,                0.99455,                0.85622,                0.67813,                0.28863,                 2.0359,                0.00171,                0.00171,                0.00171
                     53,                0.43172,                0.25815,                 1.4353,                  0.985,                0.98995,                0.99439,                0.85908,                0.67795,                0.28856,                 2.0566,               0.001699,               0.001699,               0.001699
                     54,                0.41742,                0.25371,                 1.4328,                 0.9799,                 0.9799,                 0.9869,                0.84996,                0.69049,                0.30951,                 2.1506,              0.0016877,              0.0016877,              0.0016877
                     55,                0.41777,                0.25076,                 1.4143,                0.98995,                0.98995,                 0.9947,                0.84748,                0.70512,                0.29527,                 2.4865,              0.0016763,              0.0016763,              0.0016763
                     56,                 0.4265,                0.25836,                 1.4403,                0.99495,                0.98995,                0.99475,                0.85665,                0.68311,                0.28747,                 2.1488,              0.0016647,              0.0016647,              0.0016647
                     57,                0.43214,                0.25715,                 1.4244,                0.98485,                 0.9799,                 0.9896,                0.84496,                0.68236,                0.29694,                 2.1079,               0.001653,               0.001653,               0.001653
                     58,                0.42823,                0.25566,                 1.3971,                0.99485,                0.96985,                 0.9848,                0.84634,                0.68927,                0.30239,                 2.0884,               0.001641,               0.001641,               0.001641
                     59,                0.42581,                0.25426,                 1.3918,                      1,                0.98492,                0.99163,                0.85461,                0.66687,                0.28212,                  2.087,               0.001629,               0.001629,               0.001629
                     60,                0.41591,                 0.2451,                 1.3917,                0.99479,                 0.9598,                0.97938,                0.84151,                0.66536,                0.28881,                 2.0955,              0.0016168,              0.0016168,              0.0016168
                     61,                0.41977,                0.25114,                 1.4032,                0.99495,                0.98995,                0.99445,                0.84825,                0.68198,                0.28038,                 2.1278,              0.0016044,              0.0016044,              0.0016044
                     62,                0.41818,                 0.2527,                  1.372,                0.99497,                0.99397,                0.99495,                0.85665,                0.67217,                0.28549,                 2.1173,              0.0015919,              0.0015919,              0.0015919
                     63,                0.41316,                0.24358,                 1.3877,                      1,                 0.9799,                0.98993,                0.85291,                0.67393,                0.27803,                 2.0541,              0.0015793,              0.0015793,              0.0015793
                     64,                0.41132,                0.24566,                 1.4095,                0.99482,                0.96482,                0.98192,                0.84377,                0.66709,                 0.2861,                 2.0522,              0.0015665,              0.0015665,              0.0015665
                     65,                 0.4057,                0.24449,                  1.369,                 0.9828,                0.96482,                0.98087,                0.84603,                 0.6578,                0.29648,                 2.0645,              0.0015535,              0.0015535,              0.0015535
                     66,                0.41248,                0.25131,                 1.4303,                0.99487,                0.97487,                0.98672,                0.84731,                0.68748,                0.29845,                 2.0299,              0.0015405,              0.0015405,              0.0015405
                     67,                0.41058,                0.25158,                 1.4039,                0.96985,                0.96985,                 0.9831,                0.84612,                0.69497,                0.30637,                 2.1858,              0.0015273,              0.0015273,              0.0015273
                     68,                0.41302,                 0.2475,                 1.4186,                 0.9899,                0.98492,                0.99141,                0.85052,                 0.6857,                0.29385,                 2.1477,               0.001514,               0.001514,               0.001514
