                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9438,                 2.1457,                 1.9059,                 1.4985,                      1,                0.14286,                0.57142,                 0.4036,                      1,                0.14286,                0.57142,                0.40215,                 1.4513,                 1.5755,                 1.3695,                 1.1079,             0.00066125,             0.00066125,             0.00066125
                      2,                 1.4307,                 1.3923,                 1.1813,                 1.1371,                0.92143,                0.92143,                0.93007,                0.55575,                0.90714,                0.90714,                 0.9212,                0.53898,                 1.3314,                 1.1175,                 1.1155,                 1.0453,              0.0013278,              0.0013278,              0.0013278
                      3,                 1.3502,                 1.2871,                 1.0582,                 1.1256,                0.98182,                0.77143,                0.88123,                0.60179,                0.97273,                0.76429,                0.87351,                0.53172,                 1.1735,                  1.124,                0.91031,                 1.0098,              0.0019941,              0.0019941,              0.0019941
                      4,                 1.3179,                  1.243,                 1.0654,                 1.0818,                0.96639,                0.82143,                0.89412,                0.64323,                0.96639,                0.82143,                0.89412,                0.66178,                 1.0046,                 1.1151,                0.84642,                0.98598,              0.0019989,              0.0019989,              0.0019989
                      5,                 1.2961,                 1.2115,                0.98821,                 1.0596,                      1,                0.62143,                 0.8107,                0.50383,                      1,                0.62143,                 0.8107,                0.65747,                 1.3097,                 1.0568,                0.85429,                0.97332,              0.0019989,              0.0019989,              0.0019989
                      6,                 1.1801,                 1.1276,                0.89254,                 1.0231,                0.95588,                0.92857,                0.95853,                0.65829,                0.95588,                0.92857,                0.95853,                0.75051,                 1.1327,                0.93336,                 0.7504,                0.92364,               0.001998,               0.001998,               0.001998
                      7,                  1.186,                  1.128,                0.86875,                0.99489,                0.97727,                0.92143,                 0.9589,                0.71481,                0.97727,                0.92143,                 0.9589,                0.60648,                0.99069,                0.98831,                0.74481,                0.90596,              0.0019969,              0.0019969,              0.0019969
                      8,                 1.1683,                 1.0899,                0.85608,                 1.0049,                 0.9845,                0.90714,                0.94896,                0.70534,                0.97674,                    0.9,                0.94212,                 0.7071,                 1.0265,                0.97562,                0.68694,                0.90871,              0.0019956,              0.0019956,              0.0019956
                      9,                 1.0914,                 1.0687,                0.79297,                0.97199,                 0.9708,                   0.95,                0.97251,                0.72469,                 0.9708,                   0.95,                0.97251,                0.68129,                0.96559,                0.98806,                0.73691,                0.88696,               0.001994,               0.001994,               0.001994
                     10,                 1.0661,                 1.0813,                0.76645,                0.96352,                 0.9771,                0.91429,                0.95558,                 0.7294,                 0.9771,                0.91429,                0.95558,                0.71133,                0.91991,                0.99607,                0.63502,                0.87924,              0.0019922,              0.0019922,              0.0019922
                     11,                 1.0795,                 1.0385,                0.73596,                0.97149,                0.99259,                0.95714,                0.97801,                0.77536,                0.99259,                0.95714,                0.97801,                0.73098,                0.86084,                0.92153,                0.65637,                0.90038,              0.0019901,              0.0019901,              0.0019901
                     12,                 1.0664,                 1.0342,                0.74949,                0.96588,                0.97794,                   0.95,                0.97211,                0.74628,                0.97059,                0.94286,                 0.9672,                 0.6969,                0.89037,                0.88922,                0.63292,                0.90556,              0.0019878,              0.0019878,              0.0019878
                     13,                 1.0651,                 1.0226,                0.74297,                0.95547,                      1,                0.94286,                0.97125,                0.73236,                      1,                0.94286,                0.97125,                0.74897,                 0.9088,                0.92074,                0.61261,                0.88427,              0.0019853,              0.0019853,              0.0019853
                     14,                 1.0232,                 1.0345,                0.70942,                0.97284,                      1,                0.94286,                0.97125,                0.76915,                      1,                0.94286,                0.97125,                0.72052,                0.84657,                0.86596,                0.59044,                0.90391,              0.0019825,              0.0019825,              0.0019825
                     15,                 1.0189,                 1.0175,                0.69125,                0.95655,                0.99281,                0.98571,                0.99166,                0.79363,                0.99281,                0.98571,                0.99166,                0.72287,                0.81883,                 0.9254,                0.56292,                0.87989,              0.0019794,              0.0019794,              0.0019794
                     16,                0.97297,                 1.0089,                0.66324,                0.93448,                0.98571,                0.98571,                0.98806,                 0.7681,                0.98571,                0.98571,                0.98806,                0.75367,                0.88038,                0.95327,                0.60738,                  0.883,              0.0019762,              0.0019762,              0.0019762
                     17,                 0.9832,                 1.0075,                0.67286,                0.93745,                0.98759,                0.96429,                0.98155,                0.79123,                0.98759,                0.96429,                0.98155,                0.69262,                0.75549,                0.90042,                0.56959,                0.86302,              0.0019726,              0.0019726,              0.0019726
