                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4794,                 4.5075,                 3.4825,                  2.453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1851,                 2.8268,                 2.7984,                 1.6438,                0.00018,                0.00018,                0.00018
                      2,                  2.053,                 2.5335,                 2.3305,                 1.6549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.134,                 2.4617,                 2.7708,                 2.6305,             0.00037998,             0.00037998,             0.00037998
                      3,                 1.8054,                 1.8729,                 1.7083,                  1.473,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1593,                 2.7445,                 2.0962,                 1.5389,             0.00057986,             0.00057986,             0.00057986
                      4,                 1.8554,                 1.7563,                 1.6513,                 1.4628,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.8612,                 2.6353,                 2.2518,                 1.5456,             0.00077957,             0.00077957,             0.00077957
                      5,                 1.8772,                 1.6908,                 1.6195,                 1.4863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1676,                 2.2757,                 1.8766,                 1.5348,             0.00097904,             0.00097904,             0.00097904
                      6,                 1.7765,                 1.5911,                 1.6423,                  1.453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.259,                 1.9686,                 1.6611,                 1.5576,              0.0011782,              0.0011782,              0.0011782
                      7,                 1.6588,                 1.4579,                  1.503,                 1.4425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.259,                 1.9686,                 1.6611,                 1.5576,               0.001377,               0.001377,               0.001377
                      8,                  1.772,                 1.6554,                 1.5844,                 1.4796,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.0919,                 1.6728,                 1.5897,                 1.5486,              0.0015753,              0.0015753,              0.0015753
                      9,                 1.9169,                 1.6922,                 1.5815,                 1.4593,                      1,                   0.25,                  0.625,                 0.2625,                      1,                   0.25,                  0.625,                0.29062,                 2.1764,                  2.784,                  1.757,                 1.5603,              0.0017731,              0.0017731,              0.0017731
                     10,                   2.09,                 1.7007,                 1.6301,                 1.4802,                      1,                   0.25,                  0.625,                 0.2625,                      1,                   0.25,                  0.625,                0.29062,                 2.1764,                  2.784,                  1.757,                 1.5603,              0.0019702,              0.0019702,              0.0019702
                     11,                 1.9691,                 1.7087,                 1.6051,                 1.5197,                 0.6821,                  0.625,                0.69586,                0.31992,                0.82032,                   0.75,                0.85246,                0.51435,                 2.1982,                 2.3123,                 1.9321,                 1.5558,              0.0019878,              0.0019878,              0.0019878
                     12,                 2.0396,                 1.6552,                 1.7078,                 1.5287,                0.74236,                  0.625,                0.65738,                0.25634,                0.92744,                   0.75,                0.85893,                0.41035,                 2.3406,                 2.3325,                  2.283,                 1.4709,              0.0019878,              0.0019878,              0.0019878
                     13,                 2.0832,                 1.7678,                 1.6344,                 1.5281,                0.74236,                  0.625,                0.65738,                0.25634,                0.92744,                   0.75,                0.85893,                0.41035,                 2.3406,                 2.3325,                  2.283,                 1.4709,              0.0019853,              0.0019853,              0.0019853
                     14,                 1.9419,                 1.6132,                 1.5677,                  1.492,                0.96523,                  0.875,                 0.9062,                0.31544,                0.96523,                  0.875,                 0.9062,                0.53438,                 2.1481,                 2.6672,                 2.0724,                 1.6975,              0.0019825,              0.0019825,              0.0019825
                     15,                 1.8655,                 1.6543,                  1.559,                 1.5045,                0.59765,                  0.875,                0.75169,                0.25305,                0.59765,                  0.875,                0.75169,                0.41881,                 1.8722,                 2.0014,                 2.9234,                 1.5154,              0.0019794,              0.0019794,              0.0019794
                     16,                 1.7948,                 1.5596,                 1.5308,                 1.4329,                0.59765,                  0.875,                0.75169,                0.25305,                0.59765,                  0.875,                0.75169,                0.41881,                 1.8722,                 2.0014,                 2.9234,                 1.5154,              0.0019762,              0.0019762,              0.0019762
                     17,                 1.7982,                 1.5331,                 1.5726,                  1.446,                0.46218,                   0.75,                0.53585,                0.29386,                0.54242,                  0.875,                0.63495,                0.33019,                 2.1526,                 2.0567,                 2.7933,                 1.5496,              0.0019726,              0.0019726,              0.0019726
                     18,                 1.7914,                 1.5134,                 1.5988,                 1.4592,                0.46218,                   0.75,                0.53585,                0.29386,                0.54242,                  0.875,                0.63495,                0.33019,                 2.1526,                 2.0567,                 2.7933,                 1.5496,              0.0019689,              0.0019689,              0.0019689
                     19,                 1.7855,                 1.5646,                 1.5092,                 1.4821,                0.85714,                   0.75,                  0.785,                0.42671,                      1,                  0.875,                 0.9374,                 0.5627,                 1.9442,                 2.0061,                 1.8515,                 1.5225,              0.0019649,              0.0019649,              0.0019649
