                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91908,                 1.6754,                 2.4694,                  1.305,                    0.5,                  0.375,                0.43625,                0.38077,                    0.5,                  0.375,                0.43625,                0.38257,                0.66144,                0.61357,                  1.725,                 1.0405,             0.00033062,             0.00033062,             0.00033062
                      2,                0.55656,                0.67927,                 1.2907,                0.99648,                0.72695,                    0.6,                0.67125,                0.61338,                 0.7498,                  0.625,                  0.685,                0.61156,                0.55948,                 0.5428,                0.81631,                0.96402,             0.00066392,             0.00066392,             0.00066392
                      3,                0.53421,                0.63862,                 1.0621,                0.99102,                0.85064,                  0.875,                0.91708,                0.78884,                0.85064,                  0.875,                0.91708,                0.78431,                0.67468,                0.51045,                0.76316,                 1.0413,             0.00099705,             0.00099705,             0.00099705
                      4,                0.54164,                0.64193,                 1.0053,                0.99283,                0.88312,                  0.975,                0.96559,                0.87615,                0.88312,                  0.975,                0.96559,                0.85522,                 0.5569,                0.54862,                0.74475,                0.95369,             0.00099945,             0.00099945,             0.00099945
                      5,                0.51093,                0.58551,                0.89419,                0.97208,                0.99722,                  0.975,                0.98237,                0.90757,                0.99722,                  0.975,                0.98237,                0.91313,                0.51817,                0.56335,                0.48103,                0.92631,             0.00099945,             0.00099945,             0.00099945
                      6,                0.48727,                0.56063,                0.77044,                0.96571,                      1,                      1,                  0.995,                0.91232,                      1,                      1,                  0.995,                0.90559,                0.59361,                0.48709,                   0.49,                0.97895,             0.00099902,             0.00099902,             0.00099902
                      7,                0.47602,                0.55657,                0.71703,                0.94428,                0.93333,                  0.975,                0.98237,                0.87093,                0.93333,                  0.975,                0.98237,                0.91605,                0.62401,                0.49308,                 0.5284,                0.98379,             0.00099847,             0.00099847,             0.00099847
                      8,                0.47605,                0.54422,                0.65876,                 0.9335,                  0.975,                  0.975,                0.97988,                0.90455,                  0.975,                  0.975,                0.97988,                0.91673,                0.49838,                0.46883,                0.46731,                0.94296,              0.0009978,              0.0009978,              0.0009978
                      9,                0.46117,                0.53493,                0.61292,                0.94045,                      1,                  0.975,                0.98375,                0.88803,                      1,                  0.975,                0.98375,                0.90747,                0.51937,                0.48724,                 0.4526,                0.94262,             0.00099701,             0.00099701,             0.00099701
                     10,                0.44953,                0.51316,                0.56834,                0.93164,                      1,                      1,                  0.995,                0.90488,                      1,                      1,                  0.995,                0.93616,                0.52001,                0.49477,                0.39365,                0.95301,              0.0009961,              0.0009961,              0.0009961
                     11,                0.45437,                0.51822,                 0.5483,                0.93738,                      1,                      1,                  0.995,                0.91078,                      1,                      1,                  0.995,                0.92588,                  0.536,                0.44447,                0.39602,                0.95453,             0.00099506,             0.00099506,             0.00099506
                     12,                0.44808,                0.50553,                0.52723,                0.93213,                      1,                      1,                  0.995,                0.90038,                      1,                      1,                  0.995,                0.91824,                0.47981,                0.51532,                0.35198,                0.90476,             0.00099391,             0.00099391,             0.00099391
                     13,                0.44366,                0.50513,                0.50019,                0.91839,                      1,                  0.975,                0.98375,                0.89207,                      1,                  0.975,                0.98375,                  0.906,                0.52209,                0.44791,                0.34384,                0.91187,             0.00099263,             0.00099263,             0.00099263
                     14,                0.44167,                0.50205,                 0.4975,                0.92812,                      1,                      1,                  0.995,                0.92035,                      1,                      1,                  0.995,                0.93259,                0.46072,                0.44894,                0.38268,                0.90631,             0.00099123,             0.00099123,             0.00099123
                     15,                0.43578,                0.49709,                 0.4613,                0.92016,                0.97949,                      1,                  0.995,                0.92971,                0.97949,                      1,                  0.995,                0.92343,                 0.5262,                0.50033,                0.38328,                0.95273,             0.00098972,             0.00098972,             0.00098972
                     16,                 0.4354,                0.48969,                0.43722,                0.92418,                      1,                      1,                  0.995,                0.91227,                      1,                      1,                  0.995,                0.93442,                0.50289,                0.41251,                0.34356,                0.92657,             0.00098808,             0.00098808,             0.00098808
                     17,                0.44533,                0.49635,                0.43012,                0.93567,                0.96773,                0.99962,                  0.995,                0.94296,                0.96773,                0.99962,                  0.995,                0.93576,                0.46152,                0.44164,                0.32401,                0.90654,             0.00098632,             0.00098632,             0.00098632
                     18,                0.40872,                 0.4825,                0.40542,                0.91191,                      1,                      1,                  0.995,                0.90974,                      1,                      1,                  0.995,                0.91937,                0.50295,                0.45649,                0.32359,                0.91747,             0.00098445,             0.00098445,             0.00098445
                     19,                0.40783,                0.47917,                0.40274,                0.91249,                      1,                      1,                  0.995,                0.91447,                      1,                      1,                  0.995,                0.94578,                0.51421,                0.45057,                0.33002,                0.91198,             0.00098246,             0.00098246,             0.00098246
                     20,                0.42457,                0.47841,                0.41081,                0.92432,                      1,                      1,                  0.995,                0.91918,                      1,                      1,                  0.995,                0.93095,                0.47368,                0.47858,                0.31064,                0.90276,             0.00098035,             0.00098035,             0.00098035
                     21,                0.41773,                 0.4954,                0.39691,                0.92217,                      1,                      1,                  0.995,                0.92586,                      1,                      1,                  0.995,                0.95299,                0.44173,                0.45132,                0.31955,                0.88596,             0.00097812,             0.00097812,             0.00097812
                     22,                0.41161,                0.48194,                0.37179,                0.91854,                      1,                      1,                  0.995,                0.92004,                      1,                      1,                  0.995,                0.92573,                0.44226,                0.45408,                0.32201,                0.88123,             0.00097577,             0.00097577,             0.00097577
                     23,                0.40372,                0.46426,                0.37084,                0.89913,                      1,                      1,                  0.995,                0.90848,                      1,                      1,                  0.995,                0.91214,                0.48386,                 0.4232,                0.32963,                0.90523,             0.00097331,             0.00097331,             0.00097331
                     24,                0.38837,                0.47009,                 0.3503,                0.90179,                      1,                  0.975,                0.98375,                0.89409,                      1,                  0.975,                0.98375,                0.91827,                 0.4725,                0.45101,                0.33957,                 0.9017,             0.00097074,             0.00097074,             0.00097074
                     25,                0.39212,                0.47054,                0.34053,                0.89001,                      1,                      1,                  0.995,                0.92489,                      1,                      1,                  0.995,                0.93384,                0.46972,                0.45178,                0.34782,                0.90088,             0.00096804,             0.00096804,             0.00096804
                     26,                0.38524,                0.45979,                0.33411,                0.89262,                      1,                      1,                  0.995,                0.89822,                      1,                      1,                  0.995,                0.94071,                0.49012,                0.47546,                  0.319,                0.90315,             0.00096524,             0.00096524,             0.00096524
                     27,                0.39646,                0.45412,                0.34017,                0.89776,                0.98103,                      1,                  0.995,                0.92111,                0.98103,                      1,                  0.995,                0.93225,                0.48502,                0.41232,                0.28987,                 0.9223,             0.00096232,             0.00096232,             0.00096232
                     28,                0.39582,                0.48167,                0.33628,                0.89789,                      1,                      1,                  0.995,                0.91164,                      1,                      1,                  0.995,                0.93662,                0.43718,                0.46751,                0.28594,                0.88261,             0.00095929,             0.00095929,             0.00095929
                     29,                0.38519,                0.45873,                0.32652,                 0.8956,                      1,                      1,                  0.995,                0.91747,                      1,                      1,                  0.995,                0.92426,                0.48887,                0.44758,                0.27361,                0.90826,             0.00095614,             0.00095614,             0.00095614
                     30,                0.39653,                0.44902,                0.34001,                0.89308,                      1,                      1,                  0.995,                 0.9063,                      1,                      1,                  0.995,                0.94678,                0.50615,                0.46274,                0.27534,                 0.9173,             0.00095289,             0.00095289,             0.00095289
                     31,                0.40677,                0.46169,                0.34178,                0.90158,                   0.95,                      1,                  0.995,                0.91557,                   0.95,                      1,                  0.995,                0.93006,                  0.514,                0.43048,                0.31703,                0.93448,             0.00094952,             0.00094952,             0.00094952
                     32,                0.39237,                0.46341,                0.32799,                0.90093,                0.94531,                      1,                  0.995,                 0.9151,                0.94531,                      1,                  0.995,                0.91797,                0.48868,                0.46099,                0.32201,                0.91125,             0.00094605,             0.00094605,             0.00094605
                     33,                0.38483,                0.44943,                0.33229,                0.89716,                      1,                      1,                  0.995,                0.91467,                      1,                      1,                  0.995,                0.92294,                0.47424,                0.42918,                0.26548,                0.90616,             0.00094246,             0.00094246,             0.00094246
                     34,                0.37786,                0.44835,                0.31114,                0.89527,                      1,                      1,                  0.995,                0.93301,                      1,                      1,                  0.995,                0.94583,                 0.5026,                0.43174,                0.30349,                0.91183,             0.00093877,             0.00093877,             0.00093877
                     35,                0.37684,                0.44286,                0.30109,                0.88443,                      1,                      1,                  0.995,                0.93867,                      1,                      1,                  0.995,                0.94081,                0.46106,                0.44112,                0.28254,                0.89964,             0.00093497,             0.00093497,             0.00093497
                     36,                0.37663,                0.44741,                0.30504,                0.88911,                0.99547,                      1,                  0.995,                0.93643,                0.99547,                      1,                  0.995,                0.93853,                0.48703,                0.45623,                0.29014,                0.91019,             0.00093107,             0.00093107,             0.00093107
                     37,                0.37286,                 0.4404,                0.29598,                0.88624,                      1,                      1,                  0.995,                0.90956,                      1,                      1,                  0.995,                0.93011,                0.48531,                0.46285,                 0.2934,                0.92076,             0.00092706,             0.00092706,             0.00092706
                     38,                0.37507,                0.43122,                0.28945,                0.87826,                      1,                      1,                  0.995,                0.91025,                      1,                      1,                  0.995,                0.92782,                 0.4554,                0.43896,                0.26728,                 0.8972,             0.00092294,             0.00092294,             0.00092294
                     39,                0.36311,                0.43295,                0.28407,                0.89461,                      1,                      1,                  0.995,                0.90311,                      1,                      1,                  0.995,                0.93149,                0.47102,                0.45695,                0.28478,                0.88629,             0.00091872,             0.00091872,             0.00091872
                     40,                0.37453,                0.43129,                0.29402,                0.88469,                      1,                      1,                  0.995,                0.90679,                      1,                      1,                  0.995,                0.92419,                 0.4868,                0.45652,                0.28925,                0.90847,              0.0009144,              0.0009144,              0.0009144
                     41,                0.35959,                0.43228,                0.28056,                0.89067,                      1,                      1,                  0.995,                0.91696,                      1,                      1,                  0.995,                0.95285,                0.46417,                0.49964,                0.25622,                0.90718,             0.00090998,             0.00090998,             0.00090998
                     42,                0.36383,                 0.4292,                0.29051,                0.89466,                      1,                      1,                  0.995,                0.94688,                      1,                      1,                  0.995,                0.94245,                0.43048,                0.43189,                0.24202,                0.86881,             0.00090546,             0.00090546,             0.00090546
                     43,                0.36861,                0.43279,                0.27158,                0.88001,                      1,                      1,                  0.995,                0.91838,                      1,                      1,                  0.995,                0.94486,                0.48416,                0.44409,                0.25154,                0.91064,             0.00090084,             0.00090084,             0.00090084
                     44,                 0.3582,                0.43838,                0.26278,                0.88441,                      1,                      1,                  0.995,                0.92792,                      1,                      1,                  0.995,                0.96124,                0.42406,                0.45691,                  0.248,                0.87323,             0.00089613,             0.00089613,             0.00089613
                     45,                 0.3498,                0.42657,                0.25757,                0.87497,                      1,                      1,                  0.995,                0.94782,                      1,                      1,                  0.995,                0.93005,                0.47299,                0.44104,                0.25363,                0.88737,             0.00089131,             0.00089131,             0.00089131
                     46,                0.35342,                0.42114,                0.26958,                0.88023,                      1,                      1,                  0.995,                0.95106,                      1,                      1,                  0.995,                 0.9359,                0.42992,                 0.4557,                0.24904,                0.87413,              0.0008864,              0.0008864,              0.0008864
                     47,                0.34309,                0.42651,                0.26187,                0.87451,                      1,                      1,                  0.995,                0.91096,                      1,                      1,                  0.995,                0.92445,                0.46964,                0.45986,                0.27618,                0.90134,              0.0008814,              0.0008814,              0.0008814
                     48,                0.35016,                0.42751,                0.26097,                0.87392,                      1,                      1,                  0.995,                0.93491,                      1,                      1,                  0.995,                0.94351,                0.45876,                0.43407,                0.24919,                0.88603,              0.0008763,              0.0008763,              0.0008763
                     49,                0.35438,                0.41964,                0.26303,                0.87206,                      1,                      1,                  0.995,                0.91727,                      1,                      1,                  0.995,                 0.9362,                0.46982,                0.43584,                0.24088,                0.89054,             0.00087112,             0.00087112,             0.00087112
                     50,                0.34738,                0.41053,                0.25748,                0.86694,                      1,                      1,                  0.995,                0.92937,                      1,                      1,                  0.995,                0.94788,                0.46653,                0.47936,                0.25484,                0.88946,             0.00086584,             0.00086584,             0.00086584
                     51,                0.34618,                0.41005,                0.25848,                0.87031,                      1,                      1,                  0.995,                0.91134,                      1,                      1,                  0.995,                0.93167,                0.43862,                 0.4413,                0.24747,                0.88289,             0.00086047,             0.00086047,             0.00086047
                     52,                0.36156,                 0.4237,                0.27188,                0.88014,                      1,                      1,                  0.995,                0.93502,                      1,                      1,                  0.995,                0.93708,                 0.4613,                0.47199,                0.29004,                  0.898,             0.00085502,             0.00085502,             0.00085502
                     53,                0.34669,                0.40919,                0.26383,                 0.8748,                      1,                      1,                  0.995,                0.93084,                      1,                      1,                  0.995,                0.94884,                0.49272,                0.41662,                0.27407,                0.90882,             0.00084948,             0.00084948,             0.00084948
                     54,                0.33671,                0.40491,                0.25425,                0.86582,                      1,                      1,                  0.995,                0.94518,                      1,                      1,                  0.995,                0.94555,                0.43185,                0.42909,                0.24513,                0.88256,             0.00084385,             0.00084385,             0.00084385
                     55,                0.33027,                0.40664,                0.24756,                0.85075,                      1,                      1,                  0.995,                0.93138,                      1,                      1,                  0.995,                0.94196,                0.44236,                0.44069,                0.23835,                0.88616,             0.00083814,             0.00083814,             0.00083814
                     56,                0.33191,                0.40557,                0.25152,                0.87599,                      1,                      1,                  0.995,                0.95007,                      1,                      1,                  0.995,                0.94174,                0.43021,                0.45019,                0.24005,                0.88517,             0.00083235,             0.00083235,             0.00083235
