                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8174,                 3.4941,                 3.3198,                 2.2068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.0642,                 1.7144,                 2.8172,                   1.75,             0.00036674,             0.00036674,             0.00036674
                      2,                0.98563,                 1.4174,                  2.009,                 1.4171,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3977,                 1.6622,                 2.1732,                 1.9564,              0.0007501,              0.0007501,              0.0007501
                      3,                 1.0084,                 1.1728,                 1.7515,                 1.4218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4597,                 1.3317,                 1.9906,                 1.9512,              0.0011333,              0.0011333,              0.0011333
                      4,                0.97967,                 1.0996,                 1.7856,                 1.4625,                0.83333,                   0.75,                 0.8725,                  0.586,                0.83333,                   0.75,                 0.8725,                0.59417,                 1.0706,                 1.1891,                 1.8471,                 1.6521,              0.0015161,              0.0015161,              0.0015161
                      5,                0.97083,                  1.076,                  1.667,                 1.3749,                0.62752,                   0.75,                0.65875,                0.37162,                0.62752,                   0.75,                0.65875,                0.40275,                  1.498,                 1.1836,                 3.0292,                 2.3619,              0.0016654,              0.0016654,              0.0016654
                      6,                0.97553,                 1.0002,                 1.5612,                 1.4217,                0.94474,                0.81759,                  0.995,                0.48712,                0.94474,                0.81759,                  0.995,                0.48712,                  1.431,                0.97551,                 2.0286,                 2.1609,              0.0016654,              0.0016654,              0.0016654
                      7,                 1.1234,                0.99175,                 1.5557,                 1.4995,                  0.826,                      1,                0.91167,                0.39702,                  0.826,                      1,                0.91167,                0.36908,                 1.8471,                 1.1548,                 1.6999,                  2.669,              0.0016645,              0.0016645,              0.0016645
                      8,                 1.0583,                0.99362,                 1.5041,                 1.4285,                      1,                   0.75,                 0.8725,                0.74162,                      1,                   0.75,                 0.8725,                 0.7105,                 1.1632,                0.98631,                  1.228,                 1.7213,              0.0016633,              0.0016633,              0.0016633
                      9,                 1.0394,                0.99322,                 1.4092,                 1.3788,                    0.5,                    0.5,                 0.4975,                0.37325,                    0.5,                    0.5,                 0.4975,                0.37325,                  1.412,                0.96329,                 1.2528,                  2.264,               0.001662,               0.001662,               0.001662
                     10,                0.95065,                0.95526,                 1.3027,                 1.3329,                      1,                      1,                  0.995,                0.77762,                      1,                      1,                  0.995,                  0.759,                 1.0326,                 1.2383,                0.99089,                 1.9695,              0.0016605,              0.0016605,              0.0016605
