                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3146,                 2.9027,                 3.2344,                 1.7697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4702,                 2.1375,                 2.5166,                 2.8007,             0.00021435,             0.00021435,             0.00021435
                      2,                 1.3977,                 1.4243,                 1.5604,                 1.1938,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3087,                 1.1595,                 2.3803,                 1.0169,             0.00044296,             0.00044296,             0.00044296
                      3,                 1.3392,                 1.1849,                 1.3632,                 1.1525,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.5509,                 1.0207,                  1.746,                 1.1015,             0.00067147,             0.00067147,             0.00067147
                      4,                 1.3115,                 1.1097,                 1.2966,                 1.1271,                    0.5,                0.04348,                0.27173,                0.21188,                    0.5,                0.04348,                0.27173,                0.19451,                 1.1963,                0.94775,                 1.3586,                 1.0217,             0.00089978,             0.00089978,             0.00089978
                      5,                 1.1841,                 1.0685,                 1.2015,                 1.0862,                    0.5,                0.05072,                0.27536,                0.21174,                    0.5,                0.05072,                0.27536,                0.21252,                 1.1187,                0.85054,                 1.1986,                 1.0018,              0.0011278,              0.0011278,              0.0011278
                      6,                 1.1449,                  1.004,                 1.1328,                  1.048,                    0.5,                0.15217,                0.32608,                0.26019,                    0.5,                0.15217,                0.32608,                0.24643,                 1.2086,                0.96198,                 1.0822,                0.99294,              0.0013555,              0.0013555,              0.0013555
                      7,                 1.1204,                 1.0053,                 1.0888,                 1.0409,                    0.5,                 0.2971,                0.39854,                0.31443,                 0.4878,                0.28986,                0.39206,                0.29024,                 1.0097,                0.97451,                0.83902,                0.95828,              0.0014259,              0.0014259,              0.0014259
                      8,                  1.178,                 0.9828,                 1.0839,                 1.0236,                0.64375,                0.70652,                 0.7593,                0.47964,                   0.65,                0.71377,                0.76848,                0.52306,                 1.4037,                0.91559,                 1.0449,                 1.0118,              0.0014259,              0.0014259,              0.0014259
                      9,                 1.1215,                0.91723,                 1.0408,                 1.0314,                      1,                0.67029,                0.83514,                0.48102,                      1,                0.67029,                0.83514,                0.66233,                 1.3173,                0.76551,                 0.8596,                0.99156,              0.0014247,              0.0014247,              0.0014247
                     10,                 1.1071,                0.93466,                0.98855,                 1.0065,                0.46212,                0.44203,                0.46195,                0.33043,                 0.4697,                0.44928,                0.46745,                 0.3804,                 1.1007,                0.73029,                0.86077,                0.96343,              0.0014234,              0.0014234,              0.0014234
                     11,                 1.0529,                0.90183,                0.98252,                0.98155,                0.92942,                0.89734,                0.97538,                0.62468,                0.92942,                0.89734,                0.97094,                0.65742,                 1.0208,                0.82787,                0.78154,                0.94725,              0.0014219,              0.0014219,              0.0014219
                     12,                 1.0423,                0.89498,                0.93252,                0.99502,                0.92164,                0.86694,                0.99024,                 0.6688,                0.92742,                0.88119,                0.99264,                0.62173,                 1.0157,                0.76189,                0.98343,                0.97033,              0.0014203,              0.0014203,              0.0014203
                     13,                 1.0321,                0.87588,                 0.9084,                0.96458,                0.96479,                0.97826,                0.98207,                0.73792,                0.97183,                0.98551,                0.98615,                0.66512,                 0.9856,                 0.8313,                0.77191,                0.91554,              0.0014185,              0.0014185,              0.0014185
