                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0919,                 2.6469,                 2.8676,                  1.644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7471,                 1.7266,                 2.5592,                 1.9301,              0.0002858,              0.0002858,              0.0002858
                      2,                  1.359,                 1.3486,                 1.5226,                 1.1617,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2766,                 1.1652,                 2.0985,                 1.0393,             0.00058585,             0.00058585,             0.00058585
                      3,                 1.2677,                 1.1839,                 1.5342,                 1.1575,                    0.5,                0.00633,                0.25316,                0.17721,                    0.5,                0.00633,                0.25316,                0.17721,                  1.223,                0.89367,                 1.7427,                0.96922,             0.00088576,             0.00088576,             0.00088576
                      4,                 1.1978,                 1.0975,                 1.2682,                 1.0983,                0.46552,                0.17089,                0.31592,                0.21279,                0.48276,                0.17722,                0.32891,                0.22345,                 1.4756,                0.98257,                 1.2312,                 1.0054,              0.0011854,              0.0011854,              0.0011854
                      5,                 1.2896,                 1.1554,                 1.2491,                 1.1083,                    0.5,                0.13924,                0.31962,                0.22068,                    0.5,                0.13924,                0.31962,                0.22656,                 1.2499,                0.93999,                  1.166,                0.95285,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.1878,                  1.056,                 1.1359,                 1.0613,                0.46226,                0.31013,                0.39045,                0.27778,                 0.4717,                0.31646,                0.39616,                0.29768,                 1.2173,                0.87288,                 1.0275,                0.94187,              0.0014276,              0.0014276,              0.0014276
                      7,                 1.1565,                 1.0418,                 1.0993,                 1.0251,                0.47619,                0.37975,                0.43337,                0.33197,                0.47619,                0.37975,                0.43302,                 0.3021,                 1.0118,                 1.0999,                 0.8442,                0.95116,              0.0014268,              0.0014268,              0.0014268
                      8,                 1.1964,                 1.0527,                 1.0548,                 1.0153,                0.46807,                0.46396,                0.47622,                0.32884,                0.46807,                0.46396,                0.47622,                0.32036,                 1.1631,                 0.9327,                0.86891,                0.94574,              0.0014259,              0.0014259,              0.0014259
                      9,                 1.0817,                0.96806,                  0.944,                0.99765,                0.97333,                0.69937,                0.84431,                0.42012,                0.97333,                0.69937,                0.84431,                0.52022,                 1.0648,                 0.7565,                0.71978,                0.93129,              0.0014247,              0.0014247,              0.0014247
                     10,                 1.0802,                0.99873,                0.96448,                0.99032,                0.96104,                0.94937,                0.96621,                0.66412,                0.96753,                 0.9557,                0.97108,                0.59756,                 1.0092,                0.80962,                0.79244,                0.95423,              0.0014234,              0.0014234,              0.0014234
