                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4877,                 3.4076,                 3.6123,                 1.8008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.70853,                 1.6382,                 3.1188,                 1.0928,                0.00015,                0.00015,                0.00015
                      2,                0.72572,                 1.1937,                  1.912,                 1.1432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.96174,                   1.34,                 2.6237,                 1.2714,             0.00030998,             0.00030998,             0.00030998
                      3,                0.65927,                0.87348,                 1.4072,                  1.094,                   0.25,                  0.175,                 0.2125,                0.19367,                   0.25,                  0.175,                 0.2125,                0.19057,                0.62336,                 1.2618,                 1.4348,                0.98958,             0.00046989,             0.00046989,             0.00046989
                      4,                0.64051,                 0.8286,                 1.2855,                 1.0716,                    0.5,                  0.475,                0.48625,                0.42421,                    0.5,                  0.475,                0.48625,                0.42887,                0.63683,                0.99469,                0.96184,                 1.0316,             0.00062965,             0.00062965,             0.00062965
                      5,                0.60485,                 0.8253,                 1.1536,                 1.0381,                0.72222,                  0.725,                  0.735,                0.71184,                0.72222,                  0.725,                  0.735,                0.66054,                0.50727,                0.88127,                0.76439,                0.89037,             0.00078923,             0.00078923,             0.00078923
                      6,                0.61499,                0.75639,                 1.0763,                 1.0361,                    0.5,                0.24375,                0.37185,                0.33007,                    0.5,                0.24375,                0.37185,                0.32679,                0.70956,                0.87769,                0.97187,                 1.0029,             0.00094855,             0.00094855,             0.00094855
                      7,                0.62367,                0.78958,                 1.0115,                 1.0402,                   0.75,                   0.75,                0.74625,                0.70171,                   0.75,                   0.75,                0.74625,                0.69889,                0.54745,                0.69529,                0.47369,                0.87242,              0.0009978,              0.0009978,              0.0009978
                      8,                0.61293,                0.77143,                0.94389,                 1.0171,                0.71531,                0.72415,                0.73167,                0.71346,                0.71531,                0.72415,                0.73167,                0.69257,                0.46543,                0.67125,                0.60667,                0.86014,              0.0009978,              0.0009978,              0.0009978
                      9,                0.59349,                0.70717,                 0.8893,                 1.0252,                0.98414,                      1,                  0.995,                 0.8636,                0.98414,                      1,                  0.995,                0.84789,                0.52467,                 0.7308,                0.55728,                0.90761,             0.00099701,             0.00099701,             0.00099701
                     10,                0.58685,                0.73129,                0.82817,                  1.002,                      1,                   0.85,                 0.9225,                0.75135,                      1,                   0.85,                 0.9225,                0.79612,                0.49758,                 0.7353,                0.54671,                 0.8631,              0.0009961,              0.0009961,              0.0009961
                     11,                0.56955,                0.69339,                0.75374,                 1.0002,                      1,                      1,                  0.995,                0.89461,                      1,                      1,                  0.995,                0.85419,                0.52796,                0.71164,                0.42009,                0.89476,             0.00099506,             0.00099506,             0.00099506
