                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3627,                 3.0229,                 3.3595,                 1.7032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.67876,                 1.5873,                 2.9087,                  1.073,                 0.0002,                 0.0002,                 0.0002
                      2,                0.76981,                 1.1014,                   1.77,                 1.2405,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.7776,                  1.244,                 2.4078,                 1.0915,             0.00040997,             0.00040997,             0.00040997
                      3,                0.75718,                 1.1663,                 1.6381,                 1.2037,                    0.5,                0.37885,                0.43942,                 0.4125,                    0.5,                0.37885,                0.43942,                0.39686,                0.58726,                 0.9698,                 1.1566,                0.95043,             0.00061985,             0.00061985,             0.00061985
                      4,                0.71273,                0.88939,                  1.345,                 1.1312,                   0.75,                0.53654,                  0.642,                0.59365,                   0.75,                0.53654,                  0.642,                0.56663,                0.61257,                 1.1148,                0.87025,                 1.0492,             0.00082954,             0.00082954,             0.00082954
                      5,                0.68208,                0.86697,                 1.1845,                  1.102,                0.72727,                0.71154,                0.72825,                0.62923,                0.72727,                0.71154,                0.72825,                0.61034,                 0.6717,                 1.3507,                0.74796,                 1.0765,             0.00099902,             0.00099902,             0.00099902
                      6,                0.70727,                 1.0142,                 1.1398,                 1.1546,                0.72727,                   0.75,                0.74625,                0.61892,                0.72727,                   0.75,                0.74625,                0.61473,                0.64547,                0.99763,                0.67877,                 1.0757,             0.00099902,             0.00099902,             0.00099902
                      7,                0.67961,                 0.7967,                0.96963,                 1.1331,                   0.75,                  0.725,                  0.735,                0.69893,                   0.75,                  0.725,                  0.735,                0.67759,                0.59761,                0.77819,                0.57401,                 1.0232,             0.00099847,             0.00099847,             0.00099847
                      8,                0.63587,                0.81844,                0.89077,                 1.0695,                0.96321,                0.99927,                  0.995,                0.81332,                0.96321,                0.99927,                  0.995,                0.84538,                0.48657,                0.87056,                 0.5015,                0.86791,              0.0009978,              0.0009978,              0.0009978
                      9,                0.58328,                0.75944,                0.80938,                 1.0368,                0.90004,                  0.875,                0.88594,                0.76325,                0.98306,                      1,                  0.995,                0.80843,                0.52258,                0.73099,                0.45446,                0.93817,             0.00099701,             0.00099701,             0.00099701
                     10,                0.65753,                0.79126,                0.76349,                 1.1698,                0.89894,                0.98077,                0.98088,                0.81772,                0.89894,                0.98077,                0.98088,                0.82913,                0.55667,                0.96564,                0.66774,                0.93306,              0.0009961,              0.0009961,              0.0009961
                     11,                0.56991,                0.77332,                  0.685,                 1.0319,                      1,                  0.875,                0.93375,                0.84975,                      1,                  0.875,                0.93375,                0.81749,                0.52566,                0.72812,                0.47531,                 0.9271,             0.00099506,             0.00099506,             0.00099506
                     12,                0.63139,                 0.7719,                 0.7409,                 1.0786,                0.94479,                0.99282,                  0.995,                0.80298,                0.96843,                0.93814,                0.98222,                0.87201,                0.65272,                0.73981,                0.51998,                 1.0216,             0.00099391,             0.00099391,             0.00099391
                     13,                0.59826,                0.85826,                0.67533,                 1.0816,                0.72727,                   0.75,                0.72807,                0.57002,                0.72727,                   0.75,                0.72807,                0.53447,                0.62566,                 1.0171,                0.55716,                  1.042,             0.00099263,             0.00099263,             0.00099263
