                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4869,                 2.9096,                 2.7095,                 1.7616,                0.39286,                0.23913,                 0.3187,                0.16974,                0.39286,                0.23913,                 0.3187,                0.19225,                 1.9559,                 2.1579,                 1.5783,                 1.3046,             0.00055032,             0.00055032,             0.00055032
                      2,                 1.9981,                 2.1109,                 2.0425,                 1.4249,                    0.5,                0.02174,                0.26086,                0.15652,                    0.5,                0.02174,                0.26086,                0.10435,                 2.0699,                 2.0886,                 1.7827,                 1.5164,              0.0011059,              0.0011059,              0.0011059
                      3,                 1.9518,                 2.0159,                 1.9359,                 1.4159,                    0.9,                 0.3442,                0.61042,                0.27381,                0.86667,                0.32246,                0.57567,                0.31502,                 1.8215,                 1.9416,                   1.87,                 1.3268,              0.0016613,              0.0016613,              0.0016613
                      4,                 1.8461,                 1.9223,                  1.804,                 1.3888,                0.40874,                0.47101,                 0.4205,                0.20825,                0.38682,                0.44928,                0.37767,                0.25457,                 1.8695,                 1.9133,                 2.3761,                 1.3143,              0.0016661,              0.0016661,              0.0016661
                      5,                 1.8721,                 1.8799,                  1.764,                 1.3865,                    0.5,                0.06522,                0.28261,                0.15947,                    0.5,                0.06522,                0.28261,                0.22609,                 1.8517,                 1.7074,                 1.6897,                 1.2501,              0.0016661,              0.0016661,              0.0016661
                      6,                 1.7959,                 1.8722,                 1.6214,                 1.3215,                 0.6875,                0.23551,                0.48084,                0.17161,                  0.625,                0.21377,                0.42912,                0.26621,                 1.6475,                 1.9561,                 1.5156,                 1.1677,              0.0016654,              0.0016654,              0.0016654
                      7,                 1.7572,                 1.7834,                 1.5323,                 1.3095,                    0.5,                0.04348,                0.27173,                0.15236,                    0.5,                0.04348,                0.27173,                0.14565,                 1.8818,                 1.6884,                 1.6041,                 1.3509,              0.0016645,              0.0016645,              0.0016645
                      8,                 1.7417,                 1.7747,                 1.5117,                 1.3292,                      1,                0.32246,                0.66122,                0.31243,                      1,                0.32246,                0.66122,                 0.5019,                 1.7426,                 1.5565,                 1.3939,                 1.2992,              0.0016633,              0.0016633,              0.0016633
                      9,                 1.7106,                 1.7872,                 1.4326,                 1.2848,                0.45238,                0.41304,                0.42563,                0.25835,                0.47619,                0.43478,                0.45144,                0.29335,                 1.7535,                 1.5617,                 1.3825,                 1.1972,               0.001662,               0.001662,               0.001662
                     10,                 1.6226,                 1.6722,                 1.3901,                 1.2625,                0.36667,                0.23913,                 0.2972,                0.17447,                    0.4,                0.26087,                0.31664,                0.19679,                 1.7077,                 1.6399,                 1.3882,                 1.1335,              0.0016605,              0.0016605,              0.0016605
                     11,                 1.6648,                 1.6815,                  1.377,                 1.2603,                0.66176,                0.38768,                0.56491,                0.32157,                0.63235,                0.36594,                0.52982,                0.32893,                 1.6094,                 1.4892,                 1.3836,                 1.1678,              0.0016588,              0.0016588,              0.0016588
                     12,                 1.6649,                 1.6423,                 1.3646,                 1.2576,                    0.5,                0.21739,                0.35868,                0.24177,                    0.5,                0.21739,                0.35868,                0.23162,                 1.5346,                 1.5255,                 1.2584,                 1.1308,              0.0016568,              0.0016568,              0.0016568
                     13,                 1.6093,                 1.6152,                 1.2921,                 1.2328,                0.67308,                0.32246,                0.51734,                0.27955,                0.67308,                0.32246,                0.51734,                0.32367,                 1.6536,                   1.45,                 1.2663,                 1.1571,              0.0016547,              0.0016547,              0.0016547
                     14,                 1.5202,                 1.5897,                 1.2164,                 1.2132,                      1,                 0.3442,                0.67209,                0.40091,                      1,                 0.3442,                0.67209,                0.50607,                 1.4897,                 1.3705,                 1.2189,                 1.1371,              0.0016524,              0.0016524,              0.0016524
                     15,                 1.5302,                 1.6089,                 1.1993,                 1.1877,                    0.9,                0.25725,                0.57189,                0.33353,                    0.9,                0.25725,                0.57189,                 0.3916,                  1.393,                 1.3723,                 1.3103,                 1.0715,              0.0016499,              0.0016499,              0.0016499
                     16,                 1.5093,                 1.5605,                 1.1588,                 1.1753,                0.94737,                 0.4529,                0.70251,                0.44043,                0.94737,                 0.4529,                0.70251,                0.51299,                 1.3636,                 1.3623,                 1.1529,                 1.0622,              0.0016471,              0.0016471,              0.0016471
                     17,                 1.5004,                 1.5429,                 1.1472,                 1.1837,                0.90909,                0.47464,                 0.7025,                 0.4475,                0.90909,                0.47464,                 0.7025,                0.47034,                 1.4465,                 1.5143,                 1.1639,                 1.0941,              0.0016442,              0.0016442,              0.0016442
                     18,                 1.4588,                 1.5289,                 1.1207,                 1.1699,                      1,                0.47464,                0.73729,                0.45583,                      1,                0.47464,                0.73729,                0.53031,                 1.2698,                 1.2845,                 1.1107,                 1.0462,              0.0016411,              0.0016411,              0.0016411
                     19,                 1.4893,                  1.508,                 1.0966,                 1.1808,                    0.5,                0.36957,                0.43477,                0.34189,                    0.5,                0.36957,                0.43477,                0.33291,                 1.2617,                 1.2242,                0.97812,                  1.089,              0.0016378,              0.0016378,              0.0016378
                     20,                 1.4481,                 1.4991,                 1.0853,                 1.1519,                    0.5,                 0.3913,                0.44563,                0.31967,                    0.5,                 0.3913,                0.44563,                0.29482,                 1.2998,                 1.3014,                 1.0327,                 1.0893,              0.0016342,              0.0016342,              0.0016342
                     21,                 1.4479,                 1.4998,                 1.0734,                 1.1404,                    0.5,                0.41304,                0.45649,                0.33415,                    0.5,                0.41304,                0.45649,                0.30705,                 1.2644,                 1.2909,                 1.0846,                 1.0863,              0.0016305,              0.0016305,              0.0016305
                     22,                 1.4003,                 1.4754,                 1.0518,                 1.1275,                      1,                0.51812,                0.75904,                0.56116,                      1,                0.51812,                0.75904,                0.56677,                 1.2428,                 1.3901,                 1.0753,                 1.0941,              0.0016266,              0.0016266,              0.0016266
                     23,                 1.3565,                 1.4467,                 1.0202,                 1.1389,                0.44118,                0.32609,                0.39891,                0.31283,                0.44118,                0.32609,                0.39891,                0.27549,                 1.2643,                 1.4127,                 1.1157,                  1.088,              0.0016225,              0.0016225,              0.0016225
                     24,                 1.3334,                  1.444,                 1.0129,                  1.108,                0.93478,                0.51812,                0.74858,                0.55187,                0.93478,                0.51812,                0.74858,                0.56025,                 1.2104,                 1.2622,                 1.0351,                 1.0797,              0.0016182,              0.0016182,              0.0016182
                     25,                 1.3413,                 1.4614,                0.98705,                 1.1024,                0.97619,                0.51812,                0.75548,                0.55858,                0.97619,                0.51812,                0.75548,                0.56057,                 1.2364,                 1.2293,                0.93928,                  1.111,              0.0016137,              0.0016137,              0.0016137
                     26,                 1.3052,                   1.46,                0.95279,                 1.0968,                0.64167,                0.49638,                0.54926,                0.36105,                0.64167,                0.49638,                0.54926,                0.39373,                 1.1667,                 1.4648,                 1.0244,                0.95067,              0.0016091,              0.0016091,              0.0016091
                     27,                   1.34,                  1.462,                0.96636,                 1.1115,                0.97619,                0.51812,                0.75738,                0.43269,                0.97619,                0.51812,                0.75738,                0.54769,                 1.5055,                 1.3234,                  1.064,                 1.0463,              0.0016042,              0.0016042,              0.0016042
                     28,                  1.402,                 1.4732,                0.99803,                 1.1247,                0.95455,                0.51812,                0.74167,                0.59092,                0.95455,                0.51812,                0.74167,                 0.5798,                 1.1906,                 1.3107,                0.98013,                0.98447,              0.0015991,              0.0015991,              0.0015991
                     29,                  1.329,                 1.4111,                0.94786,                 1.1102,                   0.75,                0.49638,                0.60232,                0.42001,                   0.75,                0.49638,                0.60232,                0.45378,                 1.2803,                 1.3375,                0.96237,                 1.0677,              0.0015939,              0.0015939,              0.0015939
                     30,                 1.3517,                 1.4345,                0.95026,                 1.0954,                0.45652,                0.45652,                0.47024,                0.36202,                0.45652,                0.45652,                0.47024,                0.33422,                 1.2375,                 1.2839,                 1.0512,                 1.0668,              0.0015885,              0.0015885,              0.0015885
                     31,                 1.2856,                 1.4314,                0.92533,                   1.08,                   0.75,                0.47464,                0.63271,                0.49973,                   0.75,                0.47464,                0.63271,                0.49963,                 1.0992,                 1.1809,                0.86665,                0.95008,              0.0015829,              0.0015829,              0.0015829
                     32,                 1.2578,                 1.3895,                0.89563,                 1.0593,                      1,                0.49638,                0.74815,                0.58275,                      1,                0.49638,                0.74815,                0.60118,                 1.0638,                 1.2498,                0.83099,                0.92701,              0.0015771,              0.0015771,              0.0015771
                     33,                 1.3142,                  1.382,                0.92324,                 1.0717,                      1,                0.62319,                0.81153,                0.53407,                      1,                0.62319,                0.81153,                0.54224,                 1.2902,                 1.2794,                 1.0292,                0.96607,              0.0015711,              0.0015711,              0.0015711
                     34,                 1.2584,                 1.3678,                0.91657,                 1.0667,                0.97826,                0.56159,                0.78016,                0.54737,                0.97826,                0.56159,                0.78016,                0.54349,                 1.2872,                 1.3016,                 0.9532,                0.99629,              0.0015649,              0.0015649,              0.0015649
                     35,                 1.2994,                  1.361,                0.90982,                 1.0722,                0.97368,                0.47464,                0.73449,                0.53173,                      1,                0.49638,                0.74815,                0.60649,                 1.1792,                 1.2425,                0.97553,                0.98764,              0.0015586,              0.0015586,              0.0015586
                     36,                 1.2502,                 1.3614,                0.87756,                  1.081,                      1,                0.57971,                0.78981,                0.55445,                      1,                0.57971,                0.78981,                0.58656,                 1.1407,                 1.1682,                0.95068,                0.96047,              0.0015521,              0.0015521,              0.0015521
                     37,                 1.2405,                 1.3933,                0.87018,                 1.0667,                0.97727,                0.62319,                0.80945,                0.55616,                0.97727,                0.62319,                0.80945,                0.51427,                 1.1881,                 1.4269,                0.96606,                0.98907,              0.0015454,              0.0015454,              0.0015454
                     38,                 1.2429,                 1.3859,                 0.8936,                 1.0689,                      1,                0.53986,                0.76986,                0.56752,                      1,                0.53986,                0.76986,                0.60957,                 1.1951,                   1.23,                0.86761,                0.96818,              0.0015385,              0.0015385,              0.0015385
