                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6765,                 3.0425,                 3.1993,                 1.5481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3467,                 1.2869,                 2.5889,                 1.2135,                0.00014,                0.00014,                0.00014
                      2,                0.95671,                 1.0231,                 1.5148,                0.95233,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2763,                 1.2393,                 2.3034,                 1.1459,             0.00029998,             0.00029998,             0.00029998
                      3,                0.89962,                0.72856,                 1.1197,                0.91221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1537,                0.70031,                 1.8352,                0.98433,             0.00045989,             0.00045989,             0.00045989
                      4,                0.82616,                0.64287,                0.97034,                0.88754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1426,                 1.9367,                 2.1565,                0.98699,             0.00061966,             0.00061966,             0.00061966
                      5,                0.90423,                0.61328,                0.96134,                0.89772,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.6232,                 1.4056,                 2.4205,                 1.1703,             0.00077924,             0.00077924,             0.00077924
                      6,                0.92168,                0.60923,                0.93693,                0.92164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2295,                0.86152,                 2.2242,                 1.0338,             0.00093857,             0.00093857,             0.00093857
                      7,                0.88367,                0.62347,                0.89215,                0.89169,                      1,                0.15789,                0.57894,                0.51845,                      1,                0.15789,                0.57894,                0.52128,                0.99977,                0.74687,                 1.4742,                0.91849,              0.0010976,              0.0010976,              0.0010976
                      8,                0.92004,                0.62217,                 0.9069,                0.89614,                      1,                0.31579,                0.65788,                0.53211,                      1,                0.31579,                0.65788,                0.61501,                 1.2372,                0.69558,                 1.2156,                0.94943,              0.0012562,              0.0012562,              0.0012562
                      9,                0.84143,                0.58635,                0.85987,                0.89261,                      1,                0.10526,                0.55262,                0.47116,                      1,                0.10526,                0.55262,                0.52367,                  0.992,                0.64887,                 1.3893,                0.94254,              0.0014145,              0.0014145,              0.0014145
                     10,                0.75132,                0.64078,                0.77283,                0.87062,                      1,                0.52632,                0.76313,                0.55505,                      1,                0.52632,                0.76313,                0.61208,                 1.1399,                0.64102,                 1.1748,                0.98409,              0.0015722,              0.0015722,              0.0015722
                     11,                0.87519,                0.61251,                0.81671,                0.91297,                      1,                0.73684,                0.86838,                0.61897,                      1,                0.73684,                0.86838,                0.77398,                 1.1442,                 0.7145,                 1.0119,                 1.0116,              0.0017294,              0.0017294,              0.0017294
                     12,                0.83096,                0.59166,                0.79081,                0.91155,                      1,                0.52632,                0.76313,                0.62602,                      1,                0.52632,                0.76313,                0.70489,                0.99105,                0.56462,                0.89264,                0.91942,               0.001886,               0.001886,               0.001886
                     13,                0.82494,                0.56237,                0.75439,                0.89036,                      1,                0.94737,                 0.9735,                0.72543,                      1,                0.94737,                 0.9735,                0.86745,                0.96901,                0.57159,                0.78905,                0.95355,              0.0019825,              0.0019825,              0.0019825
                     14,                0.77404,                0.55841,                0.72327,                0.88295,                      1,                      1,                  0.995,                0.81657,                      1,                      1,                  0.995,                0.88439,                0.83238,                0.51487,                0.68684,                0.90477,              0.0019825,              0.0019825,              0.0019825
                     15,                0.79032,                0.57483,                0.68845,                0.86936,                0.97344,                      1,                  0.995,                0.79707,                0.97344,                      1,                  0.995,                0.91918,                0.89964,                0.49936,                0.73275,                  0.919,              0.0019794,              0.0019794,              0.0019794
