                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8045,                 3.5274,                  3.658,                 2.3475,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.50621,                0.63245,                 2.7314,                 1.0909,                0.00014,                0.00014,                0.00014
                      2,                0.56503,                0.61255,                 1.8106,                  1.221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.86886,                 1.2406,                 2.7792,                 1.7302,             0.00029998,             0.00029998,             0.00029998
                      3,                0.47557,                 0.5193,                 1.4691,                  1.098,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.81196,                 2.4261,                 2.2572,                  1.606,             0.00045989,             0.00045989,             0.00045989
                      4,                 0.3722,                 0.3008,                 1.1554,                   1.01,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.5702,                 6.1948,                 2.5869,                 3.9799,             0.00061966,             0.00061966,             0.00061966
                      5,                0.41302,                0.34052,                 1.0773,                 1.0297,                      1,                    0.6,                    0.8,                0.70292,                      1,                    0.6,                    0.8,                0.61983,                0.65528,                  9.012,                 1.5423,                 1.3156,             0.00077924,             0.00077924,             0.00077924
                      6,                0.37832,                0.31083,                0.97691,                0.98159,                0.83333,                      1,                0.96167,                0.83267,                0.66667,                    0.8,                0.64958,                0.46104,                0.79938,                 7.3751,                 2.0785,                 1.3309,             0.00093857,             0.00093857,             0.00093857
                      7,                0.37214,                 0.2717,                0.91475,                 1.0084,                      1,                      1,                  0.995,                0.94053,                      1,                      1,                  0.995,                0.90847,                0.52372,                 3.8023,                0.91527,                 1.0399,              0.0010976,              0.0010976,              0.0010976
                      8,                0.37336,                0.26755,                0.85887,                0.98602,                    0.8,                    0.8,                  0.839,                0.73173,                    0.8,                    0.8,                  0.839,                 0.6304,                 1.1016,                 5.5146,                 1.1963,                 1.7371,              0.0012562,              0.0012562,              0.0012562
                      9,                 0.3392,                0.28282,                0.77955,                 0.9515,                      1,                      1,                  0.995,                 0.9115,                      1,                      1,                  0.995,                 0.9623,                0.52571,                0.50377,                0.67521,                  1.131,              0.0014145,              0.0014145,              0.0014145
                     10,                0.35114,                0.28843,                0.72483,                0.96696,                0.98615,                    0.8,                  0.879,                 0.6981,                0.98615,                    0.8,                  0.879,                 0.7067,                0.97833,                0.79663,                 1.3536,                 1.6783,              0.0015722,              0.0015722,              0.0015722
                     11,                0.33555,                0.27362,                0.68775,                 0.9831,                      1,                    0.8,                    0.9,                0.69275,                      1,                    0.8,                    0.9,                0.58913,                  1.684,                0.79419,                 1.2377,                 3.0549,              0.0017294,              0.0017294,              0.0017294
