                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.917,                   2.27,                 1.9012,                 1.5518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4598,                  1.572,                 1.3701,                 1.3224,             0.00065909,             0.00065909,             0.00065909
                      2,                 1.4775,                 1.4969,                 1.2578,                 1.2344,                0.89655,                0.82258,                0.87839,                0.53483,                0.91475,                0.83871,                0.89711,                0.54535,                 1.3514,                 1.6793,                 1.2168,                 1.2137,              0.0013257,              0.0013257,              0.0013257
                      3,                 1.3855,                 1.4464,                 1.1286,                 1.1796,                  0.975,                0.62903,                0.80377,                0.52844,                  0.975,                0.62903,                0.80377,                0.53884,                 1.3269,                 1.5954,                0.99245,                  1.157,              0.0019919,              0.0019919,              0.0019919
                      4,                 1.4548,                 1.3876,                 1.1187,                 1.1765,                0.87195,                0.87097,                 0.9292,                0.50307,                0.87195,                0.87097,                 0.9292,                0.54921,                 1.5523,                 1.4278,                 1.2624,                 1.1917,              0.0019989,              0.0019989,              0.0019989
                      5,                 1.3519,                 1.3246,                 1.1058,                 1.1476,                0.98264,                 0.9129,                0.95413,                0.61343,                0.98264,                 0.9129,                0.95413,                0.66084,                 1.2692,                 1.4523,                0.91299,                   1.12,              0.0019989,              0.0019989,              0.0019989
                      6,                 1.3174,                 1.3512,                 1.0176,                 1.1155,                0.91667,                 0.8871,                0.92997,                0.57641,                0.91667,                 0.8871,                0.92894,                0.56709,                 1.3266,                  1.546,                0.96336,                 1.1152,               0.001998,               0.001998,               0.001998
                      7,                 1.2979,                 1.3257,                 1.0047,                 1.1166,                0.95312,                0.98387,                0.98885,                0.61818,                0.95312,                0.98387,                0.98885,                0.63849,                 1.2599,                 1.4068,                 0.9359,                 1.0884,              0.0019969,              0.0019969,              0.0019969
                      8,                 1.2599,                 1.3413,                0.94701,                 1.0801,                0.89474,                0.82258,                 0.8805,                  0.542,                0.89474,                0.82258,                 0.8805,                 0.5907,                 1.3151,                 1.2558,                 0.8854,                 1.0672,              0.0019956,              0.0019956,              0.0019956
                      9,                 1.2518,                 1.2995,                0.92115,                 1.0783,                0.95082,                0.93548,                0.95868,                0.57261,                0.93443,                0.91935,                0.94747,                0.53977,                 1.3423,                 1.3514,                 0.9843,                  1.101,               0.001994,               0.001994,               0.001994
                     10,                 1.1889,                 1.2616,                0.86658,                 1.0525,                   0.96,                0.77419,                0.88032,                0.57813,                   0.94,                0.75806,                0.86863,                0.57082,                 1.1647,                 1.3163,                0.77935,                 1.0106,              0.0019922,              0.0019922,              0.0019922
                     11,                  1.178,                 1.2679,                0.84935,                 1.0329,                0.89492,                0.96774,                0.95918,                 0.6574,                0.88001,                0.95161,                0.94937,                0.62736,                 1.2286,                 1.3936,                0.85838,                 1.0291,              0.0019901,              0.0019901,              0.0019901
                     12,                 1.1119,                 1.2591,                0.80599,                 1.0168,                0.98214,                 0.8871,                0.93956,                0.62377,                0.98214,                 0.8871,                0.93956,                0.64984,                 1.3096,                 1.3136,                0.76328,                 1.0179,              0.0019878,              0.0019878,              0.0019878
                     13,                 1.1341,                 1.2191,                 0.7878,                 1.0125,                0.96364,                0.85484,                0.92228,                0.65809,                0.96364,                0.85484,                0.92228,                0.59363,                 1.1024,                 1.2974,                0.74191,                 1.0224,              0.0019853,              0.0019853,              0.0019853
                     14,                 1.1461,                 1.2076,                0.80646,                 1.0257,                0.98214,                 0.8871,                0.94045,                0.61841,                0.98214,                 0.8871,                0.94045,                0.61486,                 1.3254,                 1.2768,                0.75898,                 1.0402,              0.0019825,              0.0019825,              0.0019825
                     15,                 1.1459,                 1.1914,                 0.7979,                 1.0185,                0.98276,                0.91935,                0.95335,                0.62646,                0.98276,                0.91935,                0.95335,                  0.659,                 1.2582,                  1.308,                0.71037,                0.99458,              0.0019794,              0.0019794,              0.0019794
                     16,                 1.1884,                 1.1869,                0.77137,                 1.0141,                0.96774,                0.96774,                0.98106,                  0.591,                0.96774,                0.96774,                0.98106,                 0.6548,                 1.2804,                 1.2997,                0.84851,                0.97648,              0.0019762,              0.0019762,              0.0019762
                     17,                 1.1251,                 1.1534,                0.77686,                 1.0039,                0.96721,                0.95161,                0.97232,                0.66965,                0.96721,                0.95161,                0.97232,                 0.6812,                 1.1483,                 1.2222,                0.72389,                0.96202,              0.0019726,              0.0019726,              0.0019726
                     18,                 1.1377,                   1.18,                0.79128,                0.99204,                0.98333,                0.95161,                0.97532,                0.68926,                0.98333,                0.95161,                0.97532,                0.64358,                  1.092,                 1.3843,                0.67065,                0.96196,              0.0019689,              0.0019689,              0.0019689
                     19,                 1.0653,                 1.1406,                0.72344,                0.98684,                0.96721,                0.95161,                   0.97,                0.65353,                0.96721,                0.95161,                   0.97,                0.65534,                 1.1922,                 1.2705,                0.70217,                 1.0339,              0.0019649,              0.0019649,              0.0019649
                     20,                 1.0773,                 1.2028,                0.74092,                0.98364,                0.98305,                0.93548,                 0.9653,                0.69973,                0.98305,                0.93548,                 0.9653,                0.64482,                   1.13,                 1.3274,                0.67151,                0.95161,              0.0019607,              0.0019607,              0.0019607
                     21,                 1.0231,                 1.1646,                0.69934,                0.97021,                0.95238,                0.96774,                0.98073,                0.66608,                0.95238,                0.96774,                0.98073,                0.62201,                 1.1727,                  1.371,                0.66894,                0.98399,              0.0019562,              0.0019562,              0.0019562
                     22,                 1.0913,                 1.2077,                0.70298,                0.99169,                0.98333,                0.95161,                0.97466,                  0.683,                0.98333,                0.95161,                0.97466,                0.68195,                 1.1709,                 1.2651,                0.66013,                0.97889,              0.0019515,              0.0019515,              0.0019515
                     23,                 1.0244,                 1.1632,                 0.6872,                0.96441,                0.96774,                0.96774,                0.98234,                0.70077,                0.96774,                0.96774,                0.98268,                0.67985,                 1.0598,                 1.2544,                0.65184,                0.98536,              0.0019466,              0.0019466,              0.0019466
                     24,                 1.0883,                  1.145,                0.69964,                0.97147,                0.96825,                0.98387,                0.98605,                0.70607,                0.96825,                0.98387,                0.98605,                0.63199,                 1.1447,                 1.2759,                0.66427,                0.95614,              0.0019415,              0.0019415,              0.0019415
                     25,                0.99751,                 1.1247,                0.65609,                 0.9545,                      1,                0.96774,                 0.9836,                0.70279,                      1,                0.96774,                 0.9836,                0.62557,                 1.1036,                 1.2333,                0.61063,                0.96429,              0.0019361,              0.0019361,              0.0019361
                     26,                 1.0149,                 1.1219,                0.65643,                0.95506,                0.96826,                0.93548,                0.96647,                0.72569,                0.96826,                0.93548,                0.96647,                0.66747,                 1.0347,                 1.3078,                0.61912,                0.93645,              0.0019305,              0.0019305,              0.0019305
                     27,                0.99511,                 1.1263,                0.63646,                0.94452,                0.97537,                0.96774,                0.98202,                0.72907,                0.97537,                0.96774,                0.98202,                0.64838,                 1.0211,                 1.2737,                0.59527,                0.93965,              0.0019246,              0.0019246,              0.0019246
                     28,                 1.0742,                 1.1931,                0.67477,                0.96503,                0.96774,                0.96774,                0.97808,                0.69723,                0.96774,                0.96774,                0.97808,                0.68256,                 1.1178,                 1.2583,                0.64158,                0.93237,              0.0019186,              0.0019186,              0.0019186
                     29,                 1.0692,                 1.1395,                0.66652,                0.96083,                0.98246,                0.90323,                0.94805,                0.63532,                0.98246,                0.90323,                0.94805,                0.59672,                 1.2195,                 1.2706,                0.70295,                0.94828,              0.0019123,              0.0019123,              0.0019123
                     30,                  1.051,                 1.1398,                0.64803,                0.95389,                0.96825,                0.98387,                0.99037,                0.73696,                0.97087,                0.96774,                0.98271,                0.67308,                 1.0703,                 1.2571,                 0.6332,                0.93933,              0.0019058,              0.0019058,              0.0019058
                     31,                 1.0013,                 1.1221,                0.64622,                0.93967,                0.95312,                0.98387,                 0.9895,                 0.7181,                 0.9375,                0.96774,                0.97955,                0.71058,                   1.04,                 1.1857,                0.63704,                0.91986,               0.001899,               0.001899,               0.001899
                     32,                 1.0102,                 1.1466,                0.65473,                0.93822,                0.96721,                0.95161,                0.97249,                0.73387,                0.96721,                0.95161,                0.97249,                0.66923,                0.99666,                 1.3242,                0.65454,                0.92566,              0.0018921,              0.0018921,              0.0018921
                     33,                0.99705,                 1.1026,                0.63078,                0.93756,                      1,                0.95161,                0.97567,                 0.7309,                      1,                0.95161,                0.97567,                 0.7196,                0.99986,                 1.2644,                  0.585,                0.92338,              0.0018849,              0.0018849,              0.0018849
                     34,                 1.0009,                 1.1457,                0.63252,                0.93611,                0.98361,                0.96774,                 0.9828,                0.68342,                0.98361,                0.96774,                 0.9828,                0.68212,                 1.1314,                 1.2748,                0.63025,                0.93578,              0.0018775,              0.0018775,              0.0018775
                     35,                0.99698,                 1.1092,                0.62853,                0.93727,                0.94019,                0.96774,                0.97927,                0.73162,                0.94019,                0.96774,                0.97927,                0.69219,                0.95933,                 1.1705,                 0.6021,                0.92557,              0.0018699,              0.0018699,              0.0018699
                     36,                0.99579,                 1.0794,                0.62587,                0.93618,                0.98305,                0.93548,                0.96666,                0.74104,                0.98305,                0.93548,                0.96666,                0.67968,                 1.0112,                 1.2681,                0.59371,                0.91885,              0.0018621,              0.0018621,              0.0018621
                     37,                0.94992,                 1.0899,                 0.6026,                0.93306,                0.96825,                0.98387,                0.98972,                0.73592,                0.96825,                0.98387,                0.98972,                0.73846,                0.98245,                 1.2495,                0.57073,                0.92207,              0.0018541,              0.0018541,              0.0018541
                     38,                0.97143,                 1.1077,                0.61161,                0.94214,                0.95238,                0.96774,                0.97743,                0.73942,                0.95238,                0.96774,                0.97743,                0.68798,                 0.9766,                 1.2142,                0.59545,                0.96332,              0.0018459,              0.0018459,              0.0018459
