                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0949,                 1.8749,                 2.0782,                 1.5008,                      1,                  0.875,                  0.935,                0.75185,                      1,                  0.875,                  0.935,                0.72211,                 0.8424,                 0.7966,                0.85945,                 1.2371,             0.00054988,             0.00054988,             0.00054988
                      2,                0.68501,                0.85138,                 1.1474,                 1.1198,                0.98661,                      1,                  0.995,                0.84638,                0.98661,                      1,                  0.995,                0.86772,                0.78289,                0.67396,                 1.0869,                 1.1349,              0.0011055,              0.0011055,              0.0011055
                      3,                0.70878,                0.75893,                 1.0306,                  1.099,                0.82405,                      1,                  0.995,                0.75805,                0.82405,                      1,                  0.995,                 0.8057,                0.85582,                0.48812,                 1.1297,                 1.2802,              0.0016608,              0.0016608,              0.0016608
                      4,                0.67828,                0.72684,                0.89242,                 1.0992,                      1,                      1,                  0.995,                0.87257,                      1,                      1,                  0.995,                0.88501,                0.64681,                0.63689,                0.67776,                0.98959,              0.0016661,              0.0016661,              0.0016661
                      5,                0.61783,                0.72759,                0.78121,                 1.0479,                      1,                0.99568,                  0.995,                0.88017,                      1,                0.99568,                  0.995,                0.88473,                0.66774,                0.48828,                0.67498,                 1.0191,              0.0016661,              0.0016661,              0.0016661
                      6,                0.59167,                0.72823,                0.70829,                 1.0194,                      1,                      1,                  0.995,                0.90504,                      1,                      1,                  0.995,                0.91757,                0.60596,                0.44602,                0.53233,                0.98285,              0.0016654,              0.0016654,              0.0016654
                      7,                0.55827,                 0.6655,                0.63315,                 1.0346,                      1,                      1,                  0.995,                0.87223,                      1,                      1,                  0.995,                0.85682,                0.67024,                  0.505,                0.51859,                 1.0203,              0.0016645,              0.0016645,              0.0016645
                      8,                0.59335,                0.66418,                 0.5903,                 1.0092,                      1,                      1,                  0.995,                0.89559,                      1,                      1,                  0.995,                0.88225,                0.61817,                0.42629,                0.44805,                0.99999,              0.0016633,              0.0016633,              0.0016633
                      9,                0.56458,                0.58379,                0.55439,                 1.0103,                      1,                      1,                  0.995,                0.88253,                      1,                      1,                  0.995,                0.88527,                0.63798,                 0.6283,                0.43235,                 1.0153,               0.001662,               0.001662,               0.001662
                     10,                0.54948,                 0.6454,                0.49595,                0.98081,                      1,                      1,                  0.995,                0.90436,                      1,                      1,                  0.995,                0.90439,                0.54772,                 0.5206,                0.42866,                0.98071,              0.0016605,              0.0016605,              0.0016605
                     11,                0.54549,                0.63765,                0.49362,                0.99182,                      1,                      1,                  0.995,                0.87356,                      1,                      1,                  0.995,                0.87915,                 0.6088,                 0.4401,                0.39341,                  1.013,              0.0016588,              0.0016588,              0.0016588
                     12,                 0.5448,                0.61625,                0.46382,                0.99654,                      1,                      1,                  0.995,                0.89978,                      1,                      1,                  0.995,                0.89578,                 0.5113,                0.42695,                0.41597,                0.92237,              0.0016568,              0.0016568,              0.0016568
                     13,                0.51968,                0.58154,                0.44719,                0.96697,                      1,                 0.9375,                 0.9662,                0.88681,                      1,                 0.9375,                 0.9662,                 0.9021,                0.57986,                0.45977,                0.43357,                0.99775,              0.0016547,              0.0016547,              0.0016547
                     14,                0.51767,                0.61684,                0.44685,                0.97751,                      1,                      1,                  0.995,                  0.889,                      1,                      1,                  0.995,                 0.9006,                0.61366,                0.44167,                0.38709,                  1.019,              0.0016524,              0.0016524,              0.0016524
                     15,                0.50998,                0.60505,                0.41095,                0.97184,                      1,                      1,                  0.995,                0.90287,                      1,                      1,                  0.995,                0.91254,                0.56313,                0.38928,                 0.3573,                0.96766,              0.0016499,              0.0016499,              0.0016499
                     16,                0.49111,                0.64651,                0.39143,                0.97948,                      1,                      1,                  0.995,                0.89837,                      1,                      1,                  0.995,                0.92102,                0.51621,                0.34097,                 0.3387,                0.93134,              0.0016471,              0.0016471,              0.0016471
                     17,                0.49922,                0.65763,                0.40371,                0.96339,                      1,                      1,                  0.995,                0.92459,                      1,                      1,                  0.995,                0.92828,                0.54641,                0.34897,                0.37606,                0.92552,              0.0016442,              0.0016442,              0.0016442
                     18,                0.49283,                0.58476,                0.38668,                0.95622,                      1,                      1,                  0.995,                 0.9083,                      1,                      1,                  0.995,                 0.9237,                0.58747,                0.51582,                0.37609,                0.99273,              0.0016411,              0.0016411,              0.0016411
                     19,                0.50529,                0.59653,                0.40051,                0.95931,                      1,                      1,                  0.995,                0.92027,                      1,                      1,                  0.995,                0.94341,                0.48411,                0.45722,                0.30222,                0.90555,              0.0016378,              0.0016378,              0.0016378
                     20,                0.47139,                0.58518,                0.37338,                0.95896,                      1,                      1,                  0.995,                0.90564,                      1,                      1,                  0.995,                0.92578,                0.48957,                0.44409,                0.38803,                0.89579,              0.0016342,              0.0016342,              0.0016342
                     21,                0.48084,                0.63414,                0.36336,                0.94772,                      1,                      1,                  0.995,                0.91971,                      1,                      1,                  0.995,                0.92406,                0.53244,                0.42985,                 0.3586,                0.95783,              0.0016305,              0.0016305,              0.0016305
                     22,                0.48082,                 0.5349,                0.36789,                0.96082,                      1,                      1,                  0.995,                0.89986,                      1,                      1,                  0.995,                 0.9359,                0.53748,                0.38198,                0.33195,                0.93798,              0.0016266,              0.0016266,              0.0016266
                     23,                0.45245,                0.54895,                0.34123,                0.93235,                 0.9898,                      1,                  0.995,                0.90479,                 0.9898,                      1,                  0.995,                0.91988,                0.49512,                0.54754,                0.37161,                0.90567,              0.0016225,              0.0016225,              0.0016225
                     24,                0.46489,                 0.5872,                0.34583,                0.95059,                      1,                      1,                  0.995,                0.94076,                      1,                      1,                  0.995,                0.94013,                0.41264,                0.43354,                0.32809,                0.87212,              0.0016182,              0.0016182,              0.0016182
                     25,                0.46333,                0.51114,                 0.3386,                0.94644,                      1,                      1,                  0.995,                 0.9404,                      1,                      1,                  0.995,                0.94897,                0.43792,                0.44439,                0.30796,                0.89587,              0.0016137,              0.0016137,              0.0016137
                     26,                0.44604,                0.53568,                0.32841,                0.93467,                      1,                      1,                  0.995,                0.90379,                      1,                      1,                  0.995,                0.91832,                0.48459,                0.42395,                0.29937,                0.90546,              0.0016091,              0.0016091,              0.0016091
                     27,                0.47465,                0.50291,                0.33821,                0.94009,                      1,                 0.9375,                 0.9662,                0.91933,                      1,                 0.9375,                 0.9662,                0.90455,                 0.4766,                0.34629,                0.32354,                0.88737,              0.0016042,              0.0016042,              0.0016042
                     28,                0.44904,                0.59191,                0.33742,                 0.9317,                0.95668,                      1,                  0.995,                0.92223,                0.95668,                      1,                  0.995,                0.92908,                0.45816,                 0.3984,                 0.3546,                0.89063,              0.0015991,              0.0015991,              0.0015991
                     29,                0.45085,                0.52163,                0.32689,                0.93238,                      1,                      1,                  0.995,                0.92374,                      1,                      1,                  0.995,                0.90929,                0.46756,                0.37066,                0.28587,                 0.9083,              0.0015939,              0.0015939,              0.0015939
                     30,                0.45478,                0.53998,                0.33907,                 0.9468,                      1,                      1,                  0.995,                 0.9199,                      1,                      1,                  0.995,                0.91899,                0.52096,                0.43773,                0.38249,                0.91474,              0.0015885,              0.0015885,              0.0015885
                     31,                0.43155,                0.55145,                0.32098,                0.93148,                      1,                      1,                  0.995,                0.93286,                      1,                      1,                  0.995,                0.94604,                0.47408,                0.37498,                0.31165,                0.88325,              0.0015829,              0.0015829,              0.0015829
                     32,                0.45109,                0.53644,                0.31693,                0.93267,                      1,                      1,                  0.995,                0.93342,                      1,                      1,                  0.995,                0.93546,                0.49994,                 0.4792,                0.29793,                0.91247,              0.0015771,              0.0015771,              0.0015771
                     33,                0.45486,                0.53307,                0.31367,                0.92659,                      1,                      1,                  0.995,                0.95968,                      1,                      1,                  0.995,                0.94999,                0.42222,                0.47167,                0.28267,                0.86685,              0.0015711,              0.0015711,              0.0015711
                     34,                0.43236,                0.51956,                0.30017,                0.92229,                      1,                      1,                  0.995,                0.94793,                      1,                      1,                  0.995,                0.95421,                0.45475,                0.40547,                0.27791,                0.88584,              0.0015649,              0.0015649,              0.0015649
                     35,                0.41167,                0.52557,                0.28603,                0.91008,                      1,                      1,                  0.995,                0.92753,                      1,                      1,                  0.995,                 0.9428,                 0.4811,                 0.6297,                0.28055,                0.88386,              0.0015586,              0.0015586,              0.0015586
                     36,                0.41027,                 0.5609,                0.28631,                0.92673,                      1,                      1,                  0.995,                0.93584,                      1,                      1,                  0.995,                0.94992,                 0.4218,                0.47263,                0.26814,                0.88834,              0.0015521,              0.0015521,              0.0015521
                     37,                 0.4321,                0.52974,                0.29858,                0.93032,                      1,                      1,                  0.995,                0.89359,                      1,                      1,                  0.995,                0.91993,                 0.5633,                0.33671,                0.30235,                0.92786,              0.0015454,              0.0015454,              0.0015454
                     38,                0.42042,                0.51072,                0.29326,                0.91631,                      1,                      1,                  0.995,                0.93802,                      1,                      1,                  0.995,                0.94944,                0.44274,                0.33852,                0.26143,                0.89044,              0.0015385,              0.0015385,              0.0015385
                     39,                0.43933,                0.52208,                0.30147,                0.92771,                      1,                      1,                  0.995,                0.92021,                      1,                      1,                  0.995,                0.92711,                0.44476,                0.39744,                0.28109,                0.87017,              0.0015315,              0.0015315,              0.0015315
                     40,                0.43641,                0.51304,                0.30178,                 0.9355,                      1,                      1,                  0.995,                0.92867,                      1,                      1,                  0.995,                0.92801,                0.45392,                0.36694,                0.29194,                0.91842,              0.0015243,              0.0015243,              0.0015243
                     41,                 0.4307,                0.49079,                0.29875,                0.93191,                      1,                      1,                  0.995,                0.94105,                      1,                      1,                  0.995,                0.92634,                0.47877,                0.42552,                0.31089,                0.90328,              0.0015169,              0.0015169,              0.0015169
                     42,                 0.4147,                0.49443,                0.28674,                 0.9128,                      1,                      1,                  0.995,                0.93136,                      1,                      1,                  0.995,                0.93826,                0.46157,                0.45224,                 0.2656,                0.88975,              0.0015094,              0.0015094,              0.0015094
                     43,                0.40517,                0.49431,                0.28227,                0.91034,                      1,                      1,                  0.995,                0.91135,                      1,                      1,                  0.995,                0.90778,                 0.5017,                0.40424,                0.28688,                0.92896,              0.0015017,              0.0015017,              0.0015017
                     44,                0.40384,                0.48926,                0.28158,                0.90345,                      1,                      1,                  0.995,                0.92211,                      1,                      1,                  0.995,                0.92032,                0.51415,                0.39614,                0.25966,                0.95666,              0.0014938,              0.0014938,              0.0014938
                     45,                0.41109,                0.47814,                  0.289,                0.91871,                      1,                      1,                  0.995,                0.93632,                      1,                      1,                  0.995,                0.93894,                0.45762,                0.41232,                0.27247,                0.91264,              0.0014858,              0.0014858,              0.0014858
                     46,                0.39143,                 0.4976,                0.27247,                0.90525,                      1,                      1,                  0.995,                0.92778,                      1,                      1,                  0.995,                0.93156,                0.44526,                0.34768,                0.28781,                0.90203,              0.0014776,              0.0014776,              0.0014776
                     47,                0.39291,                0.47317,                0.27343,                0.91019,                      1,                      1,                  0.995,                0.91969,                      1,                      1,                  0.995,                0.94742,                0.47906,                0.40218,                 0.2572,                0.88664,              0.0014693,              0.0014693,              0.0014693
                     48,                0.39354,                0.48055,                0.27297,                0.88396,                      1,                 0.9375,                 0.9662,                0.88762,                      1,                 0.9375,                 0.9662,                0.87795,                0.51097,                0.47273,                0.28262,                0.91307,              0.0014608,              0.0014608,              0.0014608
                     49,                0.39211,                0.46891,                0.27568,                0.89604,                      1,                      1,                  0.995,                0.94726,                      1,                      1,                  0.995,                0.95213,                 0.4441,                0.46884,                0.24386,                0.89792,              0.0014522,              0.0014522,              0.0014522
                     50,                0.39263,                0.46064,                0.26455,                 0.9013,                      1,                      1,                  0.995,                0.93367,                      1,                      1,                  0.995,                0.92747,                0.48569,                0.54699,                0.26309,                0.89274,              0.0014434,              0.0014434,              0.0014434
                     51,                0.38074,                0.45982,                0.25861,                0.88836,                      1,                      1,                  0.995,                0.92695,                      1,                      1,                  0.995,                0.93745,                0.43569,                0.38362,                0.26597,                0.90639,              0.0014344,              0.0014344,              0.0014344
                     52,                0.39196,                0.44309,                0.26245,                0.90026,                      1,                      1,                  0.995,                0.93598,                      1,                      1,                  0.995,                0.93835,                0.41147,                0.37191,                0.24408,                0.89138,              0.0014253,              0.0014253,              0.0014253
                     53,                0.38784,                0.47429,                0.25719,                0.90593,                      1,                      1,                  0.995,                0.91994,                      1,                      1,                  0.995,                0.93037,                0.50977,                0.37553,                0.25844,                0.92085,              0.0014161,              0.0014161,              0.0014161
                     54,                0.38439,                 0.4573,                0.26419,                0.90817,                      1,                      1,                  0.995,                0.93911,                      1,                      1,                  0.995,                 0.9343,                0.42463,                0.38018,                0.23898,                0.89264,              0.0014067,              0.0014067,              0.0014067
                     55,                0.39594,                0.47543,                0.26814,                0.89892,                      1,                      1,                  0.995,                0.95236,                      1,                      1,                  0.995,                0.94059,                0.40223,                0.58821,                0.26015,                0.84444,              0.0013972,              0.0013972,              0.0013972
                     56,                 0.3843,                0.49928,                0.25763,                0.89601,                      1,                      1,                  0.995,                0.95313,                      1,                      1,                  0.995,                0.94744,                0.37183,                0.38403,                0.23042,                 0.8367,              0.0013875,              0.0013875,              0.0013875
                     57,                0.37588,                0.49002,                0.25752,                0.89278,                      1,                      1,                  0.995,                0.93803,                      1,                      1,                  0.995,                0.92844,                0.41711,                0.37025,                0.26024,                0.87366,              0.0013777,              0.0013777,              0.0013777
                     58,                0.37385,                0.44215,                0.25422,                0.89032,                      1,                      1,                  0.995,                0.93667,                      1,                      1,                  0.995,                0.91451,                0.45221,                0.36295,                0.24001,                0.91134,              0.0013678,              0.0013678,              0.0013678
                     59,                0.37565,                 0.4255,                0.25173,                0.87805,                      1,                      1,                  0.995,                0.94392,                      1,                      1,                  0.995,                  0.923,                0.43991,                0.40214,                0.24801,                0.89187,              0.0013578,              0.0013578,              0.0013578
                     60,                0.36004,                0.41909,                0.23724,                0.87312,                      1,                      1,                  0.995,                0.94628,                      1,                      1,                  0.995,                0.93563,                0.41025,                0.38403,                0.21751,                0.89622,              0.0013476,              0.0013476,              0.0013476
                     61,                0.36487,                 0.4202,                0.23657,                0.88151,                      1,                      1,                  0.995,                0.93946,                      1,                      1,                  0.995,                0.95786,                0.41863,                0.42219,                0.25056,                0.88799,              0.0013373,              0.0013373,              0.0013373
                     62,                0.38931,                0.43781,                0.25202,                0.89775,                      1,                      1,                  0.995,                0.92328,                      1,                      1,                  0.995,                0.93034,                 0.4455,                 0.3474,                0.26529,                0.89036,              0.0013269,              0.0013269,              0.0013269
                     63,                0.36396,                0.42681,                0.24063,                0.89665,                      1,                      1,                  0.995,                0.93849,                      1,                      1,                  0.995,                0.93357,                0.43167,                0.41155,                 0.2435,                0.89042,              0.0013163,              0.0013163,              0.0013163
                     64,                0.36351,                0.40544,                0.24373,                0.88179,                      1,                      1,                  0.995,                0.92995,                      1,                      1,                  0.995,                0.93029,                0.43154,                0.37576,                 0.2621,                0.89801,              0.0013056,              0.0013056,              0.0013056
                     65,                0.35133,                0.43825,                0.23362,                0.87987,                      1,                      1,                  0.995,                 0.9289,                      1,                      1,                  0.995,                0.93937,                0.48384,                0.49618,                0.26677,                0.90573,              0.0012949,              0.0012949,              0.0012949
                     66,                0.35887,                0.43218,                0.23936,                0.87744,                      1,                      1,                  0.995,                 0.9429,                      1,                      1,                  0.995,                0.94715,                0.43721,                0.49257,                0.24292,                0.90811,               0.001284,               0.001284,               0.001284
                     67,                0.34431,                0.42438,                0.23464,                0.87689,                      1,                      1,                  0.995,                 0.9258,                      1,                      1,                  0.995,                0.91775,                0.41337,                 0.3596,                0.25875,                0.89809,               0.001273,               0.001273,               0.001273
                     68,                0.36726,                0.43233,                0.24665,                0.89239,                      1,                      1,                  0.995,                0.91858,                      1,                      1,                  0.995,                0.91869,                0.47874,                 0.4185,                 0.2676,                0.91295,              0.0012619,              0.0012619,              0.0012619
                     69,                0.35521,                0.42936,                0.23921,                0.88863,                      1,                      1,                  0.995,                0.91041,                      1,                      1,                  0.995,                0.89473,                0.45744,                0.42332,                0.25434,                0.91069,              0.0012507,              0.0012507,              0.0012507
                     70,                0.35588,                0.43367,                0.23566,                0.87402,                      1,                      1,                  0.995,                  0.931,                      1,                      1,                  0.995,                0.92044,                0.44585,                0.44986,                0.24079,                 0.8948,              0.0012394,              0.0012394,              0.0012394
                     71,                 0.3463,                 0.4269,                0.23417,                0.86656,                      1,                      1,                  0.995,                0.93866,                      1,                      1,                  0.995,                0.92426,                0.42437,                0.41899,                0.24097,                0.88821,               0.001228,               0.001228,               0.001228
                     72,                0.36036,                0.42401,                0.23705,                0.88158,                      1,                      1,                  0.995,                0.93561,                      1,                      1,                  0.995,                0.93773,                0.42354,                0.41755,                0.22797,                0.89019,              0.0012165,              0.0012165,              0.0012165
                     73,                0.34754,                0.43314,                0.22796,                0.86233,                      1,                      1,                  0.995,                0.95186,                      1,                      1,                  0.995,                0.94194,                0.40864,                 0.4947,                0.21875,                0.87683,              0.0012049,              0.0012049,              0.0012049
                     74,                0.34606,                0.41322,                 0.2292,                0.85044,                      1,                      1,                  0.995,                0.94798,                      1,                      1,                  0.995,                0.92784,                0.36462,                0.35002,                0.22619,                0.87695,              0.0011932,              0.0011932,              0.0011932
                     75,                 0.3437,                 0.4048,                0.22407,                0.87701,                      1,                      1,                  0.995,                0.92931,                      1,                      1,                  0.995,                0.92131,                0.41232,                 0.4374,                0.22639,                 0.8763,              0.0011814,              0.0011814,              0.0011814
                     76,                0.33733,                0.39801,                0.22092,                0.86852,                      1,                      1,                  0.995,                0.94677,                      1,                      1,                  0.995,                0.93837,                0.42261,                0.39136,                0.21417,                 0.8848,              0.0011695,              0.0011695,              0.0011695
                     77,                0.33488,                0.39834,                0.21742,                0.86872,                      1,                      1,                  0.995,                0.95269,                      1,                      1,                  0.995,                0.93007,                0.39769,                 0.4317,                0.22105,                0.87805,              0.0011576,              0.0011576,              0.0011576
                     78,                0.33258,                0.40618,                0.21258,                0.88492,                      1,                      1,                  0.995,                0.94517,                      1,                      1,                  0.995,                0.95247,                0.40054,                0.40594,                0.20552,                0.87735,              0.0011456,              0.0011456,              0.0011456
                     79,                0.34339,                0.40985,                0.22036,                0.86462,                      1,                      1,                  0.995,                 0.9342,                      1,                      1,                  0.995,                0.93919,                0.47164,                0.38947,                 0.2166,                0.90191,              0.0011335,              0.0011335,              0.0011335
                     80,                0.33293,                0.39955,                0.21879,                0.87876,                      1,                      1,                  0.995,                0.93448,                      1,                      1,                  0.995,                0.95459,                0.42251,                0.41053,                0.23722,                0.89683,              0.0011213,              0.0011213,              0.0011213
                     81,                0.32256,                 0.4014,                0.21534,                0.86246,                      1,                      1,                  0.995,                0.94415,                      1,                      1,                  0.995,                0.94679,                0.39738,                0.44468,                0.19403,                0.89074,              0.0011091,              0.0011091,              0.0011091
                     82,                0.32229,                0.39569,                 0.2117,                0.85439,                      1,                      1,                  0.995,                0.95385,                      1,                      1,                  0.995,                0.92716,                0.42519,                0.42495,                0.21082,                0.89764,              0.0010968,              0.0010968,              0.0010968
                     83,                 0.3166,                0.38354,                0.20754,                0.86888,                      1,                      1,                  0.995,                 0.9371,                      1,                      1,                  0.995,                0.93252,                0.41824,                0.37881,                0.20874,                  0.884,              0.0010845,              0.0010845,              0.0010845
