                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0249,                 2.9141,                 2.4698,                 1.7223,                      1,                0.08333,                0.54166,                0.32083,                      1,                0.08333,                0.54166,                0.40728,                 1.7575,                 1.8611,                 2.0398,                 1.3576,             0.00055032,             0.00055032,             0.00055032
                      2,                 1.4839,                 1.7262,                 1.5136,                 1.2791,                      1,                0.77083,                0.88535,                0.64028,                      1,                0.77083,                0.88535,                0.73481,                 1.1833,                 1.0971,                 1.0745,                 1.0936,              0.0011059,              0.0011059,              0.0011059
                      3,                 1.4024,                 1.4904,                 1.3008,                 1.2158,                0.97015,                0.85417,                0.91672,                0.65478,                0.97015,                0.85417,                0.91672,                 0.6588,                 1.1662,                 1.2028,                 0.9634,                 1.1189,              0.0016613,              0.0016613,              0.0016613
                      4,                 1.2004,                 1.3535,                 1.1292,                 1.1525,                0.97727,                 0.9375,                0.96183,                0.73728,                0.97727,                 0.9375,                0.96183,                0.75327,                 1.1271,                 1.1064,                0.82491,                 1.1101,              0.0016661,              0.0016661,              0.0016661
                      5,                 1.2015,                 1.3171,                 1.0401,                 1.1107,                      1,                0.95833,                 0.9766,                0.73101,                      1,                0.95833,                 0.9766,                0.74591,                 1.0726,                 1.0207,                0.80972,                 1.0429,              0.0016661,              0.0016661,              0.0016661
                      6,                 1.1279,                 1.2219,                0.95864,                 1.0855,                      1,                 0.9375,                 0.9662,                0.74545,                      1,                 0.9375,                 0.9662,                0.81633,                 1.0149,                  1.053,                0.73751,                 1.1043,              0.0016654,              0.0016654,              0.0016654
                      7,                 1.1032,                 1.2119,                0.90556,                 1.0779,                      1,                      1,                  0.995,                0.75344,                      1,                      1,                  0.995,                0.81333,                0.96949,                0.90326,                0.63708,                 1.0209,              0.0016645,              0.0016645,              0.0016645
                      8,                 1.0697,                 1.1474,                0.85948,                 1.0635,                      1,                 0.9735,                0.98604,                0.76371,                   0.98,                      1,                 0.9942,                0.78143,                0.95008,                0.94278,                0.69374,                 1.0271,              0.0016633,              0.0016633,              0.0016633
                      9,                 1.0424,                 1.1247,                0.81301,                 1.0518,                      1,                      1,                  0.995,                0.78124,                      1,                      1,                  0.995,                0.79559,                0.96749,                0.85842,                0.62253,                0.99603,               0.001662,               0.001662,               0.001662
                     10,                  1.033,                 1.0828,                0.77466,                 1.0474,                   0.98,                      1,                 0.9942,                0.82121,                   0.98,                      1,                 0.9942,                0.83885,                0.85045,                0.80121,                0.63693,                0.98693,              0.0016605,              0.0016605,              0.0016605
                     11,                0.99608,                 1.0564,                0.73753,                 1.0383,                      1,                      1,                  0.995,                   0.79,                      1,                      1,                  0.995,                0.81944,                0.88377,                0.83897,                0.57648,                 0.9889,              0.0016588,              0.0016588,              0.0016588
                     12,                 1.0542,                 1.1085,                0.74232,                 1.0352,                      1,                      1,                  0.995,                0.83708,                      1,                      1,                  0.995,                0.81712,                0.85779,                0.87038,                0.55082,                0.99826,              0.0016568,              0.0016568,              0.0016568
                     13,                0.98196,                 1.0463,                0.69634,                 1.0187,                      1,                      1,                  0.995,                0.83341,                      1,                      1,                  0.995,                0.84087,                0.90833,                 0.8017,                0.54007,                 0.9954,              0.0016547,              0.0016547,              0.0016547
                     14,                0.94172,                 1.0166,                0.66843,                 1.0188,                      1,                      1,                  0.995,                 0.8304,                      1,                      1,                  0.995,                0.81738,                0.77442,                0.81654,                0.50834,                0.96587,              0.0016524,              0.0016524,              0.0016524
                     15,                0.92953,                  1.011,                0.65446,                0.99837,                      1,                      1,                  0.995,                0.78659,                      1,                      1,                  0.995,                0.78767,                0.84667,                0.76552,                0.53748,                0.97707,              0.0016499,              0.0016499,              0.0016499
                     16,                0.89257,                 1.0173,                0.63123,                 0.9878,                      1,                      1,                  0.995,                 0.8306,                      1,                      1,                  0.995,                0.83501,                0.76308,                0.86074,                0.52243,                0.94121,              0.0016471,              0.0016471,              0.0016471
                     17,                0.90835,                 1.0018,                0.63051,                0.99497,                      1,                      1,                  0.995,                0.79318,                      1,                      1,                  0.995,                0.84999,                0.88251,                0.82303,                0.50835,                  1.027,              0.0016442,              0.0016442,              0.0016442
                     18,                0.90118,                0.98581,                0.60746,                0.98195,                      1,                      1,                  0.995,                0.83501,                      1,                      1,                  0.995,                0.82086,                0.74468,                0.82519,                0.48765,                0.96777,              0.0016411,              0.0016411,              0.0016411
                     19,                0.91771,                 1.0327,                 0.6086,                0.99283,                      1,                      1,                  0.995,                0.80455,                      1,                      1,                  0.995,                0.80662,                0.84841,                0.89855,                0.48973,                0.97571,              0.0016378,              0.0016378,              0.0016378
                     20,                0.90438,                0.96831,                0.59617,                0.98411,                      1,                      1,                  0.995,                0.80098,                      1,                      1,                  0.995,                 0.8403,                0.86292,                0.90699,                0.50461,                0.98122,              0.0016342,              0.0016342,              0.0016342
                     21,                0.87649,                 0.9464,                0.56475,                0.98145,                      1,                      1,                  0.995,                0.82568,                      1,                      1,                  0.995,                0.81589,                0.83118,                0.77146,                0.51583,                0.99632,              0.0016305,              0.0016305,              0.0016305
                     22,                0.87287,                0.97002,                0.57933,                0.97874,                      1,                      1,                  0.995,                0.82619,                      1,                      1,                  0.995,                 0.8453,                0.75384,                0.75719,                0.47363,                0.96886,              0.0016266,              0.0016266,              0.0016266
                     23,                0.84924,                0.92922,                0.56334,                0.96617,                      1,                      1,                  0.995,                0.83396,                      1,                      1,                  0.995,                0.84887,                0.76719,                 0.7577,                0.46176,                 0.9704,              0.0016225,              0.0016225,              0.0016225
                     24,                0.85664,                0.92661,                0.55313,                0.98851,                      1,                      1,                  0.995,                0.83709,                      1,                      1,                  0.995,                 0.8351,                 0.8012,                0.83027,                0.47883,                0.96885,              0.0016182,              0.0016182,              0.0016182
                     25,                0.87406,                0.94611,                0.55761,                0.97906,                      1,                      1,                  0.995,                0.78439,                      1,                      1,                  0.995,                0.84341,                 0.9261,                0.76146,                0.50316,                 1.0184,              0.0016137,              0.0016137,              0.0016137
                     26,                0.82066,                0.90332,                 0.5237,                0.96264,                      1,                      1,                  0.995,                0.82941,                      1,                      1,                  0.995,                0.84325,                0.76716,                0.85092,                0.46099,                0.98435,              0.0016091,              0.0016091,              0.0016091
                     27,                0.81811,                0.91733,                0.52036,                0.95833,                      1,                      1,                  0.995,                0.82357,                      1,                      1,                  0.995,                0.81513,                0.69189,                0.75478,                0.42861,                0.95395,              0.0016042,              0.0016042,              0.0016042
                     28,                0.81793,                0.90424,                0.51931,                0.95963,                      1,                      1,                  0.995,                0.81081,                      1,                      1,                  0.995,                0.81554,                0.77578,                0.79886,                0.48873,                0.98302,              0.0015991,              0.0015991,              0.0015991
                     29,                0.82304,                0.94257,                0.52935,                0.96249,                      1,                      1,                  0.995,                0.84886,                      1,                      1,                  0.995,                0.85704,                0.72355,                0.72162,                0.46419,                0.96119,              0.0015939,              0.0015939,              0.0015939
                     30,                0.82967,                0.90084,                0.52921,                0.96701,                      1,                      1,                  0.995,                0.80942,                      1,                      1,                  0.995,                0.85441,                0.77353,                0.80861,                0.48039,                0.96648,              0.0015885,              0.0015885,              0.0015885
                     31,                0.83216,                0.90201,                0.51475,                0.95217,                0.99513,                      1,                  0.995,                0.84133,                0.99513,                      1,                  0.995,                0.86446,                0.72574,                0.71827,                 0.4297,                0.95293,              0.0015829,              0.0015829,              0.0015829
                     32,                0.79618,                0.93554,                0.50337,                  0.952,                      1,                      1,                  0.995,                0.85267,                      1,                      1,                  0.995,                0.83671,                  0.749,                0.79865,                0.42988,                0.94888,              0.0015771,              0.0015771,              0.0015771
                     33,                0.81398,                0.88197,                0.50499,                0.96093,                      1,                      1,                  0.995,                0.80025,                      1,                      1,                  0.995,                0.85012,                0.77821,                0.73101,                 0.4199,                  0.939,              0.0015711,              0.0015711,              0.0015711
                     34,                 0.8037,                0.88687,                0.50425,                0.96162,                      1,                      1,                  0.995,                0.85528,                      1,                      1,                  0.995,                0.83735,                0.69826,                0.77144,                 0.4331,                0.94934,              0.0015649,              0.0015649,              0.0015649
                     35,                0.80194,                0.91713,                0.51065,                0.96209,                      1,                      1,                  0.995,                0.83403,                      1,                      1,                  0.995,                0.85395,                0.75369,                0.70573,                0.43474,                0.96438,              0.0015586,              0.0015586,              0.0015586
                     36,                0.82827,                0.91314,                0.50634,                0.94731,                      1,                      1,                  0.995,                0.81221,                      1,                      1,                  0.995,                0.78654,                0.73066,                0.68637,                0.44367,                0.97827,              0.0015521,              0.0015521,              0.0015521
                     37,                0.78481,                0.90804,                 0.4988,                0.94825,                      1,                      1,                  0.995,                0.87352,                      1,                      1,                  0.995,                0.82663,                 0.6786,                0.73093,                0.42215,                0.95965,              0.0015454,              0.0015454,              0.0015454
                     38,                0.79452,                0.87115,                0.49667,                0.94925,                      1,                      1,                  0.995,                0.85356,                      1,                      1,                  0.995,                0.83289,                0.72453,                0.72143,                0.41251,                0.95117,              0.0015385,              0.0015385,              0.0015385
