                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92673,                 1.4273,                 2.0866,                 1.5983,                      1,                   0.75,                  0.875,                0.84167,                      1,                   0.75,                  0.875,                0.81667,                0.56261,                 1.1315,                 1.3804,                 1.1116,             0.00066026,             0.00066026,             0.00066026
                      2,                0.59361,                0.69235,                 1.2631,                 1.2136,                      1,                      1,                  0.995,                0.92771,                      1,                      1,                  0.995,                0.83851,                0.52328,                 1.6484,                0.83032,                 1.0897,              0.0013268,              0.0013268,              0.0013268
                      3,                0.57991,                0.67009,                 1.0596,                 1.1962,                0.88889,                      1,                0.95389,                0.88744,                0.88889,                      1,                0.95389,                0.86899,                0.57608,                0.79464,                0.89998,                 1.1835,              0.0019931,              0.0019931,              0.0019931
                      4,                0.57006,                0.67557,                0.87473,                 1.2039,                      1,                      1,                  0.995,                 0.8955,                      1,                      1,                  0.995,                0.93329,                0.56757,                0.68925,                0.60449,                 1.0549,              0.0019989,              0.0019989,              0.0019989
                      5,                0.51775,                0.69903,                0.74846,                 1.1283,                      1,                      1,                  0.995,                0.86185,                      1,                      1,                  0.995,                0.88095,                 0.6378,                 1.4012,                0.66275,                 1.1531,              0.0019989,              0.0019989,              0.0019989
                      6,                0.50307,                0.64201,                0.64796,                 1.1327,                      1,                      1,                  0.995,                 0.8974,                      1,                      1,                  0.995,                0.91604,                0.53843,                0.96299,                0.50488,                  1.038,               0.001998,               0.001998,               0.001998
                      7,                0.51338,                0.63237,                0.58761,                 1.1198,                      1,                      1,                  0.995,                0.95938,                      1,                      1,                  0.995,                 0.9295,                0.45993,                0.67727,                0.37883,                0.99293,              0.0019969,              0.0019969,              0.0019969
                      8,                0.47325,                0.72085,                0.51505,                 1.0833,                      1,                      1,                  0.995,                0.92299,                      1,                      1,                  0.995,                0.89946,                   0.47,                 0.9019,                0.49029,                0.96145,              0.0019956,              0.0019956,              0.0019956
                      9,                0.46058,                0.63844,                0.48962,                 1.0768,                      1,                      1,                  0.995,                0.93472,                      1,                      1,                  0.995,                0.91496,                0.47383,                0.79772,                0.41603,                 1.0029,               0.001994,               0.001994,               0.001994
                     10,                 0.4807,                0.59655,                0.46851,                 1.0866,                      1,                      1,                  0.995,                0.91787,                      1,                      1,                  0.995,                0.94237,                0.46543,                0.73598,                 0.4439,                0.98564,              0.0019922,              0.0019922,              0.0019922
