                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5219,                  1.942,                 2.1143,                 1.3648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.5991,                 1.5364,                 2.2669,                 1.1411,                0.00048,                0.00048,                0.00048
                      2,                 1.1957,                 1.1153,                 1.2191,                 1.0645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1179,                0.97332,                 1.7856,                  1.016,             0.00097994,             0.00097994,             0.00097994
                      3,                 1.1711,                 0.9846,                 1.0784,                 1.0505,                      1,                0.10638,                0.55318,                0.35193,                      1,                0.10638,                0.55318,                0.43956,                 1.4131,                 1.0971,                  1.734,                 1.0426,              0.0014796,              0.0014796,              0.0014796
                      4,                 1.1513,                0.96288,                 1.0119,                  1.016,                0.93548,                0.61702,                0.78176,                0.52363,                0.93548,                0.61702,                0.78176,                0.54786,                 1.1505,                0.97065,                 1.0123,                0.96887,              0.0019789,              0.0019789,              0.0019789
                      5,                 1.0962,                0.92539,                0.96732,                 1.0092,                      1,                0.76596,                0.88293,                0.64966,                      1,                0.76596,                0.88293,                0.73437,                 1.1938,                0.88993,                0.90348,                0.99911,               0.001998,               0.001998,               0.001998
                      6,                 1.0223,                0.83127,                0.88182,                0.99329,                      1,                0.87234,                 0.9361,                 0.6801,                      1,                0.87234,                 0.9361,                 0.7179,                 1.1325,                0.84059,                0.74702,                0.95767,               0.001998,               0.001998,               0.001998
                      7,                  1.012,                0.85481,                0.84444,                0.96388,                      1,                0.91489,                 0.9573,                 0.6925,                      1,                0.91489,                 0.9573,                0.75139,                 1.0752,                 0.9353,                0.71815,                0.94805,              0.0019969,              0.0019969,              0.0019969
                      8,                0.97615,                  0.884,                0.79355,                0.93409,                 0.9968,                0.95745,                0.97799,                0.64302,                 0.9968,                0.95745,                0.97799,                0.72014,                 1.2103,                0.98092,                0.76037,                0.98703,              0.0019956,              0.0019956,              0.0019956
                      9,                0.97385,                0.84125,                 0.7844,                0.94324,                0.97778,                0.93617,                0.95872,                0.74335,                0.97778,                0.93617,                0.95872,                0.77098,                0.93189,                0.93357,                0.65816,                0.90599,               0.001994,               0.001994,               0.001994
                     10,                0.86731,                0.82954,                0.69872,                0.91361,                0.97917,                      1,                0.99458,                0.76446,                0.97917,                      1,                0.99458,                0.78562,                   1.01,                0.84962,                0.72377,                0.96803,              0.0019922,              0.0019922,              0.0019922
                     11,                 0.9404,                0.83145,                0.72621,                0.95586,                      1,                0.89362,                 0.9467,                0.69981,                      1,                0.89362,                 0.9467,                0.72496,                  1.006,                0.94946,                0.66345,                0.96275,              0.0019901,              0.0019901,              0.0019901
                     12,                0.91203,                0.82421,                0.69399,                0.93379,                      1,                0.95745,                 0.9785,                0.81152,                      1,                0.95745,                 0.9785,                0.77265,                0.81059,                0.78222,                0.55877,                0.88908,              0.0019878,              0.0019878,              0.0019878
                     13,                 0.8768,                0.79186,                 0.6712,                0.91608,                      1,                0.91489,                 0.9573,                0.72989,                      1,                0.91489,                 0.9573,                0.76824,                0.92398,                0.89095,                0.61795,                0.89984,              0.0019853,              0.0019853,              0.0019853
                     14,                0.85373,                0.75837,                 0.6308,                0.91799,                      1,                0.97872,                 0.9891,                0.75486,                      1,                0.97872,                 0.9891,                0.79324,                 0.9486,                0.85167,                0.56227,                0.89772,              0.0019825,              0.0019825,              0.0019825
                     15,                0.83647,                  0.794,                 0.6291,                0.91681,                      1,                      1,                  0.995,                  0.732,                      1,                      1,                  0.995,                0.71086,                0.97842,                0.98066,                 0.6218,                 0.9177,              0.0019794,              0.0019794,              0.0019794
                     16,                 0.9155,                0.80424,                0.66312,                 0.9111,                0.97287,                      1,                0.99417,                0.76483,                0.97287,                      1,                0.99417,                0.75245,                0.98453,                0.82567,                0.60682,                0.92315,              0.0019762,              0.0019762,              0.0019762
                     17,                0.85238,                 0.7639,                0.61917,                0.91614,                0.95918,                      1,                0.99417,                0.78799,                0.95918,                      1,                0.99417,                0.80066,                0.83647,                0.79121,                0.56024,                0.88288,              0.0019726,              0.0019726,              0.0019726
                     18,                0.83301,                0.76307,                0.61855,                0.89363,                      1,                0.95578,                0.97799,                0.81036,                      1,                0.95578,                0.97799,                0.76566,                0.82846,                0.94196,                0.57023,                0.88744,              0.0019689,              0.0019689,              0.0019689
                     19,                0.84177,                0.74962,                0.60093,                0.89842,                      1,                0.97872,                 0.9891,                 0.7934,                      1,                0.97872,                 0.9891,                0.82427,                0.82774,                 0.7881,                0.48704,                0.88263,              0.0019649,              0.0019649,              0.0019649
                     20,                0.84158,                0.75328,                0.58605,                0.89943,                0.97851,                      1,                0.99458,                0.81786,                0.97851,                      1,                0.99458,                0.74928,                0.71948,                 0.7943,                0.50195,                0.88044,              0.0019607,              0.0019607,              0.0019607
                     21,                0.82019,                0.72119,                0.59077,                0.90058,                0.97872,                0.97872,                0.98795,                0.76604,                0.97872,                0.97872,                0.98795,                0.82145,                0.86555,                0.78367,                0.55795,                0.88777,              0.0019562,              0.0019562,              0.0019562
                     22,                0.79247,                0.73701,                0.56466,                0.89572,                      1,                0.95745,                 0.9785,                0.81181,                      1,                0.95745,                 0.9785,                0.81389,                0.75535,                0.87451,                0.49214,                0.88727,              0.0019515,              0.0019515,              0.0019515
                     23,                0.76917,                0.71669,                0.55174,                0.89253,                      1,                0.97872,                 0.9891,                0.77713,                      1,                0.97872,                 0.9891,                 0.8025,                 0.8493,                0.86724,                0.51306,                0.88431,              0.0019466,              0.0019466,              0.0019466
                     24,                0.76446,                0.72086,                0.54176,                0.87785,                0.97778,                0.93617,                0.96672,                 0.8095,                0.97778,                0.93617,                0.96672,                0.78888,                0.74694,                0.81293,                0.51123,                0.87937,              0.0019415,              0.0019415,              0.0019415
                     25,                0.71886,                0.70841,                  0.521,                0.87687,                      1,                      1,                  0.995,                0.83166,                      1,                      1,                  0.995,                0.78062,                0.68078,                0.75041,                0.46875,                0.87752,              0.0019361,              0.0019361,              0.0019361
                     26,                 0.7343,                0.69179,                0.52874,                 0.8714,                      1,                      1,                  0.995,                0.80558,                      1,                      1,                  0.995,                0.84284,                 0.7378,                0.83502,                0.48747,                0.85346,              0.0019305,              0.0019305,              0.0019305
                     27,                0.76271,                0.69369,                0.53239,                0.87942,                      1,                      1,                  0.995,                0.83086,                      1,                      1,                  0.995,                0.80638,                0.71958,                0.84032,                0.46737,                0.86033,              0.0019246,              0.0019246,              0.0019246
                     28,                0.84246,                0.70448,                0.56904,                0.88929,                0.96331,                0.97872,                0.98681,                0.79221,                0.96331,                0.97872,                0.98681,                0.75459,                0.80504,                0.82829,                0.58506,                0.87579,              0.0019186,              0.0019186,              0.0019186
                     29,                0.82638,                0.70302,                0.56604,                0.88307,                0.97778,                0.93617,                0.96628,                0.77632,                0.95556,                0.91489,                 0.9515,                0.73291,                0.83298,                0.93685,                0.52499,                0.87892,              0.0019123,              0.0019123,              0.0019123
                     30,                0.76613,                0.69851,                0.52573,                0.87423,                      1,                0.95745,                 0.9785,                0.80989,                      1,                0.95745,                 0.9785,                 0.8222,                0.75616,                  0.753,                0.47532,                0.86098,              0.0019058,              0.0019058,              0.0019058
                     31,                0.76732,                0.71074,                0.52877,                0.87557,                      1,                0.95745,                 0.9785,                0.80589,                      1,                0.95745,                 0.9785,                0.79493,                0.77248,                0.71706,                0.46953,                0.85159,               0.001899,               0.001899,               0.001899
                     32,                0.74615,                0.66535,                0.52284,                 0.8849,                0.97778,                0.93617,                0.96672,                0.81332,                0.97778,                0.93617,                0.96672,                0.75921,                0.73984,                0.78144,                0.48274,                0.84692,              0.0018921,              0.0018921,              0.0018921
                     33,                0.72886,                0.70684,                 0.4984,                0.86028,                      1,                0.97872,                 0.9891,                0.79323,                      1,                0.97872,                 0.9891,                0.76305,                0.82505,                0.78526,                0.49997,                0.85692,              0.0018849,              0.0018849,              0.0018849
                     34,                 0.7527,                0.73209,                0.51229,                0.86046,                0.96373,                0.95745,                0.97707,                0.81008,                0.96373,                0.95745,                0.97707,                0.77178,                0.72015,                0.75081,                0.46743,                0.85156,              0.0018775,              0.0018775,              0.0018775
                     35,                0.70628,                0.69776,                0.48042,                  0.869,                0.97826,                0.95745,                0.97799,                0.83947,                0.97826,                0.95745,                0.97799,                0.76267,                 0.6886,                0.76623,                0.48747,                0.85799,              0.0018699,              0.0018699,              0.0018699
                     36,                0.70277,                0.67354,                0.47876,                0.85768,                      1,                0.97872,                 0.9891,                0.81072,                      1,                0.97872,                 0.9891,                0.75501,                0.85047,                0.68643,                0.50261,                0.86023,              0.0018621,              0.0018621,              0.0018621
                     37,                0.70653,                0.65805,                0.47702,                0.86841,                      1,                0.97872,                 0.9891,                0.83143,                      1,                0.97872,                 0.9891,                0.77852,                0.72958,                0.67956,                0.41734,                0.86193,              0.0018541,              0.0018541,              0.0018541
