                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7024,                 3.1364,                 3.1843,                 2.3123,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.97045,                 1.0919,                 2.5765,                  2.061,                0.00024,                0.00024,                0.00024
                      2,                0.54325,                0.81922,                  1.466,                 1.1573,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.7625,                 2.4901,                 2.5379,                 1.5309,             0.00049997,             0.00049997,             0.00049997
                      3,                0.50255,                0.74016,                 1.1656,                 1.1093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4687,                 1.9105,                 3.0576,                 1.9142,             0.00075981,             0.00075981,             0.00075981
                      4,                0.54063,                0.81657,                 1.0244,                 1.1299,                      1,                    0.5,                   0.75,                0.52266,                      1,                    0.5,                   0.75,                0.50756,                0.99639,                 5.1751,                 1.5358,                 2.5607,              0.0010194,              0.0010194,              0.0010194
                      5,                0.49155,                0.76425,                0.92004,                 1.0895,                      1,                  0.875,                 0.9374,                0.76326,                      1,                  0.875,                 0.9374,                0.81669,                0.82172,                 1.2359,                0.66974,                 1.4951,              0.0012787,              0.0012787,              0.0012787
                      6,                0.49575,                0.71522,                0.85022,                 1.0942,                      1,                      1,                  0.995,                0.86624,                      1,                      1,                  0.995,                 0.8716,                0.57371,                0.85316,                0.64607,                 1.0878,              0.0015377,              0.0015377,              0.0015377
                      7,                0.47775,                0.74777,                0.74366,                 1.0899,                      1,                  0.875,                 0.9374,                0.79512,                      1,                  0.875,                 0.9374,                0.69669,                 0.8331,                 2.1854,                0.85376,                 1.6299,               0.001796,               0.001796,               0.001796
                      8,                0.54326,                0.75884,                0.73988,                 1.1075,                      1,                  0.875,                 0.9374,                0.78292,                      1,                  0.875,                 0.9374,                0.80999,                0.86206,                   1.17,                0.69502,                 1.5848,               0.001994,               0.001994,               0.001994
                      9,                0.52288,                0.73475,                 0.6366,                 1.1163,                      1,                0.96911,                  0.995,                0.62794,                      1,                0.96911,                  0.995,                0.61039,                 1.1205,                  1.957,                 1.2327,                 1.6813,               0.001994,               0.001994,               0.001994
                     10,                0.52654,                0.70293,                0.59804,                 1.1136,                      1,                  0.375,                0.68748,                0.46457,                      1,                  0.375,                0.68748,                0.56457,                0.98824,                0.81647,                 1.2256,                 1.6972,              0.0019922,              0.0019922,              0.0019922
                     11,                0.50943,                0.71545,                0.54464,                 1.1085,                      1,                  0.875,                 0.9374,                0.77942,                      1,                  0.875,                 0.9374,                0.77778,                0.88847,                 1.9175,                0.75646,                 1.7133,              0.0019901,              0.0019901,              0.0019901
                     12,                 0.4757,                0.67969,                0.47108,                 1.0582,                      1,                  0.875,                 0.9374,                0.77942,                      1,                  0.875,                 0.9374,                0.77778,                 1.4377,                 3.0321,                 1.9797,                 2.5978,              0.0019878,              0.0019878,              0.0019878
                     13,                0.49997,                0.68723,                0.45851,                  1.085,                      1,                      1,                  0.995,                0.79572,                      1,                      1,                  0.995,                0.84547,                0.90302,                0.93317,                0.64876,                 1.4539,              0.0019853,              0.0019853,              0.0019853
                     14,                0.46436,                0.64141,                0.41932,                 1.0691,                      1,                      1,                  0.995,                0.90289,                      1,                      1,                  0.995,                0.92818,                0.61625,                0.74508,                0.48738,                 1.2354,              0.0019825,              0.0019825,              0.0019825
                     15,                0.42853,                0.63207,                0.40096,                 1.0413,                      1,                   0.75,                  0.875,                0.78612,                      1,                   0.75,                  0.875,                 0.7802,                0.77912,                0.68859,                0.47007,                 1.3556,              0.0019794,              0.0019794,              0.0019794
                     16,                0.46125,                0.63186,                0.38798,                 1.0302,                      1,                      1,                  0.995,                0.92825,                      1,                      1,                  0.995,                  0.926,                0.58972,                0.60795,                0.42168,                 1.2603,              0.0019762,              0.0019762,              0.0019762
                     17,                 0.4412,                0.62336,                0.37666,                 1.0456,                      1,                      1,                  0.995,                 0.9101,                      1,                      1,                  0.995,                0.89261,                0.56996,                0.76632,                0.44583,                 1.1879,              0.0019726,              0.0019726,              0.0019726
                     18,                0.44124,                0.62699,                0.37194,                 1.0357,                      1,                      1,                  0.995,                0.89081,                      1,                      1,                  0.995,                 0.8303,                0.52816,                0.69858,                0.49972,                 1.0121,              0.0019689,              0.0019689,              0.0019689
                     19,                0.45397,                0.61349,                0.37013,                 1.0495,                      1,                      1,                  0.995,                0.88328,                      1,                      1,                  0.995,                  0.961,                0.51872,                0.65499,                0.39181,                0.96253,              0.0019649,              0.0019649,              0.0019649
                     20,                0.42162,                0.58978,                0.34618,                 1.0276,                      1,                      1,                  0.995,                0.88039,                      1,                      1,                  0.995,                0.88434,                0.66778,                0.69429,                0.50474,                 1.2029,              0.0019607,              0.0019607,              0.0019607
                     21,                0.42444,                0.58958,                0.34292,                  1.049,                      1,                      1,                  0.995,                0.85671,                      1,                      1,                  0.995,                0.91343,                0.64205,                0.50158,                0.50346,                 1.1957,              0.0019562,              0.0019562,              0.0019562
                     22,                0.41743,                0.57129,                0.32352,                 1.0287,                      1,                      1,                  0.995,                  0.921,                      1,                      1,                  0.995,                  0.921,                0.62115,                 0.4854,                0.39009,                 1.2431,              0.0019515,              0.0019515,              0.0019515
                     23,                0.41107,                0.59027,                0.31062,                 1.0236,                      1,                      1,                  0.995,                0.88414,                      1,                      1,                  0.995,                 0.9258,                0.57232,                0.50505,                0.42058,                 1.0129,              0.0019466,              0.0019466,              0.0019466
                     24,                0.42808,                0.62062,                0.33976,                 1.0331,                      1,                      1,                  0.995,                0.89017,                      1,                      1,                  0.995,                0.89604,                0.63334,                0.60772,                0.38879,                 1.1641,              0.0019415,              0.0019415,              0.0019415
                     25,                0.40048,                0.58149,                0.31897,                  1.033,                      1,                      1,                  0.995,                0.86127,                      1,                      1,                  0.995,                0.89146,                0.59908,                0.66712,                0.43058,                 1.2026,              0.0019361,              0.0019361,              0.0019361
