                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7699,                 2.4137,                 1.9279,                 1.3422,                0.89787,                  0.701,                0.80827,                0.45114,                0.91915,                0.71761,                0.82162,                0.57164,                 1.6342,                 1.9393,                 1.5466,                 1.1338,             0.00065833,             0.00065833,             0.00065833
                      2,                 1.4322,                 1.7692,                 1.4191,                 1.1718,                0.89338,                0.80731,                0.86396,                0.53999,                0.89338,                0.80731,                0.85969,                0.60507,                 1.4476,                 1.6661,                  1.157,                 1.1324,              0.0013249,              0.0013249,              0.0013249
                      3,                 1.4717,                  1.618,                 1.3407,                 1.1394,                0.87273,                0.79734,                0.87557,                0.56705,                0.87273,                0.79734,                0.86414,                0.61307,                 1.3533,                 1.6773,                 1.1895,                 1.1367,              0.0019912,              0.0019912,              0.0019912
                      4,                 1.4112,                 1.5436,                 1.2832,                 1.1841,                0.92337,                0.80066,                0.86881,                 0.5418,                0.90038,                0.78073,                0.85912,                0.57222,                 1.3156,                 1.5664,                 1.0904,                 1.1868,              0.0019989,              0.0019989,              0.0019989
                      5,                 1.3397,                 1.4716,                  1.195,                  1.145,                0.94056,                0.89369,                 0.9322,                0.55577,                0.93357,                0.88704,                0.92623,                0.65471,                 1.3715,                 1.4314,                 1.0846,                 1.1403,              0.0019989,              0.0019989,              0.0019989
                      6,                  1.321,                 1.3893,                 1.0984,                 1.0899,                0.89726,                0.87043,                0.90531,                0.57921,                0.89726,                0.87043,                 0.9091,                0.62876,                 1.2959,                 1.4431,                 1.0621,                 1.1661,               0.001998,               0.001998,               0.001998
                      7,                 1.2811,                 1.3877,                 1.0617,                 1.0944,                 0.9668,                0.77409,                0.88211,                0.63947,                 0.9668,                0.77409,                0.87841,                0.65071,                 1.2162,                 1.3617,                0.94888,                 1.0755,              0.0019969,              0.0019969,              0.0019969
                      8,                 1.2313,                 1.3248,                 0.9863,                 1.0577,                0.96861,                0.71761,                0.84983,                0.53444,                0.96413,                0.71429,                0.84637,                0.67939,                 1.4024,                 1.3835,                0.95217,                 1.0534,              0.0019956,              0.0019956,              0.0019956
                      9,                 1.1875,                 1.3069,                0.94703,                 1.0504,                0.99251,                 0.8804,                  0.939,                 0.6891,                0.97004,                0.86047,                0.91914,                0.67566,                 1.0576,                 1.2484,                0.79675,                0.99882,               0.001994,               0.001994,               0.001994
                     10,                 1.1416,                 1.3409,                0.88768,                 1.0076,                0.95668,                 0.8804,                0.93143,                0.53657,                0.96029,                0.88372,                 0.9353,                0.71755,                 1.4538,                 1.4708,                0.95521,                 1.0588,              0.0019922,              0.0019922,              0.0019922
