                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.116,                 1.8527,                 2.5733,                 1.8008,                      1,                0.11392,                0.55695,                0.46522,                      1,                0.11392,                0.55695,                0.45305,                0.77621,                0.98082,                  1.885,                  1.566,             0.00065833,             0.00065833,             0.00065833
                      2,                0.81382,                0.86104,                 1.7526,                 1.5213,                0.86215,                0.96203,                0.97579,                0.77211,                0.86215,                0.96203,                0.97579,                0.67428,                0.82112,                 1.4618,                 1.7405,                 1.5946,              0.0013249,              0.0013249,              0.0013249
                      3,                0.89277,                0.89665,                 1.5889,                 1.5667,                0.76823,                0.88113,                0.91086,                0.59934,                0.76823,                0.88113,                0.91086,                0.60759,                0.90955,                0.61602,                 2.6894,                 1.6284,              0.0019912,              0.0019912,              0.0019912
                      4,                 0.8231,                0.79967,                  1.423,                 1.4363,                0.98667,                0.93671,                 0.9672,                0.82864,                      1,                0.94937,                0.97462,                0.84593,                0.95001,                0.51599,                  0.879,                 1.7403,              0.0019989,              0.0019989,              0.0019989
                      5,                 0.7918,                0.76009,                 1.2687,                 1.4056,                0.97531,                      1,                0.99426,                0.86414,                0.97531,                      1,                0.99426,                0.85114,                0.73675,                0.63954,                0.77995,                 1.3823,              0.0019989,              0.0019989,              0.0019989
                      6,                0.77548,                 0.6642,                 1.1342,                  1.399,                 0.9484,                0.93064,                 0.9705,                0.78254,                0.94814,                0.96203,                0.98001,                0.78435,                0.80726,                0.69717,                0.96519,                 1.3102,               0.001998,               0.001998,               0.001998
                      7,                0.78941,                0.76345,                 1.0433,                 1.3831,                      1,                0.96972,                0.98626,                0.87776,                      1,                0.96972,                0.98626,                0.90288,                0.56033,                0.42033,                0.81121,                 1.1202,              0.0019969,              0.0019969,              0.0019969
                      8,                0.67924,                0.61461,                0.96641,                 1.3338,                 0.9753,                0.99967,                0.99438,                0.89179,                 0.9753,                0.99967,                0.99438,                0.89365,                0.52403,                0.43035,                0.61289,                 1.0489,              0.0019956,              0.0019956,              0.0019956
                      9,                0.63628,                0.53368,                0.83899,                 1.2884,                0.99409,                0.97468,                0.99427,                0.87984,                0.99409,                0.97468,                0.99427,                 0.8731,                0.71679,                0.51297,                0.68701,                 1.3631,               0.001994,               0.001994,               0.001994
                     10,                0.60735,                0.48962,                0.73112,                 1.2598,                      1,                0.95691,                0.97896,                0.87946,                      1,                0.95691,                0.97896,                0.89154,                0.59815,                0.43239,                0.59366,                 1.1673,              0.0019922,              0.0019922,              0.0019922
                     11,                0.66898,                0.60695,                0.73035,                 1.3257,                0.96267,                0.97933,                 0.9915,                0.86949,                0.96267,                0.97933,                 0.9915,                0.87876,                0.62794,                0.39563,                0.59712,                 1.2273,              0.0019901,              0.0019901,              0.0019901
                     12,                0.68263,                0.52898,                0.69916,                 1.3281,                0.99035,                      1,                  0.995,                0.87146,                0.99035,                      1,                  0.995,                0.87702,                0.66004,                0.44422,                0.59719,                 1.2269,              0.0019878,              0.0019878,              0.0019878
                     13,                0.68831,                0.77723,                0.78196,                 1.2642,                      1,                0.99444,                  0.995,                0.88991,                      1,                0.99444,                  0.995,                0.88728,                0.58615,                 0.3481,                0.53593,                 1.1105,              0.0019853,              0.0019853,              0.0019853
                     14,                0.59536,                0.51437,                0.65588,                  1.211,                0.97501,                0.98763,                0.99475,                0.87889,                0.97501,                0.98763,                0.99475,                0.88639,                0.58651,                0.35259,                0.56239,                  1.133,              0.0019825,              0.0019825,              0.0019825
                     15,                0.57337,                0.48415,                0.65391,                  1.179,                0.96192,                0.95937,                0.98382,                 0.8336,                0.96192,                0.95937,                0.98382,                0.85917,                0.65062,                0.35955,                0.54767,                 1.2061,              0.0019794,              0.0019794,              0.0019794
                     16,                0.54207,                0.52984,                0.57106,                 1.1963,                0.97468,                0.97468,                0.98604,                0.88189,                0.97468,                0.97468,                0.98604,                0.88687,                0.66284,                0.42643,                0.52985,                 1.2767,              0.0019762,              0.0019762,              0.0019762
                     17,                0.57934,                  0.477,                0.59493,                 1.2471,                      1,                0.96203,                 0.9808,                0.90676,                      1,                0.96203,                 0.9808,                0.90966,                0.55579,                0.34997,                 0.4918,                 1.0623,              0.0019726,              0.0019726,              0.0019726
                     18,                0.61189,                0.53276,                0.61283,                 1.2582,                0.94105,                0.98734,                0.98442,                0.84411,                0.94105,                0.98734,                0.98442,                0.86028,                0.61392,                0.53825,                0.57641,                 1.1871,              0.0019689,              0.0019689,              0.0019689
                     19,                0.60594,                0.53391,                0.69333,                 1.2228,                      1,                0.99478,                  0.995,                 0.8825,                      1,                0.99478,                  0.995,                0.90083,                 0.5568,                0.38778,                0.40746,                 1.1276,              0.0019649,              0.0019649,              0.0019649
                     20,                0.53235,                0.47759,                0.52463,                 1.1829,                0.96912,                0.97468,                0.98536,                0.89726,                0.96912,                0.97468,                0.98536,                0.90178,                 0.5549,                0.35605,                0.48439,                 1.0414,              0.0019607,              0.0019607,              0.0019607
                     21,                 0.5295,                0.45674,                0.52725,                 1.2062,                0.99753,                      1,                  0.995,                0.89444,                0.99753,                      1,                  0.995,                0.90059,                0.55173,                 0.3722,                0.51557,                 1.0736,              0.0019562,              0.0019562,              0.0019562
                     22,                0.54127,                0.47377,                0.51813,                 1.1702,                0.95365,                0.98734,                0.99452,                0.92246,                0.95365,                0.98734,                0.99452,                 0.9321,                0.47343,                0.31783,                0.40193,                0.98795,              0.0019515,              0.0019515,              0.0019515
                     23,                0.49378,                 0.4469,                0.50304,                 1.1268,                0.99025,                      1,                  0.995,                0.91161,                0.99025,                      1,                  0.995,                0.92193,                0.47075,                0.33025,                0.45732,                  1.012,              0.0019466,              0.0019466,              0.0019466
                     24,                0.49633,                0.53095,                0.51367,                 1.1288,                      1,                      1,                  0.995,                0.85438,                      1,                      1,                  0.995,                0.86547,                0.60402,                0.34458,                0.48979,                 1.1837,              0.0019415,              0.0019415,              0.0019415
                     25,                0.50277,                0.43529,                0.47629,                 1.1566,                0.98743,                0.99453,                0.99488,                0.92666,                0.98743,                0.99453,                0.99488,                0.94288,                0.45593,                0.30771,                0.36791,                 0.9422,              0.0019361,              0.0019361,              0.0019361
                     26,                0.58102,                0.47224,                0.52186,                  1.228,                 0.9875,                      1,                  0.995,                0.91215,                 0.9875,                      1,                  0.995,                0.92286,                0.45996,                0.32444,                0.44421,                0.99706,              0.0019305,              0.0019305,              0.0019305
                     27,                0.49533,                0.44506,                0.49707,                 1.1172,                      1,                      1,                  0.995,                 0.9394,                      1,                      1,                  0.995,                0.93786,                0.45497,                0.31479,                0.35113,                0.95493,              0.0019246,              0.0019246,              0.0019246
                     28,                0.51887,                0.40714,                0.50021,                  1.169,                 0.9875,                      1,                0.99412,                0.89844,                 0.9875,                      1,                0.99412,                0.90948,                 0.5616,                0.34664,                0.41638,                 1.0756,              0.0019186,              0.0019186,              0.0019186
                     29,                0.52038,                0.39993,                0.59813,                 1.1321,                0.98448,                      1,                0.99488,                0.93091,                0.98448,                      1,                0.99488,                0.94123,                0.41831,                0.33791,                0.38455,                0.93051,              0.0019123,              0.0019123,              0.0019123
                     30,                0.55695,                0.60907,                0.56359,                 1.1968,                      1,                0.99392,                  0.995,                0.89791,                      1,                0.99392,                  0.995,                0.91276,                0.50777,                0.38051,                 0.4157,                0.98582,              0.0019058,              0.0019058,              0.0019058
                     31,                0.50125,                0.48119,                0.50627,                 1.1113,                      1,                0.98734,                 0.9929,                0.90809,                      1,                0.98734,                 0.9929,                0.91274,                0.52703,                 0.3212,                0.40154,                 1.0732,               0.001899,               0.001899,               0.001899
                     32,                0.51543,                0.49073,                0.50402,                 1.1615,                      1,                      1,                  0.995,                0.87126,                      1,                      1,                  0.995,                0.88941,                 0.6324,                0.37987,                0.44745,                 1.1608,              0.0018921,              0.0018921,              0.0018921
                     33,                0.51298,                0.47562,                0.51229,                 1.1184,                0.98183,                      1,                0.99488,                0.93229,                0.98183,                      1,                0.99488,                0.93939,                 0.4389,                0.29529,                0.39409,                0.95303,              0.0018849,              0.0018849,              0.0018849
                     34,                0.53224,                0.44013,                0.51328,                 1.1326,                0.98059,                0.98734,                0.99245,                0.86746,                0.98059,                0.98734,                0.99245,                0.87892,                0.54183,                0.33136,                0.49009,                  1.063,              0.0018775,              0.0018775,              0.0018775
                     35,                0.49875,                0.44167,                0.53731,                 1.0804,                0.96248,                      1,                  0.994,                0.93297,                0.96248,                      1,                  0.994,                0.94531,                0.42798,                0.32468,                 0.3972,                0.93558,              0.0018699,              0.0018699,              0.0018699
                     36,                0.46508,                0.45988,                0.44372,                 1.0961,                0.99787,                      1,                  0.995,                0.92387,                0.99787,                      1,                  0.995,                0.93988,                0.44269,                0.31702,                0.33966,                0.93361,              0.0018621,              0.0018621,              0.0018621
                     37,                0.45024,                 0.4231,                0.49151,                 1.0804,                      1,                      1,                  0.995,                0.92653,                      1,                      1,                  0.995,                0.93942,                0.47958,                0.32715,                0.37259,                  1.028,              0.0018541,              0.0018541,              0.0018541
                     38,                0.49598,                0.48405,                0.45914,                 1.1273,                0.98738,                0.99046,                0.99488,                0.92953,                0.98738,                0.99046,                0.99488,                0.94237,                0.48123,                0.30762,                0.38366,                0.99668,              0.0018459,              0.0018459,              0.0018459
