                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0712,                  1.695,                 2.4936,                 1.7909,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.89185,                0.65987,                 2.3687,                 1.8769,             0.00065854,             0.00065854,             0.00065854
                      2,                 0.7995,                0.86031,                  1.749,                 1.5525,                 0.7896,                0.83544,                0.88756,                0.46416,                0.73146,                0.82755,                0.85584,                0.43937,                 1.3557,                0.62093,                 2.6674,                 2.3715,              0.0013251,              0.0013251,              0.0013251
                      3,                0.79163,                 0.7439,                 1.4757,                 1.5086,                      1,                0.41772,                0.70885,                0.56357,                      1,                0.41772,                0.70885,                0.52553,                  1.169,                0.79392,                 1.4068,                 2.0844,              0.0019914,              0.0019914,              0.0019914
                      4,                0.87102,                0.84237,                 1.4268,                 1.5998,                0.94908,                0.94379,                0.97559,                0.75978,                0.94908,                0.94379,                0.97559,                0.76343,                0.86292,                0.52506,                  1.316,                  1.622,              0.0019989,              0.0019989,              0.0019989
                      5,                0.86975,                0.94772,                 1.3704,                  1.594,                0.66154,                 0.5443,                0.59892,                0.44509,                0.66154,                 0.5443,                0.59892,                 0.4557,                0.87795,                0.64695,                 1.4152,                 1.5408,              0.0019989,              0.0019989,              0.0019989
                      6,                0.80958,                0.82408,                  1.226,                 1.4458,                 0.9625,                0.97468,                  0.985,                  0.866,                 0.9625,                0.97468,                  0.985,                0.88065,                0.60316,                0.51311,                0.66315,                   1.21,               0.001998,               0.001998,               0.001998
                      7,                 0.7393,                0.73316,                 1.0378,                 1.4053,                0.96341,                0.99986,                  0.993,                0.84591,                0.96341,                0.99986,                  0.993,                0.85314,                0.63948,                0.45238,                0.71521,                 1.2885,              0.0019969,              0.0019969,              0.0019969
                      8,                0.72475,                0.66119,                0.97978,                 1.3875,                0.91667,                0.97468,                0.97407,                0.85217,                0.91667,                0.97468,                0.97407,                0.85569,                 0.6324,                0.45412,                0.82033,                 1.2285,              0.0019956,              0.0019956,              0.0019956
                      9,                0.65823,                0.60703,                0.85572,                 1.3382,                      1,                0.99434,                  0.995,                0.91679,                      1,                0.99434,                  0.995,                0.92072,                0.53712,                0.49359,                 0.5538,                 1.1013,               0.001994,               0.001994,               0.001994
                     10,                 0.6756,                0.58742,                0.78697,                 1.3259,                0.99598,                0.98734,                0.99475,                0.90887,                0.99598,                0.98734,                0.99475,                0.91233,                0.58147,                0.47152,                  0.556,                 1.1359,              0.0019922,              0.0019922,              0.0019922
                     11,                0.69285,                0.65325,                0.77609,                 1.2875,                 0.9875,                      1,                0.99488,                0.90606,                 0.9875,                      1,                0.99488,                0.89092,                0.65912,                 0.4546,                0.49972,                 1.2144,              0.0019901,              0.0019901,              0.0019901
                     12,                0.61293,                0.60293,                0.69646,                 1.2681,                 0.9818,                      1,                0.99412,                0.90388,                 0.9818,                      1,                0.99412,                0.91314,                0.56748,                0.40003,                0.50603,                 1.0968,              0.0019878,              0.0019878,              0.0019878
                     13,                0.65355,                0.63921,                0.76059,                  1.253,                      1,                0.91139,                0.95563,                0.86019,                      1,                0.91139,                0.95563,                0.87672,                0.49685,                0.41811,                0.52745,                 1.0262,              0.0019853,              0.0019853,              0.0019853
