                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76325,                0.41534,                 1.1695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0006,                 0.0006,                 0.0006
                      2,                0.75405,                0.40729,                 1.1625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011797,              0.0011797,              0.0011797
                      3,                0.78206,                 0.4184,                  1.168,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017186,              0.0017186,              0.0017186
                      4,                 0.7723,                0.41464,                 1.1825,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001802,               0.001802,               0.001802
                      5,                0.75887,                0.41067,                 1.1636,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001802,               0.001802,               0.001802
                      6,                0.76151,                0.40994,                 1.1798,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001736,               0.001736,               0.001736
                      7,                0.75792,                0.41002,                  1.171,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00167,                0.00167,                0.00167
                      8,                0.74894,                0.40479,                 1.1642,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                      9,                0.75348,                0.40389,                 1.1589,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001538,               0.001538,               0.001538
                     10,                0.74736,                0.40449,                 1.1719,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001472,               0.001472,               0.001472
                     11,                0.74978,                0.40049,                 1.1638,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001406,               0.001406,               0.001406
                     12,                0.74593,                 0.3972,                 1.1556,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00134,                0.00134,                0.00134
                     13,                0.72884,                0.39404,                 1.1564,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001274,               0.001274,               0.001274
                     14,                0.73044,                0.39336,                 1.1497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                     15,                0.73106,                0.39281,                 1.1543,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001142,               0.001142,               0.001142
                     16,                0.72566,                0.38894,                  1.154,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001076,               0.001076,               0.001076
                     17,                0.71885,                0.38508,                 1.1547,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00101,                0.00101,                0.00101
                     18,                0.71118,                   0.38,                 1.1465,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000944,               0.000944,               0.000944
                     19,                0.70618,                0.38081,                  1.143,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000878,               0.000878,               0.000878
                     20,                0.70299,                0.37782,                 1.1376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     21,                0.68057,                 0.3645,                 1.1441,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000746,               0.000746,               0.000746
                     22,                0.66847,                  0.359,                 1.1435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00068,                0.00068,                0.00068
                     23,                0.65442,                0.35117,                 1.1368,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000614,               0.000614,               0.000614
                     24,                0.65189,                0.34803,                 1.1313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000548,               0.000548,               0.000548
                     25,                0.64326,                0.34609,                 1.1191,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000482,               0.000482,               0.000482
                     26,                0.64043,                0.34322,                 1.1208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000416,               0.000416,               0.000416
                     27,                0.63447,                0.34203,                 1.1137,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00035,                0.00035,                0.00035
                     28,                0.62936,                0.33765,                 1.1272,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000284,               0.000284,               0.000284
                     29,                0.61989,                0.33265,                 1.1077,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000218,               0.000218,               0.000218
                     30,                0.61248,                0.32844,                 1.1068,                0.92518,                0.91385,                0.95673,                0.63071,                 1.1575,                0.50005,                 1.5144,               0.000152,               0.000152,               0.000152
